Original,Perturbed,Is_Equivalent
88*-36/-49+-11--1,88*-36/-49+-11--1,False
-17+31*73+94*(-64),-17+31*73+94*(-64),True
-34*1--83/22/96,-34*1--83/22/96,True
-39+65/(15*-47*-29),-39+65/(15*-47*-29),False
-61/73+7+-4/-92,-61/73+7+-4/-92,True
-54*-19+-71--40*-38,-54*-19+-71--40*-38,True
27/-27/8+80*34,27/-27/8+80*34,False
59*-34+2/-52+-3,59*-34+2/-52+-3,True
77*-44*35/(35--50),77*-44*35/(35--50),True
31+(-83*83-58/(7)),31+(-83*83-58/(7)),False
(-35*46*23-41/(-27)),(-35*46*23-41/(-27)),True
(-88*95)/-70+-69/32,(-88*95)/-70+-69/32,True
-98/3--82/-50*66,-98/3--82/-50*66,True
-21--31-20+-95+(-17),-21--31-20+-95+(-17),False
-85*-29*12+-53-55,-85*-29*12+-53-55,False
51--15*19+(-37*-100),51--15*19+(-37*-100),True
21/(10+42-13/70),21/(10+42-13/70),False
-47*-23--69/-67/(67),-47*-23--69/-67/(67),False
(-44-(-24*14+-78*-76)),(-44-(-24*14+-78*-76)),False
-37*-99/20*(-55--31),-37*-99/20*(-55--31),True
-24*-28*-81+-70*17,-24*-28*-81+-70*17,False
57+-91+-21--47*-85,57+-91+-21--47*-85,True
64*83/-11/(72/(-79)),64*83/-11/(72/(-79)),False
63+97/64--30/38,63+97/64--30/38,True
-12/-92/-85*8/-30,-12/-92/-85*8/-30,False
44--10-49--86*-1,44--10-49--86*-1,False
-26*-24/3+-75+71,-26*-24/3+-75+71,False
82+-91-(30-84)*-66,82+-91-(30-84)*-66,True
81+38*-94*-14*-77,81+38*-94*-14*-77,False
(15*-46*-7)+-20+8,(15*-46*-7)+-20+8,False
-96/-38/-95*26+6,-96/-38/-95*26+6,True
(16*-9)*(-77/-84)*(-49),(16*-9)*(-77/-84)*(-49),False
85/(60*88--6/29),85/(60*88--6/29),False
-82+(88+11+91)*32,-82+(88+11+91)*32,False
-76--95+(74+(-70*(79))),-76--95+(74+(-70*(79))),True
-21/36/-68*(-71*8),-21/36/-68*(-71*8),False
-58/0*68/-20*-19,-58/0*68/-20*-19,False
-56*-75+(61*67*-85),-56*-75+(61*67*-85),False
-59+13--9--47--90,-59+13--9--47--90,False
92*49+-2*89+(-22),92*49+-2*89+(-22),True
