Original,Perturbed,Is_Equivalent
51/75+32+46/94,138/32+4694/+,False
7*73*67/29-97,773*67*29/97-,False
25/16+46/87*70,2516/4687/70*+,True
56-97+51*49-14,5697-51+49-14-,False
73+39+56+86+42,7339+56+86+42+,True
61-82+15*39*7,6182/1539*7*+,False
79-52*37/81+62,795237*81/-62+,True
56/24*93/56*5,5624/50*56-5*,False
30*25/10+6+58,4525*10/6+58+,False
21*16+34+32/44,2116*34+3244/+,True
43*36+49/18+29,4336*4949/+29+,True
92/10+70/3/20,9210/613/20/+,True
37*90-8/74*32,3790*874/95*-,True
78+89/97*21*86,788947/21*86*+,True
66/83-90*79*7,1383/9079*7*-,True
89-72-32*52/21,8962-3252*21/*,False
53+30-15/44*39,5330+899/39*-,False
17-94/90/11+37,179490/11/-37+,True
82*83/85/74+91,3883*85/74+91+,False
34+31-62/21*27,3431+6221/27*-,True
8/49/89-22+67,849/89/22-67+,True
52-41+84-23-87,7341-84+23-2*,False
77*19/86-13/29,7719*86/1329/-,True
99/6+60/80-38,996/6080/+38+,False
65-28+16/9*35,6528*169/35++,False
69+81-40*43+76,6981+4043*-26/,True
25/72/27/12/50,2572-27/12/29+,False
32+41-99/56*8,4941+9956/8*-,True
75*76*24-33/42,7529*24*3389/-,False
2/7/18-24*1,238/18/241*-,True
87+59+7+41-72,8759+7+4+72/,True
4-36/29+59/24,43629/-8124/*,False
12-14*66/57/71,126766*57/71/-,True
91/38-12/41/44,9138/1241/44/-,True
31*14-18*61-25,3114-9261*-25/,False
70-14/50+72/44,708250/-72+44-,False
24/21*39+50+35,2421/39*91+35+,False
60/14*99*56+45,6043/61*56*45+,False
30-4*26*26+4,91426*26*-4+,True
44/45*64-20*27,444564*+2027*-,False
75*97-76/63*29,8974+7663/29*-,False
4+95/12/32*29,495*12/49/29*,False
89+27*82-46*71,892782*+4671*-,True
33-36-23+43*16,3336-91-4316*+,False
58/82+77-52*32,1182/77+5232*/,False
68*38+38-60/36,6838*38+9757/-,False
22-71/64*15*67,227164/15*67*-,True
87+25-58*68/14,8725+7268*14/-,True
51/15-8+68+47,5115/8-87+47+,False
68-62/96-40+36,681*96/40-34+,False
54+41+30*76*60,5441+3076*60//,True
95+42+92-76/72,3042+92+7672/-,False
18-19*82/86*4,181982*86/72*-,True
40*71/38/97/33,4071*38/97/33/,True
50-10*61*8*78,71061*8*78*-,True
48+34/26/6-25,483426-68/+25-,False
62/42-26*68/95,6242/2668*95/-,True
93-71/70+25+5,933470--86+5+,False
79*33-45/69-95,7933-4569/-95-,False
55-82-85/85+48,5582-859*-48+,False
25/58*2/82+83,2558/88*82+83+,True
59+91/69/90*25,239169/90/25*+,True
30/47/1*3+3,3047/22/3*3+,True
39*31/73-18/55,3931*73/1871/-,False
18+21/65*28-56,1821+6528*-56-,False
68-26/68+64*69,6826-68-6469*/,False
21/48-85-37/22,2188/85-3722/-,False
87/23+13+34+56,8722/13+89+56+,False
68/77+56+7*5,3637/56+75*+,True
78*96*72+18-13,7896*72*40+13-,True
96+81*81-71/69,968181*+7169/-,True
