Original,Perturbed,Is_Equivalent
630/678--737+-184--810+536-989*368/-381*672,630678/-737/-184+-810-536+989368*-381/672*-,False
956*2--827-355+-251+-534*811+-399+523/-667,9562*-827/355--251214*811*+-399+523-667/+,False
438+-421/11+284/512/490--360--435*629-649,438-421*11/284512/490/+-360--435629*+649-,False
-130--406--665--165--738-24+-719+-75+-750/-262,-130-406--665--165-738/-24--719+-75+-750-262/+,False
255/903+105-896*-83/-517--701+-763+56+434,255903/105+896-83*-517/+-701--763+56+434+,False
677+-826+-842/243+710+-917--231--347*21*-317,677-826+-842243/+710--917+-231--34721*-317*-,False
865*-205*771/577*-327-639+732--696+621+214,138-205*771*577/-327*639-732+874-621+214+,True
884/-350*-163-94*-427/-649*26*-575/69+-908,884-350*-163*94-427*-649/48*-575*69/--908+,False
-897+426*-989*-271*-725*488/23/-527/-363-106,-477429+-989-271*-725*488*23/-527/-363/-106-,False
847/424*744/233*-267*214+114-224+760*-62,847311/744*233/-267*214*114+224-760-62*+,False
-510+-91-427+-241--74/565/594+-355/-950+661,-510-91+427--241+-74565/594/--355+-950+661+,False
782--811+-770+50/846/-574*514*-517-192*745,782765--770/50846/-574/514*-517*+192745*-,False
138*-557/-656+286*122--693/147--432*-974-550,138-557*-656/286122*/-693147/--75-974*-550-,True
239*60/-206--795+-985*28/-303/178/-747*-465,239-801*-206/-795--98528*-303/178/-747/+-465+,False
-369+537/-977+891-35+-776+-166--614+867*450,-369537-977/+891+35--776+-166+-614-867450*+,False
-128*-708*966+520*-958*901/-364--495--709+665,-128-708*966*520-958*901*-364/+-495118/-665+,False
-498--118/-75+855--334/751*-247+-81--527+-320,-498-118-415/-855+-334751/-247*--81+-527--320+,False
630*591--133--749/705*-809-739+-435-326/934,630591+-133--749705/-809*-262--435+326934/-,True
936/202*-376/189+-499--497+1--32*-918*-890,936202/-376*189/-499+-497-1+-32-918*-890*-,True
728/258+315*282-47--133-382--381+-497*-164,728258/315282*+47--133-829--381--497-164*+,False
-734*-888--701*-472+-946+124+755*-754*-358+237,-734-888*-701-472*-707/124+755-754*-358*+237+,False
196--697*-547/869+-329+-705+41--861+-626*-891,196-697-547*869/--329+248+41+-861--626-891*+,True
-625+816*-69--557-979+890*-531-488*843--100,-625816-69*+-557-979-890-102*+488843*--100-,True
624*-548/-915*-52+591*498/294/413+-762-525,624-548--915/-52*591498*294/413/+-762+525-,True
-650*542+4+-801/465/-184+703*-296/785-249,-650542*4-801*465/-184*+703-296*785/+479-,False
501/881+-942--128+-374+-337*228--952*-46-557,501881/-942+-128--374+-337228*+-952-46*-557-,False
-512*609*-75*-201/-296+-863/-966/-526--715+36,-512609*-75*-201*-407/-863-966/-526/+-715-36+,True
-357+302/707+-850/-592*-188+-351--736/-324/929,-357302+707--850-592/-188*+-351+-736-324/929/-,False
969/91/377*-664/427*163+-922*942*921+384,96991/377/-664*173/163*-922942*921**656+,False
-730*2-816-442-314/710+108*56/-491/791,-7302*-896-442-314710/-108-601*-491/791/+,False
548*-534--3/-742+-76/-797-742-528/437--314,548-534*-3-742//-76-797/742/+528437/--314-,False
-2/-185/280+944*-736/445/246--544+563--964,-2-185/280/944-736*445/246//-544-563+-964-,False
-169+-516+-448--525/693/884/-693/-819+-920--797,913-516+-448+-525693/884/-693/-819/--920+-797-,False
404-213/919-273-306*191*-280+889*-575-441,404213919/-273-306191*-280*-889-575*+441-,False
-223+-797+440+-313*569-309+757-377/-150--283,-223-355+440+-313569*+309-757+377-150/--283-,False
-161+-28-426+210*-509/-219*-466/428-546-574,-161-28+426/210-509*-219/-466*428/+546-574-,True
183+-469*599*-472*-917/114--563*420*-899/703,183-469599*-472*-917*114/+-563420*-899*703/-,True
102*283--359/-138*512-842/-729+-105+54/-368,102283*-359-138/512*-842-729/--105+54-368/+,True
864--85*965*-418-276*-286+226/-902/587*-614,864-85965*-418*-276-286*-226-902/587/-614-+,True
-331*-585*-582--647--569+305+975*-474--429*891,-331-585*-582*-647--569-305+-982672*+-429891*-,False
279*129+-879--173-127+273*-21/-8-160-749,279129*-879+-173/127-273-21*-8/+160-749-,True
-856+-750/-667/681/-10/665+290--7*-388+644,-856240-667/681/-10/665/+290+-7-388*-644+,False
916+114/944+-550-382+-197*-567+207--632*-878,916114944/+-550+283--197-567*+207+-632671*/,False
483+2/791/516/-139*760+813*-855/-720/612,4832228/516/-139/760*+813-855*-720/612/+,True
-851*-406+136*818-874/-944+830+-773--242+-157,-851-406*136818*+874466/-830+-773+-242--157+,False
-225*-817/780/377/402-103/-408/-956/485-91,-225-817*780/377/402/103-408/-956/485--91-,True
-788*610+932-774+-124+921*-965/-190*-78+89,-788610*932+774--124+921-965*-7/-78*+89+,False
956*203*448-319+256--975/222*-111/634/-525,-243203*448*319-256+-975222/-111*634/-525/-,False
502+-182*258-758/-226*-165+-77+387/334+-761,502-182258**758-226/-165*--77+-319334/+-761+,True
