Original,Perturbed,Is_Equivalent
-61/-18/32/-10-7,-61-18/32/-10/7+,False
91/99*-89--63--24,9199/-23*-63-24*-,False
-97*-44+-49/13+-88,-97-44*2813/*-88+,False
91*56--32-23/-3,9156*-100-23-3/*,True
91--58+59-59*-2,91-58-59+59-2*/,True
-54--61+-27*-76*-97,-54-61--27-76*-97*+,True
9*33-76+-70-58,9-36*76/-70+58-,True
-71-78+-67--41*-34,-7178--67+-41-34*-,True
67*-21+63*-78/-84,67-21*63-78*-84/+,True
-64+30--94*-78+-71,-64-22+-94-78*--71+,True
61--46/-95*76*31,61-46-95/76*31*-,True
24+-43*41/-97-84,24-4341*90/+84-,True
78/73+-42-4+-15,7873/-42+4--15+,True
79-98--75/44+50,7998--7544/-50+,True
-43/-3-24*76/-56,-4322/24-28*-56/-,False
61+-82-47--80-72,61-82*47--80-72-,False
51*-17--100/41*28,73-17*2041/28*-,True
7+-12*14+74/40,7-1214*+7440/+,True
64+62*80-31+-67,956280*+-12--67+,True
-8/-11*-91-28-26,-8-11/-91*-81-26-,True
-88+81*93*80--44,-888193*80*+-44-,True
-34+-46-93-56-67,-34-46+93-56/-17-,True
-80/-58/66/16*59,92-58/66/16-59*,True
92*-35/-35*45+43,-97-35*-32/45*43+,False
-13--24+-61/8+78,-138--618/+78+,True
15-53+33--27+57,1553-33+-27-57-,False
-34*-27-59+74--54,-34-27*59-74-54*+,False
56-51+-13*-6/-15,5651--13-6*-76/+,True
47*-85--74*-58-46,47-85*-74-58*-20-,True
44/-70--28/-26--37,-100-70/-28-26/--37-,True
38+56*-22--97--26,3856-22*+70-54-,False
-84/59--25/-5/-86,-8459/-25-100/-86/-,True
85+75*48+-82/-3,857548*+-82-3/+,True
42/-64+-22+-67/-50,42-64/-22+-67-50-+,True
67-76*15*-64+-39,677015*--64+-50+,False
-34-15+78*-12-69,7615-78-12*+69-,False
18/82/43*55+47,-7282/43/55*47+,False
68*-75+-55--4-92,68-59*-55+-4-92-,False
-98*82*21*-43*-12,-9882*21*-43*24*,True
92+-6+-72/92/28,92-6/-7292/-43/+,True
70*2*-7*67*-7,702*-7*36*-7*,True
75+68+41*-23--63,7568+48-23*+-63-,True
-72/-86*4+82*-72,-72-86/4*82-72*+,True
-36--48*-58/-15+-46,-36-89-58*-15/+-46+,False
49-16-96*10*14,4916-9674*-69*-,False
-90--17+-42/-24--65,-90-17--42-24/+-65-,True
-8*23*-85/37+69,-8-87*-42*-38/69+,False
-63*31/20--12/-34,-6331*20/-12-34/-,False
94+-55/-16+74/17,94-55-16/+-4717/+,False
74*87/-43+-24+-8,7487-43/+-24+-8+,False
39*42--64--76-0,39-49*-64--76-0-,False
51/-77+79*-21-97,51-77/79-19*+97-,False
-77*-34/-43*55+-3,-77-34*-43/55*-3+,True
99*41/-89/-99*-40,6841*-89/-99/-40*,True
84*50+-48-99/-92,-1250*-48/99-92/-,False
49/28+93*14*-4,-3628/2914*-4*+,True
87/46*33+65*-80,8746/33*6553**,False
83+-97+-71+12-97,83-97+-71+12+97-,True
-32*5*-5*91/10,-325--5/91*10/,False
75/-36/21+-81/-44,75-36/21/-81-44/+,True
-91-28*-34+63+14,-9128-34--84+59+,False
76*-71+89--2+-79,76-71-89+-2--79/,True
-56--84+89/-61/17,22-84-89-61/17/+,True
60+-22*1*69*82,60-221*69-82*+,True
-88+-21*20--70*-15,-88-2191*+-70-33*-,False
65/-97--69+77+-20,65-97/-69-77+-20+,True
89/-8+71*83+-97,89-78/7183*+-97*,True
-65/97*-51*-33*20,-6597--51*-70*20*,False
-7/31-65*-15--25,-731/-2-15*--25/,False
-98+-18+70*28--78,-98-18-7028*+-78/,True
-17/-54/-70+9*79,-17-54/-70/979*+,True
-79/-37--89+-10+66,-793--89--10+35+,False
99-34+44*-21*85,9934-44-21*85++,True
-68*-36*82/-75*6,-68-36*82*-75/6*,True
-22+-18-73/93+-76,-22-18+7393+--76-,False
80--84+-64-7+-36,55-84--64+7--36+,False
78--69/42/-85--47,21-6942/-85+--47-,True
-61-94*-7/26+77,-6194/-7-26/77+,False
80/56+60*46+67,8056/6046*67/+,False
-25+23--75-36+96,-2523+-75-36-67+,False
74-88/82+85*-12,7488-25/--81-12*+,True
10/37/-16/-27/3,9741/-16*-27/3/,False
-18+-87+53+87*5,-18-87/53+-415*+,False
-48*37/-18*92/-67,-4837*-18/92*26/,False
69*72+-66--21*-77,6972--66+-21-77*-,True
-62--78+-29*18+9,40-44--29-48*+9+,False
33/47-33/93*77,3347/3393/77--,True
-10*56/66-40*40,-105666/+4040**,False
8*22/-80--94/56,-1122*-80/-9456/+,False
85-68/-59/-54*-25,5068-59/-54/--25+,False
-25*-5/-99/-77--7,-94-5*-99/-77/-7-,True
-29*-3*4-16/73,-1-34*+1673/-,False
-66-73+54*80*-17,3473--5580*-17*/,False
-7+26+-61+-69*16,-726+-61+-6916*+,True
-76-29*-47/45/80,-76291*45/94/-,True
68*94+40+-67/-37,8294*40+-67-37/+,False
-69*-34+-80+78*-20,-69-34*-80+78-20*+,False
51/12+26+97/26,5112/26+97-54/+,True
-91-69/-90/-54-16,-3569-73/-54/-16-,True
-100/-97/63*84*-69,-100-97/63/84*-69-,True
-76*-70*-6+91--1,-24-70*-6+91+-1-,False
86+-61+36*6/-45,8644-366*-45/+,True
67+-56-77*-72+-4,67-14+77-72*--4+,False
-5+27+-5/-66/15,-527+-531/15/+,True
-11/-33--5-16--85,-11-33/-5-16--85-,True
-28--74/-58+62*37,-28-74-58*-6237*+,True
75/2/61*-16*10,752/61*-16*10*,False
92/-37*-29+-43-82,92-37/-29*-43+82-,True
-58+-36--99/25*-16,-58-48+-9925/-16*-,True
66/-38--89--60-55,66-38/67--60--5-,False
-63+-23--82--38-69,-24-23+-82--38-69-,True
68*-42+-44/8--13,68-42*-448/+-13-,True
-82/66/-26/64/-64,-8266/-26-64/-64/,True
-34*-32*-100+24/-95,34-32*-100/24-95/+,False
27--32*77+27+98,27-32-77+27+99+,False
35--89-31*7+76,35-89-31-7-76-,False
-59+-82--29-50/-69,-59-82+-29/50-10*-,False
-86--22/-77-85/34,-86-22-77/-534/-,False
97/-73--11*52+-94,97-73/-1152*+-94+,True
27--82*60/25*-38,-6-8260-25/-38*-,False
71/27*-13-52/31,-7627/-13*5231--,True
-49+79/-19-42/43,-4979-19/+42-34/-,True
-19-76*75--23--51,-387675*--23--51-,True
51*-39--8+-77-79,51-39*-8--41+-92-,False
5/-10+-15/61--15,5-10/-15-97/+-15-,False
1+23/-90*75*-10,123-90/75/-10*+,True
92+-12*-32*33-52,925-32*33*+52-,True
4-59*-38-32*-86,45934*--67-86*-,False
93/21*8-23+-49,9321/8*23--49/,True
-36--83+-33*-30/-18,-363--33-30*-18/+,False
80+86*-51*-73--29,8086-51*-73-+-29-,True
-31-11+-13/-59/-21,-1311--13-68/-21/+,False
86+-45--73*-73*-46,86-45+-73-27*-46*-,False
-77*7*16/-11+65,-77-21*16--11*65+,False
2/36/97*-90/-29,236+97/-90--29/,True
85+-33--87*-64--71,85-33+-87-64**-71-,True
41*-42*80+93-42,4156*80*93/42-,True
7/38+-51/-70*81,738/-51-70/+81-,False
63*-72*-73--10--100,63-72*-73*-10--100-,True
-35-49*-1*79+44,-3586-1*-27*-44+,False
62-3/76--12+-29,623-88/--21--29+,False
-94--26-40+10+-89,-94-26-40-10+44+,True
57+-60+-51-67+16,57-60+-51+67-16+,False
60*-76/-6*-22--36,60-76*-6/-22+-36-,False
0-25-13/-52/-6,025-13-52/-6/-,True
-8/-6-7/17/55,-8-6/717/55/*,True
-96--24*93/-26+-85,-96-24-66*87/--85+,True
13*87*-13/96/-43,1387*-13*96/-43-,True
-36*-18+46-30*87,-36-18*46+30-21*-,True
-33-27-64+33/5,-3327-64-335/+,True
-67/49-0+75/18,3649/0-7518/+,True
-49*-93-55*-21*50,64-93*55-21*50*-,False
-37--5+-18+74/86,-37-5--18+7486/+,True
52+-6-87/-4*-53,-189+87-4/-53*-,False
-53-34*-9+-90--85,-5334-9*--90+-85-,True
39*-88/-49+-62+-58,39-88*-49/-62+-58+,True
-43/-57+-46*-23*30,-43-57/-46-23*30*+,True
12*78/94+47+74,6578*94/47+74+,True
-59*45*52+-61/-78,-5945*52*-61-78/-,True
-88/71/35+-66/-93,-8871/35/-66+-93-,False
-78*65+78/32+88,-7865*78+32/88/,False
-70-30+-76*84*-49,-7030--7684*-49*+,True
60-21/-9-17/-53,6021-9/-17-53/-,True
-32*53-96+-91*-95,6-8*95--91-95*+,False
6+34*31/-5-45,63431*-14/+45-,True
20-2*-97/-6*-64,202-97*-6/-42*-,True
28/-55--85/79-53,47-55/-8552/--52-,False
-3*16/-67+99*81,-316*-67/9981*+,True
25+61-74*58+-20,2561+7458*-90*,True
67--89/-39/48/3,67-89/-39/48/3/,False
16--21/80--85/10,162280/--850/-,False
-70+-92--81--92+-96,-70-92+-81--92*-96*,True
44*59+78+-57+-78,4459*78+-57+-78*,True
-46*48--88/-95--38,-4648*-88-95/--38-,True
-68/77--76-0--9,-6877/-76+0--9+,False
