Original,Perturbed,Is_Equivalent
7.94^2-(4.94*7.95*9.77*(9.6*5.27-0.53+(3.33^2+6.78-5.17/4.7^1-(6.06)))),2^*4.94*7.95*9.6-5.272^+3.33-6.78/-1^6.06-4.7+0.53*9.77-7.94,True
5.17-7.38-7.52^1-6.81^9.88^2-0.93+9.63^2-1.81-1.64/1.4^1+(1.61),-5.17-7.381^-7.52*6.812^-9.88+0.932^-9.63-1.81/1.641^1.61++,False
5.89+3.28*9.18/5.5+0.07+9.92+3.26+0.14/5.34/5.78*7.39^1-7.67/4.58-2.12,+5.89*3.28/9.18+5.5+0.07+9.92+3.26/0.14/5.34*5.782.37^-7.39/7.67-4.582.12,True
(1.38/5.91/3.7*(1.04^2-(0.23*6.56)/4.97+0.36)-5.21^1-5.76^2-8.89+(4.08)),/1.38/5.912^*0.236.56/-1.04+-0.36*-3.71^-5.212^-5.764.08+8.89,True
4.36*2.99^1+8.59+9.24/0.31/7.45+8.72-3.81+7.14*4.03/1.74-(7.15+6.01/6.62),*4.361^-2.99+8.59/9.24/0.31+7.45-8.72+3.81*^/4.03+7.15/6.01*-1.74,False
(1.05*6.33*0.81)+8.47/(*/(5.81+8.55*7.97*9.42^1-5.5*3.43-2.75)*2.56)-(4.41),*1.05*6.330.81++5.81*8.55*7.971^-9.42*5.5-3.432.75/*2.282.56/4.41-8.47,False
3.83-7.94-(6.86-(6.91/2.03)/3.55+5.75-2.68^2+6.27)-7.1-(4.57/(3.72^1+(5.16))),-3.83/6.912.03/-6.86+3.55-5.752^+2.686.27--7.941^5.16+3.72/4.57-7.1,True
1.34-3.37/4.02+8.75-(3.93+2.93-2.98*(1.7*9.8+3.24*5.65/8.1/0.55)^2+2.19),-1.34/3.37+4.02+3.93*2.93*1.7+/*3.24/5.65+8.10.550.86^*+2.982.19-8.75,False
5.23^2-6.15^2+4.47-5.81/2.25^1-0.77^1+3.31-0.48/(9.17+(3.62/8.2)),2^-5.232^+6.15-4.47/5.814.8^-2.251^+0.77+3.31/*8.2+9.17/0.48,False
(7.8*3.53^2+4.5*6.88/3.48-1.42)*7.59/6.41+(2.83^2.27+(5.39/2.47+8.06-3.4)),*7.82^+3.53*4.5/6.88-3.481.42*/7.591^/5.39+2.47-8.063.4+2.83+6.41,False
9.57+2.88-3.38-2.38+2.39/0.43/9.28+(7.76*3.93*3.05-7.59/1.4/6.04+3.82^2),+*-2.88-3.38+2.38/2.39/0.43*7.76*3.93-3.05/7.59/1.4/6.042^3.82+9.28,True
(2.59/6.09/4.14^2+5.73*8.05*0.12*5.59-(1.64*1.95)^1-6.37*7.7/5.68/5.41),/*/6.092^+4.14*5.73*8.05*0.12*1.641.951^--^*6.37/7.7/5.685.41,True
0.52^2+8.52*8.0^1-6.54^2-8.48+8.2^1+6.81-8.14+5.83-4.37^2,2^+0.52**1^-8.02^-6.54+8.481^+^-6.81+8.14-5.832^4.37,False
0.19^2-7.86*(1.31*0.39*6.12/5.44-6.82/7.02/8.1-1.07)*4.5+1.5^1+5.91,2^-0.19*1.31*0.39/6.12-5.44/6.82/7.02-8.11.07**7.86+4.51^+1.55.91,True
4.26+3.25/5.04/5.28*2.57-6.01/6.66+2.2^1+0.13*(1.67*4.1/2.86)-7.81-1.66,+4.26/3.25-5.04*5.28-2.57/6.01+6.661^+2.2*^/4.12.86*-0.13-7.811.66,False
1.37-9.3+0.96^2-1.26-0.36/1.38/9.24+5.81*4.3/7.69/2.6*6.44^2-9.72,-1.37+9.32^---1.26/0.36/1.38+9.24*5.81/4.3/7.69*2.62^*6.449.72,True
0.31/0.11+2.34-8.05^1+(3.69*6.39)*2.09*(7.72-/-1.9^1-5.64)+1.75*(8.45),+0.31+0.11-2.341^*^6.39*+8.05-7.72-6.271^-1.95.64*+2.098.45*1.75,False
(2.93^2+7.64+9.25/8.62-9.43)/(4.49+(9.39*6.8)-(5.31*1.91^1+5.02+5.76)^2),2^+2.93*7.64/9.25-^9.43*9.396.8+*5.311^+1.91+5.025.762^+4.49/,True
3.39+4.73^1-9.86-4.74+5.12^1+0.64-8.59*6.89^1+8.52^1+2.63-1.53,+3.391^-4.73-9.86+4.741^+5.12-0.64*8.591^+6.891^+8.52-2.631.53,True
7.14-2.91+6.16/1.52-9.98/0.05^1-9.42+(9.93+9.52*3.6/(1.32-(6.41*3.48^1))),-7.14+2.91/6.16-1.52/9.981^-0.05+9.93*-*6.411^3.48-1.32/3.6+9.42,True
