Original,Perturbed,Is_Equivalent
( 815.83 * ( 884.01 / ( 841.32 + -621.02 * -915.55 + ( -349.92 ^ 2 + 643.47 - 740.33 * 41.77 - -519.86 - 623.49 ^ 2 - 99.35 ) / -132.89 ) ) ),+ 841.32 * -621.02 616.27 ^ + -349.92 - 643.47 * 740.33 - 41.77 - -519.86 -703.85 ^ - 623.49 99.35 / + -915.55 -132.89 / 884.01 * 815.83,True
( 840.73 - ( 521.16 ^ 2 + -850.23 - -121.88 - -748.84 - -670.04 + 287.3 + -130.9 / ( -459.16 / -761.58 - -914.52 - 316.22 / ( 871.87 ^ 2 ) ) ) ),2 ^ + 521.16 - -850.23 / -121.88 - -748.84 + -670.04 + 287.3 / -459.16 - / - -914.52 2 ^ 871.87 / 316.22 / -130.9 - 840.73,False
-796.7 * -192.21 / ( -479.99 / ( 889.71 / -6.39 - 322.33 - 605.75 + -810.9 ^ 2 - -416.67 ^ 2 - 305.43 ) / 449.98 + -255.8 ) ^ 2,* -796.7 / 889.71 - -6.39 - / + 605.75 2 ^ - -810.9 2 ^ - -416.67 305.43 / / -479.99 + 449.98 -255.8 2 ^ / -192.21,True
259.46 ^ -938.88 + 259.49 - -503.29 * 335.34 + ( 874.41 / -745.74 ) + -691.2 + 595.87 ^ 1 + ( -616.23 - -263.39 * -157.42 / 4.09 / 113.28 ),2 ^ + 259.46 - 259.49 * * / 874.41 -745.74 + + 335.34 + -691.2 1 + - -616.23 * -263.39 / -157.42 / 4.09 113.28 + 595.87,False
+ / 326.77 - -756.28 / 191.93 / ( -428.42 ^ 1 + -922.97 * 832.51 / -566.25 * 789.3 / -167.48 ) / -392.97 - ( -105.12 + 340.92 + ( 780.0 ) ),/ 464.63 - 326.77 / -756.28 1 ^ + -428.42 ^ -922.97 / 832.51 * -566.25 / 789.3 -167.48 / / 191.93 + -105.12 780.0 + 340.92 - -392.97,False
482.02 * -332.34 / -346.51 / -742.69 - -167.73 / ( -536.25 / / ^ 2 - -947.11 + 974.65 - -495.35 - 194.39 ^ 1 - 806.49 + -691.21 ),* 482.02 / -332.34 + -346.51 - -742.69 / -536.25 2 ^ - -974.19 + -947.11 - 974.65 - -495.35 1 ^ - 194.39 + 806.49 -691.21 / -167.73,False
465.83 - 171.59 - -447.36 + -883.63 + -744.68 / 231.36 - 474.6 - 225.49 ^ 1 - -66.22 ^ 729.96 + 714.82 * ( -122.83 / 199.09 ) ^ 2,- 465.83 - 171.59 + -447.36 + -883.63 / -744.68 - 231.36 - 474.6 1 ^ - 225.49 1 ^ + + / -122.83 199.09 2 ^ * 714.82,False
-784.4 / ( 705.24 * -962.97 / ( 190.9 + 172.33 + -782.01 + 518.11 ^ 1 - -916.89 + -954.21 ^ 1 - ( - - 331.0 * ( -807.62 - 410.12 ) ) ) ),* 705.24 + 190.9 + ^ + -782.01 1 ^ - 518.11 + -916.89 1 ^ - 928.44 - -807.62 410.12 * 331.0 - -954.21 / -962.97 / -784.4,False
-495.28 - -290.44 * 679.67 / 267.69 - -666.17 * 618.75 / 697.04 * 674.75 + 761.25 + 351.49 / 206.32 / -465.11 - -711.19 ^ 1 + 595.02,- -495.28 * -290.44 / 679.67 - 267.69 * -666.17 / 618.75 * 697.04 + 674.75 + 761.25 + 351.49 / 206.32 - -465.11 1 ^ + -711.19 595.02,True
20.09 * -906.35 - 492.43 - -453.4 / 111.13 / 244.68 - 422.14 / 977.85 / -79.79 / ( 862.56 + ( -984.26 ^ 1 + + * -489.62 * 502.08 ) ),* 20.09 - -906.35 - + / -453.4 / 111.13 - 244.68 / 422.14 / 977.85 1 + + -984.26 * 108.3 * + 502.08 + 862.56 / -79.79,False
10.53 ^ 2 - 207.91 - 927.25 / 203.25 - -463.21 + -606.76 - -710.01 - 817.25 * 109.11 ^ 1 - 471.2 / 644.21 ^ 2 - 678.64,2 ^ - 10.53 - 207.91 / 927.25 - 203.25 + -463.21 - -606.76 - -710.01 * 817.25 1 ^ - 109.11 / 471.2 2 ^ - - 678.64,True
918.66 - -182.14 / 471.21 + -110.3 + -738.02 / ( -605.1 / 554.55 * 369.63 / -670.63 * -217.43 * -321.14 - 0.04 * ( -188.63 + ( -794.4 ^ 1 ) ) ),- 918.66 / - + 471.21 + -110.3 / -605.1 * 554.55 / 369.63 * -670.63 * -217.43 - -321.14 1 ^ -794.4 + -188.63 - 0.04 / -738.02,True
724.02 / 746.28 - ( 817.69 - -760.71 - -517.65 ^ 1 + 511.22 ) * 18.51 - -349.43 ^ 2 + ( 530.13 - ( 621.88 ^ 2 - -236.91 ^ 504.57 ) ),/ 724.02 - 817.69 - -760.71 1 ^ + -517.65 511.22 * - 746.28 - 18.51 2 ^ 2 ^ - 621.88 1 ^ -236.91 / 530.13 + -349.43,False
-188.57 / 955.09 + -926.52 - -354.04 / 457.09 / 267.67 ^ 1 + -870.65 / -725.07 + -323.95 ^ 2 - -365.11 / -225.49 + ( -914.48 ^ 2 ),/ -188.57 + 955.09 - -926.52 / -354.04 / 457.09 1 ^ + 267.67 / -870.65 + -725.07 2 ^ + -323.95 / -365.11 2 ^ -914.48 + -225.49,True
937.94 * 757.58 - -944.7 - -183.41 * -264.5 ^ 1 - -432.02 * ( -68.69 + -761.49 - 279.86 + 607.63 ) ^ 1 + 545.15 + -413.82 ^ 2,* 937.94 - 757.58 - -944.7 * -183.41 1 ^ / -264.5 + -68.69 - -761.49 + 279.86 607.63 1 ^ * + -432.02 + 545.15 2 ^ -413.82,True
764.99 / 703.64 - ( 99.65 * ( -860.86 * -45.58 + 183.06 + 632.87 + -793.11 ^ 2 + -704.47 ^ 1 - -13.19 ) - 536.12 ) / 860.28 + ( -108.38 ),/ 764.99 * -860.86 + -45.58 + 183.06 + 632.87 2 ^ + -793.11 471.44 ^ - -704.47 -13.19 * - 99.65 536.12 / - 703.64 -108.38 + 860.28,True
585.29 / 567.89 / -65.05 ^ 2 - -965.35 ^ 1 - 287.69 * 236.62 * 614.01 * -208.58 / 684.18 ^ 2 + 919.23 + -363.22 - 818.09,/ - / 567.89 2 ^ - -65.05 1 ^ - -965.35 * 287.69 * 236.62 * 614.01 / -208.58 2 ^ + 684.18 + 919.23 - -363.22 818.09,True
382.28 / -198.08 / -18.31 ^ 1 + -565.68 / -641.16 ^ 2 + -445.37 * -981.37 + -549.89 ^ 2 - -83.68 / -82.56 * -538.46 + -243.05,/ 382.28 / -198.08 1 ^ + -18.31 - -565.68 2 ^ + -641.16 * -445.37 * -981.37 2 ^ - -549.89 / -83.68 * -82.56 + -538.46 -243.05,False
565.48 * -894.0 + 4.73 * -974.23 ^ 250.13 + 959.22 ^ 1 + 303.52 ^ 1 + 744.98 / -715.37 - 395.37 ^ 2 - -656.31 ^ 1,* 565.48 + -894.0 * 4.73 1 ^ + -974.23 1 ^ + * 1 ^ + 303.52 / - - -715.37 2 ^ - 395.37 1 ^ -656.31,False
74.88 / -907.57 - -391.15 / -480.73 * ( -52.9 ^ 2 - ( -243.55 + -64.59 ) - 699.79 ) * -292.78 / -490.31 - ( 158.39 - 935.75 + -686.94 ^ 1 ),/ 74.88 - + / -391.15 2 ^ + -243.55 -64.59 + - ^ 699.79 * * -480.73 / -292.78 - 158.39 + 935.75 1 ^ -686.94 - -490.31,True
-590.04 / -181.27 * 165.91 - 703.34 * 254.84 - -52.1 - -883.48 + 933.72 + -64.79 + ( -503.79 / 861.06 - ( 103.6 ^ 1 + 553.61 ^ 2 ) ),/ ^ * -181.27 - 165.91 * 703.34 ^ 254.84 - -52.1 + -883.48 + 933.72 / -503.79 1 ^ + 103.6 2 ^ 553.61 - 861.06 + -64.79,True
495.32 / -564.04 - -4.88 / 200.33 - -8.48 * -808.6 * 50.47 / 737.18 - 864.91 - -469.09 / -951.98 / -974.38 * ( 909.79 * 760.46 / -926.92 ),/ + - -564.04 / -4.88 - 200.33 * -8.48 * -808.6 / 50.47 - 737.18 - 864.91 / -469.09 / -951.98 * 909.79 / 760.46 -926.92 * -974.38,True
( -294.6 ^ 1 - -619.34 / ( 542.69 + -622.06 + -758.91 / 296.44 ) - ( 27.74 + -506.43 ^ 1 - -361.95 + 400.07 / 929.76 + -678.24 / 447.09 ) ),1 ^ - -294.6 + 542.69 + -622.06 / -758.91 296.44 / + 27.74 1 ^ - -506.43 + -361.95 + * + 929.76 / -678.24 - - -619.34,False
374.91 / -364.8 + 309.14 ^ 1 - - ^ 1 - 574.33 / -678.35 ^ 1 - -819.6 ^ 2 + -208.75 ^ 2 + -701.6 - 37.89,/ ^ + -364.8 1 ^ - 309.14 1 ^ - 866.68 / 574.33 1 ^ - -678.35 191.3 ^ + -819.6 2 ^ + -208.75 - -701.6 37.89,False
-65.69 / ( 72.42 * 508.32 ^ 2 - ( 259.56 ^ 1 + 750.2 * 605.18 - -318.11 + -364.59 - 813.48 ) + -719.48 ^ 1 + 975.85 / -365.57 ),* 72.42 2 ^ 1 ^ + 259.56 * 750.2 - 605.18 + -318.11 - -364.59 - - + 508.32 1 ^ + * / 975.85 -365.57 / -65.69,True
