Original,Perturbed,Is_Equivalent
-375 / 221 / 869 / -670 + 355,-375 428 / 869 / -670 / 355 +,False
781 * -1000 - -460 - -705 / -235,781 -872 * -460 - 202 - -235 +,False
206 ^ 2 - -708 / 31 / -93,206 2 ^ -993 -20 / -815 / +,False
( -737 / 590 + ( 662 * -988 / ( -753 ) ) ),-737 590 / 662 -988 * 776 / +,False
-961 ^ 2 + -450 / -585 - 1,-961 2 ^ -450 -585 215 ^ / +,False
-956 - -641 ^ 2 - 992 * 294,-956 -406 981 ^ - 992 294 * -,True
( 906 - ( 93 + -705 ^ -27 ^ 1 ) ),906 93 -705 + -27 1 ^ - -,False
-187 ^ 1 - ( 425 + ( 246 * -487 ) ),-187 1 ^ 425 246 -487 * * -,True
( -241 / 799 ^ 2 - 369 * -759 ),-241 799 -636 ^ / 369 -759 * -,False
979 - ( 931 + 714 - ( -122 ^ 610 ) ),-60 931 714 + -122 610 - - -,False
-737 * -356 / 666 - ( -315 ^ 1 ),-737 -401 * -723 / -315 1 ^ -,False
-795 + 500 + ( -609 - -816 ) * -378,-795 500 * -609 -681 - -268 * +,False
330 ^ 2 - 502 * -176 - -416,140 2 ^ 502 -460 * - -416 -,True
-101 / 1 - 404 + ( 230 + 967 ),-101 1 * 404 - 230 967 + +,False
406 - 1 - ( 285 - 279 ) - 871,406 1 ^ 285 279 * - 871 -,False
-219 ^ 1 - -41 + -233 * ( -93 ),-219 1 ^ -41 - -233 -93 * +,True
421 * ( -715 + -764 / -320 - -420 ),421 -715 -764 -212 / + -420 - *,True
-805 / 945 / 332 * 7 / 183,716 945 / -750 / 7 * 37 /,False
758 + 746 + 880 - -555 / ( 470 ),758 746 + 880 + 730 470 / ^,False
-437 / 791 / -711 ^ 1 - -215,-437 791 / -711 669 / / -651 -,True
( -413 / -743 / 417 + 869 * 978 ),537 -743 / 417 / 869 978 * +,True
437 + -135 * 736 ^ -791 - ( -83 ),437 -135 736 * * -791 + -83 -,False
-91 * ( -561 / ( 878 + ( -859 + 896 ) ) ),977 -586 878 -859 896 + + / *,True
119 ^ 1 - -806 * -42 / 828,119 392 ^ -806 -42 * 828 / -,True
-850 / 472 * -325 - -775 / -460,-850 -382 279 * + -775 -460 / -,False
-629 ^ 2 + -965 - ( -329 + 638 ),-629 2 ^ -965 + -329 638 * -,False
-19 - -716 / 725 - -370 ^ 1,-19 -716 / 725 / -370 1 ^ *,False
889 * 944 / -116 / -179 - -410,889 944 * 402 / -179 / -916 -,False
-197 ^ 1 + 812 + -904 + -967,-197 1 ^ 812 + -904 + -967 +,True
( -664 * ( -386 ^ 1 - 581 ) + -772 ),-664 -386 1 ^ 581 - * -772 +,True
-99 / -584 * 523 - 113 * 320,-99 -877 / 523 * 957 320 * *,False
557 / -854 / 700 * -321 + ( 112 ),-296 -382 / 700 / -321 * 112 +,True
-10 - -118 - -702 * -187 + 62,-10 -118 - -702 -187 * - -516 +,True
-249 - 19 * 315 - -109 - -322,-249 19 315 * - -109 - -322 -,True
( 726 - ( -199 * -928 * ( -88 - -312 ) ) ),726 -199 -928 - -88 809 / - -,False
958 / -27 / 993 ^ 1 - 266,958 129 / 993 1 ^ / 266 -,True
-292 / 615 + 446 / 116 / -936,853 615 / 446 116 / -936 / +,False
-518 * 1 + 796 * 196 / -536,-518 1 ^ 165 196 * -536 / +,False
723 / -807 - -166 ^ 1 + -558,723 -807 ^ -166 274 ^ - -558 +,True
