Original,Perturbed,Is_Equivalent
(6.19-2.28-8.71+2.13)-1.19/7.9+8.42+3.33+(6.26-9.45+4.57+(3.55/7.26)+0.75)*6.88,-6.19-2.28+8.712.13-/1.19+7.9+8.42-6.26+9.45/3.557.26++4.570.75*+3.336.88,True
7.73/1.54+6.96+2.17*4.95///(1.52*4.91)*(1.84-0.27/7.82+(0.3-6.39*(2.13+5.72))),/7.73+1.54+6.96*2.17/4.95*1.524.91/-1.84/0.27--+2.135.72*6.39+7.82*4.63,False
9.12-(5.81*(7.4+6.15*8.11*8.18+0.86)+0.98-(6.21/(8.08*5.05)-3.97-5.09*1.57-0.11)),+7.4*6.15-8.11+8.180.86*+5.81*8.085.05/-6.21-3.97*5.09-1.570.11-0.98-9.12,False
7.28+5.29/8.36-7.2+1.92-5.91+6.46*3.37-4.58-(9.2/1.51/3.51-1.38/(1.71-9.24)),+7.28/5.29-8.36+7.2-1.92+5.91*6.46-3.37/9.2/1.51+3.51-1.719.24/1.38-4.58,True
6.72+2.24+4.45/4.89+8.62/5.76*1.92*2.51*7.01+1.07+4.62*2.34/7.49-(0.47*2.09),+6.72+2.24/4.45+4.89/8.62*5.76*1.92*2.51+7.01*1.07*4.62/2.34*0.472.09-7.49,False
0.5-(6.7*3.87*5.53/(6.49/1.35)-5.8*7.88/1.91/4.6)-0.54*6.04+5.34+6.06+5.45,*/-3.87/6.491.35/-5.53*5.8/7.88/1.914.6--0.5*0.54+6.04+5.34+6.065.45,True
4.56-(7.55/1.54)*4.29+5.04*5.11+6.87+5.34/7.09/7.08/3.38/1.99/3.07/4.65*4.46,/7.551.54*-4.56+4.29*5.04+5.11+6.87/5.34/7.09/7.08/*/1.99/3.07*4.654.46,True
1.74+3.02*5.56+8.81-2.87/(5.12/8.04*0.52+8.95-2.08/1.14*9.22*8.6/8.48+4.0),+1.74*/+5.56-8.81/5.12*8.04+0.52-8.95/2.08*1.14*9.22/8.6+8.484.0/-,True
8.78+4.47/6.74-7.27+0.52-7.4/7.4/4.62+(7.5+6.61/(9.95/9.17+9.38+9.26*7.96)),+8.78/4.47-6.74+7.27-0.52/7.4/7.4+7.5/*+9.17+9.38*9.267.96/6.61+4.62,True
4.37*0.84/(5.56+5.69/8.7/6.33*9.04*(0.56-5.07/9.94*5.41)-(8.42*7.54)*9.29-0.7),*4.37+5.56/5.69/8.7*6.33+0.56/5.07*9.94/**8.427.54*-+-9.290.7/0.84,True
2.49+8.0+3.96/(3.74/9.59/2.44+7.84+-+3.34-2.35/7.47/2.49/6.59+0.98)-(3.15),+2.49+8.0/3.74/9.59+-+7.84+0.75-3.34/2.35/7.47/2.49+6.590.98/3.15-3.96,False
(8.06/5.94*0.46+(9.71-1.04/5.18-7.75)+0.91*3.59/4.15+3.71+0.59)/6.27/2.25/(2.95),/8.06*5.94-9.71/1.04-5.187.75++0.46*0.91/3.59+4.15+3.710.59//-2.95/2.25,True
(0.87/8.03-(9.53*3.27)+(5.96/1.67+(8.86+8.68-7.94*9.16+7.96/6.75*2.89-1.75+(7.14)))),/0.87*9.533.27-/5.96+/-8.68*7.94+9.16/7.96*6.75-2.897.14+1.75+1.67+8.03,True
5.22*0.51-3.6-1.63+9.85+(5.93+(1.3/5.4-2.23/-)/4.25*(3.75*8.57-6.5)-8.86),*5.22-0.51-3.6+-/1.3-5.4/2.238.07/+5.93*3.75-8.576.5*+4.258.86+9.85,False
(3.13/1.94)+2.81+1.2*5.99*1.01-4.5+7.6*3.99/7.44/(3.77/9.73-7.46-7.38-2.17),/3.131.94++2.81*1.2*5.99-1.01+4.5*7.6/3.99/3.77-9.73-7.46-7.382.17/7.44,True
1.69+4.97*3.66/2.53*1.38-9.14*(3.14*7.95-0.68-7.1)+2.26*(+-4.96+4.28*8.83),+-*4.97/3.66*2.53-1.38*3.14-7.95-0.687.1*+9.14-4.27+4.96*4.288.83*-,False
0.64/1.79-1.54+(3.12*(7.72*3.98/4.06*(1.81+8.89/(5.93-3.75-3.56/7.35+9.25)*3.85))),/0.64-1.79*7.72/3.98+1.81-5.93-3.75/3.56+7.359.25/*8.893.85*4.06*3.12+1.54,True
7.68+7.42/8.55-4.2-8.45-9.86-1.31*4.7/(3.11+6.4/8.27+0.24/6.88+6.89/3.83),+7.68/7.42-8.55-4.2-8.45*9.86*1.31+3.11/6.4+*/0.24+6.88+6.893.83/*,False
2.23*0.09*(8.23+0.38/2.67+3.01-5.06-8.71)-6.62-0.06/(0.24+(4.07*4.89/8.22)*7.61),*2.23+8.23/0.38+2.67-3.01-5.068.71*-0.09-6.62*//4.898.22*+0.247.61/0.06,True
2.65-(0.86-6.74-3.42*6.15*6.33+(5.39*1.43)*6.31-0.44*+-4.44*5.37)*1.01/2.44,-0.86-6.74*3.42*6.15*5.391.43*+6.33-6.31*0.44-1.75*-5.37*-2.65/1.012.44,False
3.8/8.65+1.74*(3.26+5.24)/(5.73+9.06/7.83*9.19*(5.12+6.43/9.91)/(1.4*(0.03*1.76))),/3.8/8.65+3.265.24*+5.73/9.06*7.83+5.12/6.439.91*-0.031.76*1.4/9.19/1.74,False
4.91*6.8*0.7+(6.94+(7.1*(5.06+7.26*7.69-1.7-0.74*5.85-6.92+4.88/0.4*7.67))),*4.91/6.8+5.06*7.26-7.69-1.7*0.74-5.85+6.92/4.88*0.47.67*7.1+6.94+0.7,False
(6.44+6.37/2.56)-1.06/9.22*(6.78*7.42*6.3/1.4+(7.7-7.92+6.17)-6.98+5.08-8.83),+6.44/6.372.56-//*6.78*7.42/6.3-7.7+7.926.17+-1.4+6.98-5.08/*9.22,True
9.66+5.23/9.92/7.98-4.96-0.5-9.02+5.18+7.73+4.61-(0.04*6.12)*0.37*1.14-(1.55),+9.66/-/9.92-7.98/4.96-0.5+9.02+5.18+7.73*0.046.12*-4.61*0.371.55-1.14,True
1.83-1.15+(7.18+2.04*3.34-6.2+0.57/4.26+4.04-2.63/0.33+4.93)+0.87/(4.03/2.66),/1.83*7.18*2.04-3.34+6.2/0.57+4.26-4.04/2.63+0.334.93++1.15/4.032.66/0.87,True
7.16+(1.62+4.78*4.78/(9.23/1.98-9.71+(4.04/3.94+(6.85+1.87/3.45+8.52)+0.49-(7.74)))),+1.62*4.78/9.23--/*+6.85/1.87+3.458.52++3.947.74-0.49+9.71/4.78++,True
2.08/2.08/6.78*7.47/(3.36+1.54+5.85+5.43*2.6-9.43-5.66/5.56)+6.55/(7.66/6.11),+2.08/2.08*6.78+3.36+1.54-5.85*5.43-*-9.43/5.665.56/+7.47/7.666.11/6.55,False
(0.17-4.21)/5.02+1.1+0.26-9.77+4.98/7.28*7.08*7.05*3.5*4.78+(8.78+7.0+2.39),-0.174.21/+5.02+1.1-0.26-9.77/4.98*7.28*7.08*7.05*3.5+8.78+7.02.39+4.78,True
6.64*3.65/7.65+5.69-1.46-**(7.15+6.49-5.45-6.1+8.11)*2.35-(6.31/9.59)+7.9,*6.64/3.65++-*-1.46+7.15-6.49-5.45+6.18.11**8.84*6.319.59-+2.357.9,False
6.76+7.22*7.48*7.92*5.54+7.37+/+3.86+8.98*0.06+1.5+2.61*3.37*4.73+5.68,+6.76*7.22*7.48*7.92+5.54+7.37+5.43+3.86*8.98+0.06+1.5*2.61+3.37+4.735.68,False
7.0/2.73/0.39/6.16-1.45-4.73+1.51+(3.65+(4.55*8.56)/5.79/6.3)*6.64+9.59*(9.5),/7.0/2.73/0.39-6.16-++4.73*4.558.56/+3.65/5.796.3*+1.51+6.649.5*9.59,True
6.4-(2.21-0.4)-(1.87-8.58+3.63*+)+0.94+8.9/(8.98+6.59/7.33/7.45*9.4-7.5),-2.210.4--1.87+8.58*3.631.06-+6.4+0.94*8.98/6.59/7.33*7.45-9.47.5/-,False
6.18-(0.84*6.15-5.18)/7.38-3.25-(/-9.12*1.42)*(9.38*4.7-5.27*2.61-7.0-9.07),*0.84-6.155.18/-6.18-7.38-2.14*9.121.42*9.38-4.7*5.27-2.61-7.09.07*-3.25,False
6.11/3.75/0.45*8.48/(7.65+(8.08*2.02*0.32*2.33)+6.57-5.47+3.45-7.27*8.05+(3.91)),/6.11/3.75*0.45*+*2.02**2.33++7.65-6.57+5.47-3.45*7.273.91*8.05/8.48,False
8.13/2.64/7.57-8.69+(1.15*3.48-7.33/2.66+9.33)*4.73**+(7.34/6.33)/(8.09+9.41),/8.13/2.64-7.57*1.15-3.48/7.33+2.669.33*+8.69*4.73/7.346.33+8.099.41/+6.02,False
(1.41*3.85+8.09)-6.33*3.56/6.4*1.42*9.35+8.66+5.27-3.8/(6.73-7.9-(1.79*0.7)),*1.41+3.858.09-*6.33/3.56*6.4*/+9.35+8.66-5.27-6.73*1.790.7-7.9/3.8,True
9.0*(3.04/9.86+1.9)/9.91*9.05-9.18/8.36*(3.39*7.42)*4.25*9.85*4.84-2.25*(2.93),/3.04+9.861.9*/9.0*9.91-9.05/9.18*-+**8.36*4.25*9.85-4.842.93*2.25,False
5.83-2.67-9.56+3.93*6.4*0.86*9.04/5.49+//(2.24-5.49/6.38)+1.34+(4.31-(9.39)),-5.83-2.67+9.56*3.93*6.4*0.86/++5.49-2.24/5.496.38/+6.079.39-4.31+1.34,False
3.7+7.77*4.2/7.68/0.25*9.64-(9.39+(3.5/4.06)*9.67-6.71-(0.63-8.55*4.03*4.0)),+3.7*7.77/4.2/7.68*0.25/3.54.06*+9.39/9.67-0.63*8.55*4.034.0-6.71+9.64,False
(4.02+5.08*0.04-6.21+(5.14-(3.13/4.42/1.01+1.14*3.3+7.35)-9.16+0.06/8.34/7.58)),+4.02*5.08-0.04/3.13/-+1.01+1.14+3.37.35--5.14+9.16/*/8.347.58+6.21,False
8.43-0.32*1.7-8.24-8.99-6.05-9.1-0.01+6.26-0.27*2.58/9.33+5.08+1.84*2.88,-8.43*0.32-1.7-8.24-8.99-6.05-9.1+0.01--*0.27/2.58+9.33+5.08*1.842.88,True
6.72/3.9+5.41+4.99+(//6.48+7.73*(1.11/2.48+3.76-2.19*0.52*9.58)/(4.21-2.07)),/-+3.9+5.41/5.51+6.48/1.11+2.48+3.76*2.19-0.529.58*-4.212.07/7.73+4.99,False
8.76-5.16+7.55-3.74/7.17-3.9-4.43-0.86-5.86+4.4*6.61/4.34*(8.43-(1.99-3.44)),-8.76+*-7.55/3.74-7.17-3.9-4.43-0.86+5.86*4.4/6.61-1.99/-8.43*4.34,True
7.39/3.42/7.18*4.78-4.76/(1.59-6.61/2.18+3.1-0.67/8.33-4.31+(7.31*6.86*8.66)),/7.39/3.42*7.18-4.78-1.59/6.61+2.18-3.1/0.67--*7.31*6.868.66+4.31/4.76,True
0.83-(0.23-2.66/(9.6+8.15+0.22-3.45-9.55-6.17/5.47+(9.93+9.97+8.66/3.61-4.58))),-0.23+9.6+8.15-0.22-3.45-9.55/6.17+9.93+9.97/8.66-3.614.58+5.47/2.66-0.83,True
5.61*2.41+6.19/(7.42+9.81*1.43/9.38)+2.51-8.12+(6.34-1.16+-*2.87+4.05+9.31),*/+2.41+7.42*//1.439.38/+6.19-2.51-6.34+1.16*4.6+2.87+4.059.31+8.12,False
3.77+9.61-0.88-8.78/8.18/(3.03+6.25-3.23-2.98)*7.28*0.36/0.7+9.55-7.14-(3.82),+3.77-+-0.88/8.78+3.03-6.25-3.232.98/*8.18*7.28/0.36+0.7-9.553.82-7.14,True
5.75+1.07+3.58*2.81-1.7-7.3/8.65+4.4/3.39-4.83/9.06-3.89+(9.05-1.43-2.5),+5.75+1.07*3.58-2.81-1.7/7.3+8.65/4.4-3.39/4.83-9.06-9.05-1.432.5+3.89,True
7.38*9.7*6.42-6.99/(7.46-(6.81/(7.93-0.72+9.01/5.51)*4.79*(8.1*+/(9.87*4.21)))),*7.38*9.7-6.42-7.93+0.72/9.015.51/*6.81*8.1*9.874.21/6.75*4.79-7.46/6.99,False
(6.24/(1.13/5.26*9.26+2.52/9.77*5.28+2.48+2.89*6.66-3.11+8.03/3.01*9.82)/1.36),//*5.26+9.26/2.52*9.77+5.28+2.48*2.89-6.66+3.11/8.03*3.019.82//6.241.36,True
9.66*0.1*6.09+3.5*8.63*3.92/6.56-2.8-1.94*9.5+7.39*(5.79/9.84*0.14-5.39),*9.66*0.1+6.09-3.5*+-3.92-6.56-2.8*1.94+9.5/5.79*9.84-0.145.39*7.39,True
4.68-4.53-4.02-2.41-1.48+3.93/9.94+1.64*6.18-6.41*4.86/5.23+9.93-0.82/6.73,-4.68-4.53-4.02-2.41+1.48/3.93+9.94*1.64-6.18*6.41/4.86+5.23-9.93/0.82/,False
