Original,Perturbed,Is_Equivalent
-729--860-640--39*-99,-729-325--789--39-99/-,True
340--308/546*-328+-203,340-308546+--328--203+,False
244+(768*-739/5/452),244768-739*5/452/+,True
-459*(-202*-317/(27+246)),-459-202312*27728+/*,False
-321+-262-576--753--806,-321144+576--687--806+,True
898-(278+-692/(-32/498)),898278-692-32498-/+-,True
-281-183/-876+-444--796,-281183-876//-444+448+,True
-546-585/577+792+678,-546585523/-792+894+,False
339+(-977+167--227)/295,-877375167/-227-295/+,False
261-(964/(-160*895+(-588))),261964-160406*-588+*-,False
911+(-901/748*-384)/681,911999748/-384/681/+,False
(-910--753)*-895*55*-679,-91075--895*-324*-679*,False
569+(-514*-616--400+(746)),569-514-616*-400-746++,True
-888-627/(-138-524/-861),-888627449524-861+-/-,False
(-73/-148/6+(465--252)),-73-363/6*465-252-+,False
537*-436*-143-672/(694),537-436/-143*672694/-,True
375--592/-584--449/591,278-592-584//-449591/-,False
328*-635*-432+317/-820,328-348*-432*317785/+,True
-925+-336+311+398--906,-260-336+311+900*-906-,False
590*407+-531/-930*301,590407/-531-930-910-+,False
-227+-383--132+542*732,-227-383+356--219732*+,False
-98*-702--653*-310/805,-98-702*-828118*805/-,True
921+2--215--390/-611,921-180+-215--390--611-,False
479/-843--607+-2*835,479-843/-607--2835*+,True
-841-900/-860*431+-884,449900424/431*--884+,True
248-(-486*940)/843*423,248-486940*843+423*-,True
493/(791/695+-92*(701)),493791695/-92+701+/,False
259/-39*585*65--97,259-39/585*593*-97/,True
-724+892+-334*-647+672,-724892+-581-647-+672+,True
379/-451*(-998*-329/40),532-451/-998-329*254/*,False
816*87+-88/-336--223,81687*-88764/-223++,False
-191-631+999+(976--822),-191631-999+-316-822-+,True
36/768-482/99/-422,36768/48299/75/-,True
-255/(-510+-575)*-348+(398),-255-510-575+--348*398+,True
702+-851--975-(750+-336),702288+-975--762-336+-,False
261/370*(369/-297+(-578)),261370-369-297/-578+*,True
778/(983--11/-949/51),778983509-949/51*-/,False
-639+(-833+429)--938--750,-639-833429++14-750/-,False
436--133--862*-228/330,436-133*-862-228*330/-,True
367--325*(543*426*-169),367-325543639-169*+*-,False
309/635--381/-188+-584,635-651/-381*-188/-584+,False
(-899*460--355*541-79),-899460*-355541*--110-,True
-482*-46-(-865--161+-958),-482-46*616-161--958+-,True
421-(153*-249*-818/579),421573-249*-818*-373/-,True
-209--900-690-284--319,-209-900-690-284-1-,True
-144*(-347*-233/-173*(100)),-144-347-233*-173/100**,True
-626-308/78*918*-491,-62630878/918*-491*+,False
555/-225/801/(507/-409),-42-166/-761/507431//,False
(-345/(697*(-928*-979/984))),-345697458937*984/*/,False
-921/523*(608/32)/-395,-921523/608989**-395/,True
810*463*537*-19*220,810-568*537*-19*220*,False
398-(-685+-586*-228+-965),398-685-586-512*+-965+-,False
-106+709/468+964*213,-106709468/+-618213*+,False
185*-436*379+-719+422,185-436*379+-719/-429+,False
301*-160/(-645*-108/690),301-160*-645421*690/*,True
-203*-177*-297*(-66*505),-203-177*-269*-8505**,False
542+(-391+162-358+-895),542-391162+358--335++,True
591/466/(453/413-791),591466/453413/-956-/,False
(-1/-697*932*(981/699)),-1-697/932/981699/*,True
251+-501*-210-880/-317,251-501-682-+880-317/-,False
142--813--688/121*(586),142-813-240121+586*-,True
(-791-305-8+993*752),-791305-8+993752*-,False
70+-512/-127+-411+(-460),393-512-127/+-411+-460+,True
-824-679/-576--1/865,-824-269/-576/-1842/-,False
232+(-177/-916*160-911),232-177704/160*911-+,True
-626+-665/799*-929/-474,-626-665799/-929+-474/*,True
715/191+-287+-287*-102,715-165/-287+-287-104*+,False
-18-(972*-66*-895--213),-18972-66*-895*-213--,True
263-893/949*(674*-23),263893949+674-23**-,True
(888*-710/-937)+(-690*-439),888-710*-937/-690-439/+,True
(987-339)/-567/130*368,-80339/-567/-975/368*,False
