Original,Perturbed,Is_Equivalent
-460+-913*259/-42*-516*648/918+87-314*-252,-349-913259*-42/-516*648*918/+87+314-252*-,False
-91+-414+-821*-958*90+-630/(-600*-55/-478*744),-91-414+-821-958*90*+-630-600-55*-478/744*/+,True
389*-448+-88*946--348*-465+-43-751-(-690+-932),389-448*-88946*+-348-465*--43+751--690-932+-,True
615--641*(430+(211/392/-175-(63*699/-87)/-676)),615-641430211392/-175/-229699*-215/-676/-+*-,True
-314/333+-315+(434*-71--964)-945/673/591-326,-7333/-688+105-71*-964-+945673/591/-326-,True
-430/-500/(321/633-112/-644+657*(-588/(337+(917)))),-430-500/321633/112-644/-657299337917+/*+/,True
(-511/78*337-449*(-789*-630*-910-566)--713+-309),-51178/337*449-789-630*-910*566**--713--309+,True
(-900+(841-936/606/257)+(451/-870*(-564+773)-(607))),-900841936606/257/-+451-870/-564773+*607-/,True
871-(-217+-635+-952)/-245+-362*(-279+(457*(-525/-547))),871-217-635+-952+-245/--362-279457841-547/*+*+,False
-10/-257-554/490-910/-872-187+-887/633*(-957),-10-257/554490/-910-872/-187--887633/164*+,True
417--743*-174--293-752/-495--479/(380/-979-146),417-743444*--293-752-495/--479454-979/146-/-,True
-405--791-(-507+-974)-97-(546-634*687+(465*305)),-405-791--507-974+-97-546634687*-465305*+-,True
-712+(763*(-396+(-493/726+-959/88+(-964--110+885)))),-712763-396-493726/-4988/+-964-110-885+++*+,True
317/-994-752-(393/(-26-(-451--869)/-314*-461+-329)),317-994/752-393299-451-869--314/-461*--329+/-,True
189*-183+-733/393+422-(528-583+-824+-670*-436),189-183*973393/+422+528583--245+-670-436*+-,True
-305+397+(-87-627*-190--87)/166*-678+(447--896),-305397+-87627-190*--87-166/-678*+447-896-+,True
259*-150+-254/223/-766*-812/734/-126+142*-689,82-150*-254223/-766/+-812734/-126/-142-689*+,False
-956+(-921*(-669/455-975+(150/(947*-169*237)/-453))),-956-921-669455/975--129602-169*237//-453/+*+,False
421/577*-956/704--639-(-202*(808*(383--954+-134))),421577/-759*704/-639--202808383-954--134+**+,True
-257+(37+454+-506-(-674+349-678)/-849+(-488-(-985))),-25737454+-506+-674349+678--849/--488-612-+/,True
536/-503-390*996-290-(47/246+-281*420/-227),536-503/390996*-290-47246*-281420*-227/+-,True
-178+719/906*428*285+768+-341-797+634+-298,-178719906*428*285*+768+-761+797-634+-298+,True
-491+65+191*-404+-309-432/-229-439*404*(-545),-49165+191-404*+-309+432-229/-439-436*-545**,False
(-936-580)-316/-748/414--840/874+(825-483*(-329)),-936580-316-748/414/--840874/-156483-329*-*,True
-926--594/155/875/266-(400+44+-557--548--87),-926622155/875/266/-40044+-557+-548--87--,True
-173+87+777*-272-979*-587/-461/-509+(564--276),-17387+777-272*+979-587+-461/393/-564-276-+,True
724*422--161*-257+-720/-6--854--707/(974*(-642)),724422*-161-257*--720-6/+-854--707974-642*/*,False
-111*772+-155*885/214/(-172-953)/(-614--117*502),-111772*-155885*214/-172953-/-614-117502*-/*,True
-952*386+-531/-204/889--771*713-(-74+-649/213),-952386*-531-204/889/+939713*--74-649213/+-,True
246+-244/-649*-354+(-890/-214)/750+-227/676*-565,246-244-649/-354*+-890-214/750/+277676/-565*+,True
298/-397+-857*-596-(-627*663+(776*-696/102/-260)),298-397/-286-596*+-627-454*776-696*-551/-260++-,False
(-775+156-333+(-562--509*462)--428/(-13/275--906)),-775567+333--562-509462*-+-428-13275--906-/-,False
(654--474*882-(-239*797+(996/-588+-236/-786/(-432)))),654-474/882*-239797*996-588/-236-786/-432/++-,False
(-123/155+879/3*-719)+880-(-378/830/690)--281,-123155/8793/-719*+880-378830/503/*+-281-,False
-133+4*-337*50*-686/565+-406/178*770--347,-1334/-33750*-686*336/+-406178/770*--347-,False
-191+-844/-459*47--495+(739--542)+142/217-50,-191-844-459/47**-495-739-542-+142217/+756-,False
240/-293/390*(-454-294/-884/-693*363+-241+(914)),456-293/390/-454294-884/-693/363*--241+914+*,False
979--52*-503/298+150/158+417--481/(14--248),758-52-503*298/-568158/+417+-48114-248-/-,False
-100+804--901/294--287*-326/-438/581/514*677,-100804+-901294/--287-326--438/581/-810/677*-,False
-559*-583*706-792-877/500*795+194-671+181,-559-583*706+792-877947/795*-194+671-181+,True
563-80/-612+-132*(-195+(17--73*-527)+(-134*192)),40580-612/-132*-19517-73-527*-+-134192*+*-,False
-308-228+-510/19+(147*-554)*-833/-935-(560/-677),-308-877--51019/+-305-554*-833*176/+560-677/-,False
-637+-749/564*490*150--969-588/-51/-74-350,-637-749564/490*150*+-969+588-51--74/-350-,True
540/204/278*-828+-732/-44-538*(25*(686*276)),540-100/278/-828+-732-44/+53825686276***-,False
785/-711/288*581/743/-689--371+212*113-(35),785700/288/581*743/-689/-371-212113*35*+,False
-643*-26/324+(103+636+-458)--219--135+-75+-551,-643-26*324/103636+-458++-219--135--75+-551+,True
-101*(-538*-18--303/-979+828--57*214)*-747--805,-597-538-18*-764-979/-828+-57214*+*-747*-805-,False
818*360+-483+(-248/-436)/-430+(-634--868-518/392),818360*-483+-248-436/-430/+-634227-518392/-+,False
(538*-404/-290-393--216*858*-961-(-52-869)-(-682)),538-404*-290+393--216858*-961*--91869---682-,True
-91*(840+858*(-662+(-927+-216+-862)/-871/118)*-451),-91840858-662-927-216+-862+-871/118/+*-451*+*,True
-558/-519*-628*-342+-658*401*-795--740+-544--134,-558-519/-628*-342*-658401*-795*+58--544+-134-,False
861*-915/554/-333/-930/-285--692*-96--386-796,861-915*-966/-333/-930/-285/-692-96---749-796-,False
841/(544*-124*(167*-669)*424+928--14/432)--109,841-902-124*167-669**424*4+-14932/-/-109-,False
314/601/-905*(885/333*-647/947/-308+16/683),314601/-905/885333/-647*947/-308/16683/+*,True
-601/(-878/(642*-643--524)+839*-518)*-721/-494+828,-601-878642-643*-524-/839-518*//-721*-494/828+,True
453+156+870--893*503+-106*410-795+-970-366,453156-870*337503*--106410*+795-970*-366-,False
472*473/-993*-245/-564-986-32+843--56-408,472473*-993/-245*665/986*32-843+-56-408-,False
(451+-886/-409*100)/157--748+-484-830/221-(939),451-117-409/100*+-338/-748--484+830221/-430-,False
-478--99--785+(263--737*-662/-424*-961)--262/928,-478168--785-263-737-662*-424/-961*-+831928/-,True
-143*435*716*-122-(-363+393+-867+349/-661+(541)),-143435*716*-122*-363393+-867+349-661/+541+-,True
-566/-227*665/735-42+(242+912)/712+-140+534,-566-227/665*735/42-242912+738/+-140+534+,True
-91/(559*(395/617+244-173--466*-421)--699--681),-91-607395617/244+173--466-421*/*-998--681-/,False
-677+-475+(-411*221+(-231--940-117)+453+-392-(953)),-677-475/-411221*-231-940-117-+453*-392+953-+,True
-985*-958*-597-807+672/509*(998*(-761/-174--637)),-985-958*-597*807-376509/-685-761-174/-637-**+,True
-640/697/-595+555+-16+591+-525+-525/(880*-401),-640697/-595/555+-16+591+-525+-633880-401+/+,True
