Original,Perturbed,Is_Equivalent
88*61/-49+-11--1,6861*-49/78+-1-,False
-17+31*73+94*(-64),173173*+94-64*+,False
-34*1--83/22/96,-341*5322/96/-,True
-39+65/(15*-23*-29),-396527-23*-29+/+,False
-61/73+7+-4/-92,-6173+7+-4-92/+,False
-54*-19+-71--40*-38,-54-19*-71+-67-38*-,False
27/-32/8+80*34,27-32/8/8034*+,True
59*-34+2--52+-3,59-34-2+-52--3+,True
77*-44*35/(35--50),-89-44*35*35-50-/,False
31+(-83*-58-58/(7)),31-83-58*-787/-+,True
(-35*46*95-41/(-27)),4046*95*41-37*-,False
(75*95)/-70+-69/32,7595*-70/7232/-,False
-98/3--82/-50*66,-983/-82-50/66-+,False
-21--31-20+61+(-17),-21-3120/*61+38+,False
-85*-29*12--53-55,-8571*12--53-71-,True
51--15*-51+(-37*-100),51-43-51*--37-100*+,True
96/(10+42-1/70),721042+1-51/-/,False
-47--23*-69/-67/(67),-47-23-69*-100/67/*,True
(35/(-24*14+-78*-76)),35-4514*-78-76*+/,True
-37*-99/20*(-49--31),-37-80*20--49-31-*,True
-24/-28*-81+-70*17,-24-28-81*--7017*+,False
57+-91+-21--47*-85,570+-17+-47-85*-,False
64*83/-11/(72+(-79)),64-40*-11*72-79+/,False
63+97/64--30/38,639789/+-30-67/-,False
-12--92/-85*8/-30,-12-92-85/80*-30/-,True
62--10-49--88*-1,62-10/49--8831*-,False
-26*-24-3+-75+-90,-26-24*3+7-86+,False
82+-91-(30-84)*-66,82-91+1899--55--,False
81+38*-94*76*-77,8138-94*76*-77*+,True
(-51*-46*-7)+-20+8,71-46*-91*-20+8+,False
-96/-38/-95*26+6,-96-38/-95-92+6+,False
(16*-9)*(-77/-84)*(-49),74-39*-77-67/*-49*,False
85/(60*88/-6/29),856088*-6+29*-,False
87+(88+11+91)*32,878811+91+32*+,True
-76--95+(74+(-70*(79))),-76-95-74-70-28*++,False
-21/36/-68*(-71*-35),-2136*15/-71-35**,True
-58/-44*68/-20*-19,-58-44/68*-20/85*,True
-56*-75+(61*67*73),-29-75*6171*82*+,False
-59+13*-9--47--90,-5971-9/+-47--90-,False
92*49+-2*89+(-22),9249*-260*+-22*,False
52--27+-24/-44*-23,-77-27-94-44/-23*+,False
36+6*-16-60*8,366-16*+608*-,True
(51/-62*-64+-29/(-31)),51-62+-64*34-31/+,False
12+9*-6/-48*-11,12994*-48/-11*+,True
34+95--41*10/(96),3495*-4110*-96-,False
88*67/-39-19--96,936755/-19--96-,False
(67/45-82/-8)-(-57),6745/82-8+--57+,True
99+90*-38+86+43,-10090-91*+86+43+,False
(80--84)-53+69/-51,80-84-53-69-51/*,True
31+-41/-93/-91--89,31-41-93/-91/+-89*,True
-4--77/39*85-(-72),-72-7739/85*--72-,False
(0-93*-8/70+-82),093-8*70*--82+,False
(91--1+(55+43)/-38),91-1-5543+-38/*,True
23/36*71*-88+-87,2391/71*-88*-87/,False
18/(6--19)+33*-14,18-81-19-+33-14*+,True
-51/-44+(85/-30--100),27-44/85-30/-100-+,False
98/(39+-73)+51+(-50),3139-81+/51+-50/,False
-39+(84--88-87*(-13)),-3984-88-87-58*++,False
87+90--75*32-(92),8790-75*32*/92*,False
83+2*-82--63+91,832-82*/-63-91+,True
61-(88--82)+68/49,6188-82-*6849/+,True
-24-60*23-71+-24,-726023*-71--24+,False
(13/-63*-80)--19/84,1396/-80*-1984/-,True
55-93*63+34/33,559363*-3433/+,True
-35-16+47/-30--20,-3516-47-30/+-27-,True
46-36-(-62+59/-96),4636--6259-96/+/,True
-5*(38+24*91)*25,-5862491*+*49*,True
48/84/-98*-66+-59,4884*-98/-66*-59+,True
6-97*(-70+-24/18),697-70-2418/+++,False
74*69+-81+9*-85,3969*-81*9-85*+,True
3+-97/79*75*83,3-9779+75*83*+,True
2+75*82*-94+85,2782*-94*-85+,True
-100--54*90/40--18,-100-54-74*40+--18*,True
5*58+38/(86*26),562*388626*/+,True
24*29/87+91/44,2429*87/685/+,False
11/(-41*99/7/-67),11-4199/16/-67//,False
49+92+(26*64/50),-2892+2664*50/+,False
(68+-26--18+7+-70),68-26+-187/--70+,False
59/(-98*4*(-12-0)),59-984/-120-**,False
-68-28/-19*32-56,6653-19/32*--89-,False
52/(41*80/-47*17),944137*-47/17*/,False
37+-91+-41-6+-3,37-91+-41+-44/-3+,True
61/76+51--72+23,-8676/51/-72*23+,True
70/-75--63*-54/-20,70-75/-6313*-20/-,True
37+-48+(-86-19+6),37-17+-8619-6+-,False
26*16/-20--95+60,2616/-23/-95-60+,True
8+(44+-84-11/-87),5744-84+11-87*-+,False
5*(-87/-88*-65*-42),5-873/-65/-42-*,False
(44*(-79/20+-28--60)),44-7920/-28+-60-+,True
64+-46*93+-28+66,64-66-58*/-28+66+,False
-72+(50+39*-89)-(30),-865039-89*++30-,True
(34+60*(74*15+9)),34607415/9+*/,True
-67*-15+-47+-21+92,-67-15*6+-21+92+,True
2+50--93-64--95,250/-93-64--95-,True
-80--100/-12*40+-2,-80-29-12/40*--2+,True
(66/-20+59)/-39-(71),66-20/59+-39/47-,True
-90/15-8--72/-70,-9015/8/-7213/-,False
-74/81*55--4*65,-7481/55*-4-22*-,True
(-24/72+-40*(97+-42)),-2472/-40+97-42-+,False
-84+93--75+13+-15,-8464+-75-13+-15-,True
26+34+19-11+-93,2634+19+11*-93+,True
-66+25*(-71+38-(-39)),-6673-7138+-39-**,True
-68/12-57+-2+41,-6812-57-2//41+,False
37-69*88/68*-53,376988/68--53*-,False
91*-8-54+3-37,91-8*54-3-37-,True
78*77*-45*38+-67,7877*-45*38*-67+,True
-35+-64/-43*35*(-53),45-64-43/35*-6*-,False
-81-26+-46/1+-9,-8168--391-+-9+,False
-80--60-11+18*90,-8030-11-18-31*+,False
64*-6/-42-22-(85),64-6*-42/22-21-,False
93-11+(52-32)/30,9311-52-81*30/+,False
(-94+1+8)/25+-40,-9495+8+25*-40+,True
5-(-88/-91/(18*-90)),5-88-9/-42-90*/*,True
55--89/(-53/4/14),55-90-534+14//-,True
4+-45/-60+-2+7,473-60/+-44+7+,False
(-10+24-19)-18--90,-1024*19-18--90-,True
-67+48-10/46-(-20),-3948+1046/--20+,False
7/(-78/-47/(41*(-9))),7-78-4741-9+///,False
65/-65+44--99*(-36),65-65/44+67-36*+,False
-69/38*49+-68/-44,-6938/49/-68-44/+,False
-12/-32/-80--57/10,-98-32*-80/-5713/-,False
-72/82/(72/63*(91)),-2382/2663/91*/,True
14-75*-99--88--67,1427-99*+-88--67-,True
36*-42/41/78-72,68-42*41/78*72-,True
81/-45-83/-63+-25,81-45/-89-63/--25+,True
(-95/(94/-64*-79)-76),-9594-64+-79*/0-,True
(-42/-33*-13--99+-73),-42-33*-13*-99--73+,True
97+63*27-44/-2,-456327*+44-2/-,False
(-29+-46*-62/(-22+-75)),-29-46-62*48-75+/+,True
(17*62+-43+-46-(97)),1762*-43+-46+97/,True
-36+55+(21+-68/(-23)),8655+21-68-23/++,False
-5*30/-90-36+(-84),-530*-68/36--84+,True
-84+-2*-88*-31+76,-84-2-88*-31++76+,True
-19/-15+(39+-91-53),-19-15/391+53-/,False
0/(53-(67*69)+-29),-2653673*--29+/,False
(-38--68*-55+22+94),-38-68-55**22+94-,True
-20--82*19/-73*30,-20-8219---73-21*-,False
91+22-67+-88-75,9122+67+-88+-87+,False
(-31+65/96)+-57-91,-316567/+-57-91-,True
83+(-47/44/-39+78),83-4748/62/78*+,True
18--46/-100/49/(73),18-91-100/49*73/-,True
(-83*-23+-94*14-(-25)),-83-23*-9414*+-25+,True
65-95/-73*(4*38),-8495-73/438**-,True
64*43+-95+70*35,6443*-9570*35*+,False
-25*38/67+45+(89),-25-30*67/45-89+,True
(-49*-26*1*-9*49),-49-261*-9*49*-,False
-91*99+-91*(61+(-84)),-5599*-9161-84+*+,True
(-46*58)+-89/-61+(-70),-46-14*-89/-61+-70-,False
(-88*(-63*88+5+34)),-88-63-16*5+62++,False
-75/-45/-28*32*74,-75-47*-46*32*74*,False
93*24-92*-51*42,-4924*92-51*-93*-,True
27/-18+-69*-62+-64,27-18/-69-62*+-64+,True
69+-38*97+-62*6,69-3897*+456*+,True
-38-54/(-51+93)*-92,7754/-5193+/-4*,False
-11--12+-68/10+41,-11-12--6849/*41+,True
27*(-91*(42+-82+(-73))),27-9142-25+-21***,False
36-89-24-(-70+80),3689-24--7080+/,True
-95/84+-36/-4-99,-95-81/-36-4/+99-,True
-11*2-(-94+-82)/93,-11-43*-94-82+*93+,False
-81*(-54*20+-71+87),-81-5420*-71+87+*,True
88+80--37/-93*-8,1380+-37-93/-8*-,True
(73--56--90*-71+51),73-56--90-71*-51/,True
-97+(44*63)*-33*33,-974463*52*33*+,True
(-47--89*-97/(-57--27)),-47-89-97*23-41-/-,False
86*-7--72+97/51,-86-7*-72-9747/+,True
-99*-49/76/(-84/(-14)),-89-49*-33/-84-14//,False
15/24--61/11*-10,10-45/-61-73/-10*-,True
