Original,Perturbed,Is_Equivalent
6.56+6.46/9.02/**4.15+6.18-3.53/0.08/--6.43,6.430.110.083.536.184.157.379.026.466.56+//**-//-,False
0.21-0.19/6.89/1.88++*2.43+0.66-4.67/5.47*2.94,/5.474.670.662.435.231.886.890.190.21-//+*+-/*,False
3.97-2.31*/*5.85*4.47/4.58-1.59-2.02-0.26*9.92,9.920.26+1.594.584.475.858.022.313.97-**-/---*,False
-*9.0*4.47+7.26+9.98-4.74*2.63+1.16/0.2/1.05,1.050.21.162.634.749.987.264.479.07.11/-++-*+//,False
3.67*6.91+0.99-++4.25+0.05/1.94*3.5-8.54/8.12,8.128.543.51.94+4.258.130.996.913.67*+-++/*-/,False
2.92-2.32*2.64/0.51*8.7*5.14+6.7+5.72/8.36-0.85,0.858.365.726.75.148.70.512.642.322.92+*/**++*-,True
8.33-1.04*3.69/4.29/5.89*1.61+5.64**+2.9-1.25,1.252.95.785.641.615.894.293.691.048.33-*//*+*+-,False
5.99-8.04-2.08*2.66*8.1+9.08*5.69*6.27-2.15+4.53,4.532.156.275.699.088.12.662.088.045.99*++*+**-+,False
/*8.54*6.65+2.57/2.29-7.83-6.04/9.93/9.33*6.17,6.179.339.936.047.832.29/6.658.548.85**-/--//*,False
7.99+3.98-3.76*0.62*1.53-2.93*6.31-1.86*3.99+7.85,7.853.991.866.312.931.530.623.763.987.99+-****-*+,False
0.14-6.4*4.83-6.15*2.48-7.0/5.66+1.84+6.74+1.91,1.916.74/5.667.02.48/4.836.40.14-*-*-/++-,True
7.72-1.9+4.94*4.22+6.88+0.7+0.53*2.2+8.49+7.22,/8.492.20.530.76.884.224.941.97.72-+*-++/++,False
0.5*/-6.96*6.51/9.82-1.73+3.84*3.25*4.77-2.95,2.954.773.253.841.739.826.516.966.650.5*-**-+**-,True
0.3*5.26-7.5*3.68-5.9*7.81+9.96+5.92*1.67*5.49,5.491.675.929.967.815.93.687.55.260.3*---*+***,False
1.57+4.8+5.07+8.31+++6.54***0.43*1.3+3.06,+1.30.43*6.545.068.315.074.81.57++*++***+,False
5.08/1.76/1.3-1.65+4.01-3.96*7.08*5.39-5.54-7.27,7.275.545.397.08-4.011.651.3*5.08//-+-**--,True
2.63/9.67*6.81-7.79/7.29/6.91+0.48/8.38/5.54+7.7,7.75.548.38*6.917.297.796.819.672.63+--//+//+,False
4.45+6.99/6.38/8.68-2.41--/9.75*5.57*+*5.07,5.073.395.579.750.572.418.686.38+4.45+-/--/***,False
6.44+4.32*3.97*8.92+2.98-0.59+5.82/5.08*8.03-5.03,5.038.035.085.820.592.988.923.974.326.44+**+-+/*-,False
7.96/4.12-0.42/5.75+4.02-4.39*6.78+2.55-0.02+0.89,0.890.022.556.784.394.025.750.424.12*/-/+/*+-+,True
6.39-5.98+4.2/2.22/6.76*6.37-0.61/9.45/1.85+5.34,5.341.859.450.616.376.762.224.2+6.39-+//*-//+,True
9.92/4.68*3.59/0.68-5.08*8.88+/+2.81-3.9+3.02,*3.92.811.258.88*0.683.594.689.92/*/-*++-+,False
0.17/**8.2-4.65-9.16/7.81*8.9/-/7.27-8.4,8.47.279.388.97.819.164.658.29.790.17/*--**//-,False
5.27/1.34*/+6.34/9.73/9.89+0.31/7.97/6.77*4.66,4.666.777.970.319.899.736.341.151.345.27/*+//+//*,False
1.33+5.72-3.3-2.68+4.41*7.43-0.19-3.94-8.64-7.64,7.648.643.940.197.434.412.683.35.721.33+*-+*+--*,False
1.02/3.76-8.34*8.49-5.39+8.55+4.75*3.49/1.03+6.83,6.831.033.49-8.555.398.498.343.761.02/-*-++*/-,False
--4.68+0.51*4.75/7.89-9.9/0.81/9.41*4.67+9.82,-4.679.410.819.97.894.750.514.68/-+-/-//*+,False
6.43-4.36*1.61+0.31+4.8*5.58+3.8**/2.16+3.31,3.312.168.153.85.584.80.311.614.366.43***+*+*/+,False
5.06*3.53/7.0-3.75*7.14*5.66/2.07/8.56*0.49/3.28,3.280.498.562.075.66-3.757.03.535.06*/-**//*/,True
1.7/5.69+6.31/4.3-0.66/3.7+3.22-3.24+/-4.05,4.054.283.243.223.70.664.36.315.691.7/+/-/+-+-,True
6.23*3.03-4.38-2.39/0.42-5.94+6.16*9.93*1.93/1.76,1.761.939.936.16*0.422.394.383.036.23*-//-+**/,True
0.24*9.89+7.44+7.49*7.44/6.9-3.57*4.76-7.03*1.58,1.587.034.763.576.97.447.49*9.890.24*+-*/-*-*,True
7.69/7.87*2.81-5.38/5.85*7.2*4.64/3.52/0.98-9.21,9.210.983.524.647.2-5.382.817.877.69/*-/**/*-,True
8.86/3.82/2.23*9.67/7.57-8.43/8.17*1.73+1.64/2.23,2.231.641.738.178.437.579.672.233.828.86//+/-/-+/,False
5.24-3.25*0.22/9.02+9.85-9.29*6.3/8.32+4.52/0.87,0.87/8.326.39.299.859.020.223.255.24-*/+-*/++,True
6.82/0.31*2.55/4.32*2.46+2.55-0.27-0.99+3.53-/,2.293.530.990.272.552.464.322.550.316.82/+/*+--+-,False
4.44*1.87/6.97/3.16/8.6-5.34+1.41+3.57/1.8*2.47,2.471.83.571.415.348.63.166.971.874.44*///-++/+,True
2.56-9.76/3.81-6.9*6.4/2.7+3.01/9.21+6.51+2.93,/6.519.213.012.76.46.93.819.762.56-/**/+/++,True
5.54-3.47/2.13-6.41*9.56+0.53/4.02*-/0.86*0.47,0.470.865.274.020.539.56/2.133.475.54-/-*+/*/*,True
8.22*0.74*++0.41*9.19-2.15/8.13*+-8.08/3.41,*8.087.828.132.159.190.415.60.748.22-*+*-/*-/,False
2.9*0.58+5.26+8.64*7.67/6.16/3.52*5.61/8.97-4.24,4.248.975.613.526.167.678.645.260.582.9*++*//*/-,True
6.57*1.09-3.72-6.56*4.15/**5.9/4.43+5.56++,5.935.564.435.90.354.156.563.721.09-*--*/*/++,False
2.64+6.11-5.41-4.73*6.46*7.65-9.36-6.95-6.0+3.2,/6.06.959.367.656.464.735.416.112.64/--/*---+,False
0.58+6.73-8.27+8.39/1.41*2.15+3.17/3.05*2.2-4.12,4.122.23.053.172.151.418.398.276.730.58+-+/*+/*-,True
1.57*6.49+4.87-8.29+4.0*9.16*/-0.57-9.32*9.51,9.519.32/9.519.164.08.29/6.491.57*+-***--*,True
8.93-**0.9-8.22-7.64*7.91/8.5*8.75*7.4*7.19,7.197.48.758.57.917.648.220.99.38.93----*/***,False
3.71+/-8.16+7.19*0.66*5.93*1.19+4.81+3.63/0.15,0.153.634.811.195.930.667.198.169.843.71+-+**+*+/,False
2.15*1.41+1.6/6.24+5.86*6.98/6.39*2.46*4.32+7.63,7.634.322.466.396.98+6.241.61.412.15*+/+*/*-+,False
2.79*2.01*2.24*8.4-8.78+6.96*6.31-1.68/9.09/0.76,0.769.091.686.316.968.788.42.242.012.79***-+**/+,False
3.61/1.71+4.35-1.34-5.83-2.14/5.56+5.04-0.08-5.57,5.57*5.045.562.145.831.34/1.713.61/+---/+--,True
