Original,Perturbed,Is_Equivalent
630/678--737+-184--810+536-989*368/-381*672,-+-+//630678-737-184-810536*/*989368-381672,True
956*2--827-355+-251+-534*811+-399+523/-667,+++--*9562-827355**-251-534811109/523-667,True
438+-421/11+284/512/490--360--435*629-649,-/-+/*438-42111//284512490-360*-435629649,True
-130--406--665--165--738-24+-719+-75+-750/-262,+++-----130-406-665/-16557924-719-75/-750-262,True
255/903+646-896*-83/-517--701+-763+56+434,+++--+/255903105/*896-570-520-701-76356434,False
677+-826+-842*243+710+-917--231--347*21*-317,--+-++677-826/-842243710-917-231**-34721-317,False
865*-205*771/577*-327-639+645--696+621+214,++-+-*/**-686-205771577-327639732-696621214,False
884/-350*-163-94*-427/-649*26*-575/69+-908,/-**884-350-163/**/*94-427-64926-57569-908,True
-897+426*-989*-271*-725*488/23/-527/-363-106,--+-897426///***-989-271-72548823-527-363106,True
847/424*744/233*-267*214+114-224+760*-62,+-+****/847311744233-267214114224*400-62,True
-510+-91-427+-241--74/565/-791+-355/-950+661,++*-+-+-510-91427-241//-74565594-355-950698,False
782--811+-770+50/846/-574*514*-517-192*745,-++-782-811-770**//50846-574514-517*192745,False
138*-557/-656+286*122--693/147--432*-974-550,---+-*138-557-656*286122/-693147*-432-974550,True
239*60/-206--795+-985*28/-303/178/-747*-465,++-/*23960-206-795///*-98528-303178-747-465,False
-369+537/-977+891-35+-776+-166--614+867*450,+-++-++-369/537-97789135-776-166-614*867450,True
-128*611*966+520*-958*901/-364--495--709+665,+-+**-128-708966/**520-958901-364/-495-539665,False
-498--118/-75+855--334/751*-247+-81*-527+-320,+-+-+--498/-118-415855**-334751-247-81-527-320,False
630*591--133--749*705*-809-739+-435-326/934,-+---*630591-133*/-749705-809739-435/-277934,False
936/202*-376/189+-499--497+1--32*-918*-890,-+-+/*/936202-376189-499-497148**-32-918-890,True
728/258+315*282-47--133-382--381+-497*-164,+----*/728258*31528247-133382-381*-497-164,True
-734*-888--701*-472+-946+124+755*-754*-358+237,++++-*-734-888*-701-472707124**755-754-358237,True
196--697*-547/869+-329+-705+41--861+-626*-891,+-+++-196/*-697-547869-329-70541240*-626-891,True
-625+816*-69--557-979+890*-531-488*843--100,--+--+-625*816-69-557979*890-220*488843-100,True
624*-548/-915*-52+591*498/294/413+-762-525,-++*/*624-548-915-52//*591498294-865-762525,True
-650*542+4+-801/465/-184+703*-296/785-249,-++*-650542//*4-801465-184/*703-296785249,True
501/881/-942--128+-374+-337*228--952*-46-557,--++++/501881-942-128-374*-337228*-952-46557,False
-512*609*-75*-201/-296+-863/-966/-526--715+36,+-+/***-512609-75-201-296//-863-966-526-71536,True
-357+302/707+-850--592*-188+-351--736/-324/929,-++*+-357302-906*/-850-592-188-351//-736-324929,False
969/91/377*-664/427*163+-922*942*921+384,++*/*//96991377-664427163**-922942921656,False
-730*2*816-442-314/710+108*56/-491/791,+---*-7302816442/-963710//*108-601-491791,False
548*-534--3/-742+-76/-797-742-528/437--314,--+-*360-534/-3-742//-76-797742/528437-314,True
-2/-185/280+944*-736/445/246--544+563--964,-+-+//-2-185280///944-736445246-544563-964,True
-169+-516+-448--525/693/884/-693/-819+-920--797,-+-++913-516-448////-525693884-693-485-920-797,True
404-213/919-273--992*191*-280+889*-575-441,-+---404/213919273**306191-280+889-575441,False
-223+-797+440+-313*569-309+757-377/-150--283,--+-+++-223-529440*-313-610309757/377-150-283,True
-161+-28-426+210*-509/-219/-466/428-546-574,--+-+-161-28426/+/*210-509-219-466428-493574,False
183+-469*599*-472*-917/114--563*420*-899/703,-+183/*-*-469599355-917114/**-563420-899703,True
102-283--359/-138*512-842/-729+-105+54/-368,+*--*102283*/-359-138512/842-729-105/54-368,False
864--85*965*-418-276*-286+226/-902/587*-614,+--864**-85965-418*276-286*//226-902587-614,True
-331*-585*-582--647--569+305+975*-474--429*891,-++--**-331-755-582-647-569305*-982-474*-429891,True
279*129+-879--173-127+273*-21/-805-160-749,--+--+*279129-879-173127/*273-21-8160749,False
-856+-750/-667/681+-10/665+290--7*-388+644,+-++-856////240-667681-866665290*-7-388644,False
916+114/944+-550-382--197*-567+207--632*-878,-++-++916/114944-550337*-197-567207*-632671,False
483+2/791/516/-139*760+813*-855/-720/612,++483*/+/2791516-139760//*813-855-720612,True
