Original,Perturbed,Is_Equivalent
-21.65+-44.08+-9.26+-74.76+-4.7,-4.7-74.76-9.26-44.08-21.65+*++,False
13.4*70.98+-6.55/-61.92--6.47,-6.47-61.92-6.55/-*/--,True
-64.07+-59.82+27.81+-92.11--83.59,-83.59-92.1127.81-59.82/+++-,True
-96.68-6.35/97.63/-18.2-50.77,50.77-18.297.636.35-96.68-/*-,False
82.26*52.67+-0.63*-50.26*45.9,45.9-50.26-0.6352.6782.26*+**,True
-56.57--11.56+-11.6--11.45+-90.55,-90.55-11.45-11.6-11.56-56.57-+-*,True
-99.11--25.25+99.46*-79.21*70.28,70.28-79.2199.46-25.25-99.11*/**,True
-38.43--79.21+-87.3+-29.74+-96.17,-96.17-29.74-87.3-79.21-38.43-+++,False
15.64//--73.02+-62.1/98.08,98.08-62.1-73.02-34.16//-+/,False
4.11*1.53/-71.2--7.86/-98.81,-98.81--71.21.534.11*/-/,True
-94.14*40.32--81.63*78.08*15.39,/78.08-81.6340.32-94.14*-*+,True
11.46+85.96*-40.99/82.71*14.2,14.282.71-40.9985.9611.46-*/*,True
+/-70.11*-97.1+-25.45/-91.83,-91.83-25.45-97.1/-0.82/*+-,True
73.82+34.09/-95.23/-71.42--91.66,-91.66-71.42-95.23*73.82*//-,False
-88.77+-66.25*57.27*-2.66+-2.0,-2.0-2.6657.27-66.25-88.77+**/,True
12.18*50.1*-82.81**/-99.85,-99.85*-82.81+12.18***/,False
/*60.57--37.88/36.46//,-91.4536.46-37.8860.57-93.47*-//,False
-1.76--92.4*8.17/-64.19+-99.9,-99.9-64.19/-92.4-1.76-*/+,True
74.76*-52.65/--39.68+-19.05,-19.0539.68-84.18-52.6574.76*/-*,False
50.4*79.46*53.04/89.9+-14.28,-14.2889.953.0479.4650.4-*/+,True
45.62/17.47--3.82*-35.66-13.74,13.74-35.66-3.8217.47*/-*-,True
-56.76/-55.8+53.57-94.32/-18.58,-18.5894.3253.57-55.8/++-+,False
-58.06/52.0+-/73.44*-94.8,-94.873.4419.8452.0-58.06/++*,False
-43.07+49.52--28.35--*56.47,56.4757.22-28.3549.52-43.07+--+,True
14.08--81.06-12.93+-91.5*-89.29,-89.29-91.512.93-81.0614.08--+*,True
74.86+--88.59+86.14--32.88,-32.8886.1488.59-80.98---+-,False
-31.8/31.82-90.21-/+/,5.122.3890.2131.82-31.8/--+,False
29.61+*+87.83/90.14--38.25,-38.25+--84.6129.61-+/-,False
-36.09+-51.0-+/-41.39+-22.37,-22.37-41.39+-51.0-+-/+,False
-64.0*-47.1-+/-66.29*51.37,51.37-66.2934.68-47.1-64.0*+/+,True
-39.18--37.93+-45.51*-35.19+5.89,+-35.19-45.51-37.93-39.18-+*-,True
25.53--66.1-36.71/-17.33+37.32,37.32-17.3336.71*25.53-*/+,False
95.8/-49.24+29.73-38.82*-64.44,-64.4438.8229.73-49.2495.8/+-*,True
83.63/-4.37/-51.7/37.38/92.81,*37.38+-4.3783.63/-/-,False
-98.47*-18.04-0.19+-29.45+9.66,9.66-29.450.19-18.04-98.47*-+-,False
-/82.24+-85.44--77.78*-25.09,-25.09-77.78-85.4482.24-76.39++-*,True
27.06+**-45.38--40.03+45.07,45.07-40.03-45.384.55+-*-+,True
-31.64+-3.43/76.85-64.76/-25.92,-25.9264.7676.85-3.43-31.64+*-/,False
18.14+51.08+59.77--55.26*-7.88,-7.88-55.2659.77-18.14++-/,True
39.48/**54.21/++52.88,52.88-56.6354.2165.5339.48/*/-,False
*+46.0+-59.14-58.53**,67.7758.53-59.1446.01.99++-*,False
-72.06+23.54-**80.74*-96.88,-80.7436.3723.54-72.06+-**,True
-51.64/27.6*+/22.95--93.02,*22.95-6.4527.6-51.64/*+-,False
32.51+-18.69+-88.0-/+47.48,/61.91-88.0-18.6932.51++-+,True
-83.8*-44.18-17.85----12.33,-12.3359.7317.85-44.18-83.8*-/-,True
-23.47*78.91+62.43*-86.31/-88.74,-88.74-86.3162.4378.91-23.47*+//,True
-45.42/26.09-++66.31/2.51,2.51/-23.7526.09-45.42/*+/,False
-16.62/40.26+80.27+*+-17.08,-17.08-63.2580.2740.26-16.62/++*,False
-18.82+81.7*-95.97/-33.71-82.81,/-33.71-95.9781.7-18.82-*/-,False
20.28-74.43/3.2-*/26.16,26.1651.733.274.4320.28-/--,True
-19.47--+13.96--60.05/69.0,--60.0513.96*-19.47-+*-,False
-76.06--88.48/-12.45--14.18+-30.11,-30.11/-12.45/-76.06-//+,False
*+52.0+-85.38+61.96+-9.17,-9.1761.96+52.0-97.18++++,False
