Original,Perturbed,Is_Equivalent
62/31/93*40+90,+///-7261934090,False
11-67*7+46/61,+-11*677/78-63,False
-5*45-16+-77/99,+/*-545-75/-7799,True
-48+-93-6/-100/-75,-*10-31/+6-100-75,False
23+27*-100/-51/-31,+-8/-*27-89-52-31,True
-75/43--72/-28--23,/-/1543/-72-28-23,False
-81+-35/72--1-39,--+62/-3556-139,False
11*79--83+34-23,-**1179*-83-8523,False
92/52/77+-73/-14,*+//92-7777-7361,False
-88/71+1-39/87,-+/-88721/-487,False
1-25+65*87/-17,*-125/*-4787-17,True
-78--65/53/-32/93,-79///-6596-3293,False
-75-11+10+74/84,+/--75-8910/7484,False
-100/83/52+-54*15,+//-1008352*3915,True
-26+-85/45+-24+62,/+-26//-29451250,False
-22*-35*55/39--28,-/**16-35553970,False
-18/-85+0*27+-95,+--18-85**027-95,True
55+14*24/-96*9,*55*/-1424-209,False
54/-62/7*-57-40,---92+/-627-5740,False
-54*58/-61*35*-14,*-/*-21582835-14,False
44+34/-98+25-8,--+44/34-982560,True
74*35+-74/88-34,++*7435/-748834,False
-24/-84*95*-94+-83,+*+/-24-8495-9494,True
-42-70--78/97/-80,---4270//5297-80,True
-32*45-26--6/-41,-/*-327726/-6-20,False
-57+-89-66/-65--47,-/-57-89*/66-65-47,False
-58*-77/-97*-61*91,**/--584-97-6191,False
-37/-87--61*-85/-73,-/-37-38/*-61-41-73,True
20--64/-5+-2+11,++-20*-64-5-3211,True
22/51--84/51+-91,+-/2251/3051-7,True
-59+95--92/-95*-18,-+-5995*+-92-95-18,True
79/-37+97+-96-63,-++/79-1797-9628,False
43+77+84/-70-59,-++2177/84-7059,True
77+-92*-93+47/39,+/77*-92-93/47-15,False
-91+23--99+-84*-65,+*+-9123-99+48-65,False
-53*48/16*38+88,++/*-2448164388,False
99+-99--49*-68/49,-+39-99/*-49-649,False
-96/-81/89*-92/30,/*+/-96-8189-9230,False
55*33*-12+77+11,++*-5533-1277-36,True
-56/20--87+-22+-67,++/+-438-8739-67,False
38--63+39*57/-22,+-38-63/*39-59-22,True
43--18--63*-14/-31,---43-18*-63-14-31,True
4/79+77/71-13,-+/-8779/-257113,True
72/-96-71*-77*54,-/72-96+*71-77-50,False
1+25+72*-67--11,-+-125*72-70-11,True
66*14/60*-93-96,-*/*661460-1096,True
16-2--69*-13-25,-/-169*-697725,True
-48*-68+36-48-25,+-+*-48-68364825,True
-23/27*21*37--77,-***-23272114-77,False
-11+94-7*0--62,--+-11-34*990-62,False
23+64*-8*97+-15,++23**649697-50,True
-27+40+57/6/-53,++/-274057/6-38,False
-51*-15/-64*-84+26,+*/*-51-15-64-8426,True
87+-6+-12-94+-53,+++-87878794-53,False
-93/60+-18/67-0,-+/-6560+-18670,False
77+-99*-97/-68-84,++77/--9929-6840,False
-41+82+-36/18/43,++4582//401843,False
-67+-31+-38/80/-5,++-6731//-7780-5,False
46-21+69--4*40,-+-462169*-440,True
51+-54+84--9+63,+-++-41-5484-964,True
8--35-69+35+-11,*+---62-356935-11,False
96*-3-7+40+1,++-*96-37221,False
-52/40--65+-32+13,++-+8740-65-3213,True
-72*33/69-27--88,+---72/33-3827-88,False
71+-100--66--27*-95,/+71-100*/55-27-3,True
98-54-54*7+64,+--9854*54764,True
-41+96+-95/-84*-52,+--3496*/-95-84-52,False
35--88--81+30+-62,+++-35-88-8130-62,True
-54+-10+-82+82*61,+/-54*-10-82*3561,True
41/97*7*-41+96,+-*/41-817-4196,True
33+-82*82*-1+-6,++33**-8282-1-33,True
11*19/53--48/85,-/*111921/-4885,True
-91+4+1/35*-42,++-91-88*/8631-42,False
-55/69--95/40/-49,--+-8967-95/40-49,False
-45/-91--72/-55/73,-/-45-91*/-72-5573,True
20+23/93--30--92,--*20/2393-30-54,False
-26+-82/35+84/-29,++-26/-82-97/84-29,False
1+64/51*-76+-24,++1*/6451-76-24,True
-3/-87+48/-15/-96,-/-3-74*/48-15-96,False
-71*18*-15/15-43,-/**-7118821543,True
-27/73*84-0*-98,+-/-277384*0-98,False
57*-68+-82--74*74,-+*57-68-82*-7474,True
46/-19-60*-5-78,--/46-19*60-3978,True
-90*-24/-35-38*65,+/+-90-24-35*3865,True
-81/-14+-11+39/-79,+++-81-14-11/39-79,True
-93-99*-48+-4-28,-+--74*99-48-428,True
-98--54-46-49*-10,--+-98-5446*49-10,True
-11+-82+0+65--19,--++-1152065-19,True
-41-98+-66-88+-36,+-+--41-60-6653-36,False
-48+62--74*-17/97,-+-4862/*-74-1797,True
-13/46--49*-38-12,+/-1346*+-492812,False
53-19/-51*81/-48,-/*5319-51/65-48,False
57--11+94/-25*-77,+-28-11*/94-25-77,True
12/-76+-90*-79+6,++/12-76*-67-796,True
-4--15/61+-47*60,-*-4/-8761*960,True
-8*-99-61-67--84,+--*-8-99616778,True
72+-32+-88-15--19,--++72-32-88-96-19,False
-65*-54*69/54/-79,//**-65-839838-79,False
-38--25-60--54/85,----38-8160/-54-96,False
-11/-6+45*-45*-70,+--11-6**45-45-70,True
