Original,Perturbed,Is_Equivalent
(83/59+38/(35+97/91+73-38^2+20^2+32/16-62)-43),-+/8359/57-++-++35/979173^382^202/32166243,True
3^86+39*31+48^2+86/11/98+66/79/40/(21-89)*10,+*++^32*3931^482//861198*///667940-218910,True
72-10/54+(62/60+59)/64/35+69^1-63*51/33/31+18,+-++-72/1054//+/6260596435^691//*6351333118,True
99^2+19+45*84+35^1+8^2*12-(60+(35*96*47)-56),--++++^99219*4584^351^8284-+60**35964756,False
9^22-47+17^2-45-79+94^1-81^2+86*19-60-1,--+-+--+-*92247^1724579^941^252*5419601,False
12-54/92^2+63+24/23/92-22^1-35+39+(10+(1-65)),++--++-12/54^65263//242392^3013539+10-165,True
55+41^2+6*1/71^1-15^2+47+43^1+34/98*99,+++-++55^412/*63^711^15247^431**349899,True
3+94*13/96-34+59*93*17^2+51+8-15/(11*40+85),-+++-+3/*13139668**5993^6825169/15+*114085,True
38/53^2+35*48^2+(70-56/60-61+45/(64*66-43)*20),++/38^532*35^462+--99/566061*/45-*64664320,False
15-27+9-31^2-22/73/(61+81*21-(34^1+(1-2-47))),--+-15279^312//2273*^61*8121+^341-^1247,False
19-9*37^97-42*70^1-40*76/(1+60*35)/48-34+12,+----19*9^372*42^701//*1076+82*6035483420,True
89^2+57^2-59+22^1+8/(75*35*4/70/94/24^1),++-+^892^57259^221/8////*753547094^248,True
(24/60^1+(59*97-(27/52)^1*62*34+1-40/54)*43-20),-+/24^601*-+--*5997^/60521*62341/40544320,True
87^1-53/(77+5+26-72^1+56-9-(29*51^2+76/43)),-^871/53--+--+48526^9536569+*29^512/7643,False
77^1-3/94^1+35+64-86+(4-70/64+22*79^2+52),+-++-^771/3^941446486/+-4/7064*60^79252,False
43/69*33-(64^2-60-89^2+73+(21-22^2+67-97-42)),-*/436933++^*^64260^89273--+-21^792679742,False
40^2-(98+(33+97+10*30*62-63-35)/72/3)/(69*25)-42,--^402/+98//*-^+3397**1030626335723*692542,True
40+69^1-16^1+83-4/(79+35^2+41-98/(74*86/1)),-+-+40^691^16183/4-/+79^35241/93/*74861,True
(90*24/30)-65^1-80/2+53/65+95^1+59/6/74/49,+++--/*902487^651/802/7065^951///5967449,True
67-89/45*18^2-67+46+7-75+44/(9/(56-52-(69+(88)))),+-^+--67*/8945/1826746775/44/9-56/52+6988,False
(88-39+27*93^2-78+88+51/51+62/63-(76-22/14/67)),-+++-+-8839*27^9327888/5151/6263+-7622/1967,False
(50/2)+11+36/2-82^1+70*24+69*5+94^2-38-56,--+/+-++/50238^362^821*7024*695^9423856,False
44+63+(78+71)/46^2-(15-80*65-9+60*24^1-96-89),-++4463*+7871^462--+--15^80659*60^241789,True
53/40-71^2+75^2-53-47+96^2+92+(8*(85*19)*58),+++--+-/5340^712^7525381^96292**8+851958,True
(33^2+37/20/84^2+9^2+92-80)^1+62^1+27*93,++^-+++^3363//3744^992^9292801^491*2793,True
24^1+8*4^1-66-11/91+(22*81+90^2-44^1+25),+--+^241*83^4166/1191+-+*2281^902^44125,True
88+5+77*(62+69-92^2-34+(82+79-62*(69-12)-86+64)),++925*77+-+62/69^92234+--+8279*62-52728664,False
85^2-56-35/23/44^88-63*(35-60)^2+74*75*59^2,+----^95256/*35234488*63^-35602**7459^592,False
31-69+89/30-19/96*(95/10)/83-55/15-70/(64^2-33),---++-31698930/**1996/951083/5515/70-^64233,False
49-4/94^2-35/14*88*82^98-(92-41-66+97/87*6),---49/4^942/**/3514887598+--924166*/97876,False
53^1-41^2-38^1+94-55-1+45-85^1+84^2+30,++-+--+--^521^4190^3819455145^851^84230,True
94-69^2+13-27+74-13^1+36-17-86-83/98*48+12,+---+-+-+-94^692132774^131361786*/24984812,True
58*63-6*51+92/(58+4*24/99^1+2)+(17^1+(11^2)),++-*5863*651/92/++584/24^9912+^171^112,False
92-41*26-75*37-48/(95+(30*29^1+19*95-44+32/57)),---92*4126*6537/48+95+-+*30^291*199544/3257,True
(17+12+44*11^2+30+42^1-55/(26-4^2+49/33*21)),-+++17*/1244^111752^421/55+-26^42*/493321,False
9+30*55^2+31/13/(26+93*(30-12)/93/59^1+21/58),+-9*30^552//413++26//*77-301293^591/2158,False
32*68-33-20+89+79+50/94-33*4/88-(78^1-19/2),--+++--*326833207779/9394+*33483-^781*192,False
62+99-11+64+13-85-11+70+84*45^2+25*2/78*49,+++--++-+6299816413851170*84^452*/-2527849,False
