Original,Perturbed,Is_Equivalent
11-32/63^1+47+84^33-17+48*52,+-+++11/32*63147^84117*4852,False
18+98-(68*(90/88^2-5)-17/(10*34)),-+1898-*68-/90^88211/17*1034,True
11/53^2+98-23*72/90/(78^1-94),-+/11^53298//*236190-^78194,True
64+64^42+35^1-(42-2^49-(82^1)),-/+64^641^351^-42^21^821,False
52+6-20+(62*29^2+67)/56^94-41,-+-+52620/+*62^29267^50235,False
71+43+72^41*37+4/87^2-14-5,--+++7143*/724137/33^872145,False
(83-18*93-62-54+(35-82-73)*12/70),+---83*18936254/*--3582731270,True
(63^2-56)-44-97+61*88+74*(78-(79)),++---^632564497*6188*74-5879,False
(57+(76-34-59+54^21)+60/(19+37*67)),++57++--7634595421/60+19*3767,True
9^1+3-38+42+11-58+77+98+30,+++-+++^91/33842115889878,False
69-10+90^8+49+13+65+70+84+77,+++++++-6910-908491365708477,False
47^75+95/61^1-92/8+47+11^2,++-+^472/95^611/92847^112,True
27*(22/8^2+93-68*6)^87-51/65,-/*27-+/22^8293*68687/5165,False
64*72/4*73^30-(93*13+59)^1-57,--*/*64724^732^+*291330157,False
79+(71*58+62*33^2+84/35/34^2),+79++/7158*62^332//8435^342,False
46^1-60/20*17+39-17+(23+76+89),+-+-^461/60^2021617+-237689,False
69/42*43/91/17*44-46/13*(57+(70)),--69*//*4243911744*/4613+5770,True
23/78+60+(21^1+50/9+84-20/9),++/23860-++^211/50984/209,True
77^1^7*(40/84^2-80/80*82^2),+^771*7-/40^842*/8080/922,False
88+41-(80^2+1*(63+99^10/65)-82),-+8841-+^802*1++6399/106582,False
29+33*69+94-51-61-91^1-61+58,+----++29*3369945161^9116158,True
59*(84/16^2+(81+10*9)+18+93*86),*59+++/28^162+81*10927*9386,False
75/93/21/55/6^1-99/61+2+24,++-////75932155^61/9961224,True
31/83^1-76-97/98^1+32-29/80,-++-/31^831*7697^98132/2980,False
56-4/75^68+5+63-(91+5+71/44),-++-56/4*752523++915+7144,False
75+97*36*76+91/(25*77-18^5+83),+-+7597*3676/91+-*2577^18133,False
29*18*(66-52/77*(63+71)^1-(1*24)),**2918--66*/5277^+63711*124,True
58*1-(70-39/57^2+29-18+45/(58)),-^581+-+-70/39^5722918/4558,False
29/5^1+80-37/57/17*41*79+39,+-+/29^5180**//375717417939,True
57+(18-20+60-52)/50/16^1+41^2,++57//-+-1820605250^1644^412,True
(54^2+1)*98^1+23^2+(89^1-61),++*+^3721^981^692-^89161,False
71*94*84^82-68*38*34/39-27+80,+--**7194^842/**683834392780,True
29-36^1-82+(89^2+93-25+92*10),+--29^36182+-+^8929325*8010,False
(46^1+31+64-11/44+49*99+76*47),++^++^4613172/1144*4999*7647,True
62*95/41^1+35*84^1-70+31^26,+-+/*2495^411*22^84170^312,False
99/95*74*95/42^2-2+84*85*14,+-/**/75952195^4222**847014,False
37-76/90+(79/50)^1-16^1-80*84,--+-37/7690^+795085^161*8084,False
40/58/23^2+80*51+96+29^1-5,-+++//4058^232-805196+2915,True
(99/(60/(90*(30^2^26*97^2+94-38)))),/99+60*90-+-^302*26^9729438,True
97^2-(54*24-13+44*20-10*85+2),-^972-++*542413*4420*10^852,False
36/15*39-(72/13+4^1-51)-33^2,-/*/361539-+/7213^4151^332,True
(61-1-43*20/85+(87/27^1-(78+2))),+-/611/*432085-/87^271+262,True
25^1+93-85/93/1-93*(32-(68+2)),--+^25189/85^931*93-32+682,False
12/16*(46*90-75/82-18/(16+48)+74),*/1216-+*4690/7582//18+164874,True
86^1-48/22/90+50^1+(7+55*95),++-^861//482290/811+7*5595,True
65+26^2+78^1+47+29/41^2+(44),++++*65^262^62147/82^41244,False
3/78^1-33^1+75/58*(26/93-1),--/3^781^331*/7558*26^721,False
40*21+55-15*65*38^2-75+47-35,-+--+*402155**1565^382554735,False
(78^1-35^2+11*18)-65*(57+27*91),-++^781^352*1118*65+57*2791,True
55/18-80^2+89/(75/48)/69/35/52,-+-/5518^802//89/758369/3552,False
94/19+18*31-20^1+59*61/51-65,-+-+/9419*1831^201/*59615165,True
57/82+60+16^2+84^2*(7/29/37),-+++/578260+162^842//72937,True
13*41^2-(31+27-36)^2+(65*40-2),+-*13^412^-+3127362--654086,True
54*41-(76-50+74/7+22+57+96)/92,--5441/++++-7650/74722579692,True
96*(43^27-4-(60-5/44-41)/46-28),*96----43274/--60/3244414628,True
70^2-1-29^2^81/97+15^2+54,+++--^7021^292*8197^15254,True
46*38+(73-36+8^1+11+3*95-(39)),+*4638-+++-7336^8111*39536,True
74+40/(1^2+99/33/21+36+20+28),/16/40+*++^12//993321362028,True
81*18-41*78*79^2-(75-24)+24+16,++--*1618**4178^792-95242416,False
13-24*53^1-88^1-33^1-69-22,-----13^24^531^881^3316922,True
83^2+94+10/19+98/10-10*71-15,--+++^82294/1019/7010*103615,True
99^1+96/1-89*22-65/80-(12*95),---+^9931^961*8922/6580*1295,True
95+14^1+39+98*22+81+51*(11^1),+-+++95^14139*982281^51^111,True
80^2-86/7^2+3*99^2-76/76,-++^472/86^72*22^992/7676,False
69+20*23-10+(20-65/37/10*47*61),+-+69/202310-6**//6537104761,False
35/5/64+73*90^2+45+(99-55^1),+++//358362*73^90245-99^551,True
27-77-32*(35^77*8+42)*16/76*15,--2777*/+*32+-35*77842163815,False
98^2-50+2-65/16/43*83+(25*39),+--^982^502*//65164383*2539,True
(2/34*(36/(65^2+14*(33*42*38+40)))),*/234/36+^652*87+**33423879,True
43*(38^2+87/(96^2-62/9)^1+65),*43++^3897/87^-^962/729165,True
(38-96+78/19/17*35-80/6)^1-(41),-^-+-3896*//78191735/806141,True
44+46/52+(43/83^2+74-(56/97/87)),++43/4652-+/43^83274//569787,False
