Original,Perturbed,Is_Equivalent
767.27+813.57/818.4+475.27+(418.14/58.82^2+996.48+-898.8)*155.08-102.72*-805.72*-493.35/103.14/-166.65,-166.65103.14-493.35-805.72102.72155.08^818.4813.57767.27+/++*-898.8996.4858.82418.14/+^2+-**//,True
-555.91-251.92*-720.75*407.91/857.14/150.82/771.72^-406.92+618.84*(799.01/407.4)+-378.92--729.58+-69.9-2,-69.9-729.58-378.92618.84771.72150.82857.14407.91-720.75251.92-555.91-**+//+^1+*407.4799.01/-+^2,False
-333.68*-802.08*350.59+-265.09*(-171.37+(-381.81/-636.49^1+-375.78+912.29--679.69+-79.78+-425.84)/165.75^2),-265.09350.59-802.08-333.68*/+*165.75-171.37+/--79.78-679.69912.29-375.78-636.49-381.81/+^1+-++^2,False
376.02--517.83/-78.71+765.78-368.99^1--874.95-656.44+427.79-234.07+-266.21^1--779.22^2-+,905.01-779.22-266.21234.07427.79656.44-874.95368.99765.78-78.71-517.83+-//--^1-+-+-^1-^2,True
-390.79+770.09/763.73*(-964.2/948.77*346.96)+(-562.89*336.38*(-911.26/-470.54/-586.36/-789.63)/-972.22+192.39*1),763.73770.09-390.79+/+*346.96948.77-964.2/*192.39-972.22336.38-562.89*/*-789.63-586.36-470.54-911.26///-^1,False
867.86-935.98/370.37-89.44^1--665.99*-717.72+542.01^2+-5.2/-435.35-633.88^1--167.51+(/),-167.51633.88-435.35-5.2542.01-717.72-665.9989.44370.37935.98867.86-/--^1*++^2/--^1+321.32,True
775.85-752.42*-69.13--642.26--512.18+(554.72+793.37-274.52--214.98*-255.77^1--335.7+382.46/-506.0)--171.74,-171.74-512.18-642.26-69.13752.42775.85-*---+-506.0382.46-335.7-255.77-214.98274.52793.37554.72+--*-^1+/,True
-909.61*459.01*570.4/-639.03^2-361.08+-783.18^2+303.97/747.76/-852.03/-225.0*605.03-(-448.53*988.82),605.03-225.0-852.03747.76*-783.18361.08-639.03570.4459.01-909.61**/-^2++^2///*-988.82-448.53*,True
286.78^2+-550.09/(860.49*-358.42*337.37*685.54--803.6)/-671.09-822.79+68.0+-934.99+-263.69*49.03+-286.85,-286.8549.03-263.69+68.0822.79-671.09-550.09286.78+^2//-803.6685.54337.37-358.42860.49**---+++*+,False
853.36+955.95+159.72^2-973.71/-811.87/898.46^-885.75+624.28^2-253.83--717.22*169.81^1+746.68,746.68169.81-717.22253.83624.28-885.75898.46+/159.72955.95853.36++-^2///+-^2-*+^1,True
