Original,Perturbed,Is_Equivalent
-813+-67^2--772--376,--+-813^-672-294-376,False
64^2+901+-833-600,-++^865107901-299600,False
(-729^1+964/842--91),-+^-7291/964842-91,True
647+-7/-157*272/-579,+791-*/-7-157272-579,True
(-842^1-720^2-672),+-^-8421^7202672,True
-584*-493/(810--732/32),//-584946-810/-73232,True
-505/637-789/664^1,+/-816637/-699^7411,False
359/663*92^2+848,++/-761663^922848,False
(798+-384)/134--286--723,--//394-384134-286836,False
514--276^1-(971^1),-^514^-3051/9711,False
-502^2*872*451*(230),+^-502-671**-889451230,True
-946*-288+(-781-343)--308,/+*-946-288--781343-308,False
(305+(-181*348^-605/-414)),+305+*-181^348530-414,False
-884*94*-758/(883+1),/**21894842^8831,False
(-590/-45)^2--347/-844,-^/-590-452/770-844,True
700+-93+(602/258)-5,-++700-93+6022585,True
777*-357/247/642^2,//*-146-357247^6422,True
160*554^1+-818-(-271),-+*-752^9131-818-271,True
180+-287--772^2+(636),+++180-562^-7722636,False
46/-649*-942*370-759,-**/-116-649-942370-175,False
-135--539+613*534*601,*--839-539**613534601,True
(-183/-174)/128/(-365--15),///628500128-896-15,True
112--490*52/-659/792,--349//*-49052-659792,True
-464+-659*-714+-71*(-87),++-464/-659-714*-71552,False
587*850/-356+(-766*(370)),*/*587850-356^-766370,False
775-565*565/536^29,-775/*565565^5362,True
(237--754+446+(-39*653)),++-237-754446*-169872,True
797^1--227/900+-132,+-^7971*-227900-132,True
-987-730/-640*403^1,+--987/730-640^4031,True
642*-403--111/32+-920,+-^642-403/-11132-920,True
-706^2--13^835-369,--^-7062^-132-769,False
-284/30+-48+-568*-64,++/-28430-48*-568-64,True
(-795+96/-783--392)-883,--+-321/96654-392883,False
(-32/-670)+-813*(524*(-186)),*/-32-670*-888*524-186,True
871*(-906^2+(-978--710)),*871+^-9062-239-710,True
85--592*-414^2--426,---503^-592^-4142431,False
410/-714+-73/-883-677,-+/410639/-73-883677,True
-902^2--160-174+846,+--^-6082-160-172-568,False
-132--376^2--691--727,-*--132^-9532-691-727,True
(-464-537)*169+700/(632),++--464-129169/700632,True
-572^1-618-(285-301),^-^-9421618-285301,True
-477^2--402*204/4,-^1102^*-4027814,False
205--153/(-312*-668^934),-205^-153*-312^9452,False
26-669*398--597^2,--26*669398/-5132,True
18*-465*769+27+-306,++**18-465769-714-306,True
-575-2+829*886+-330,++^-5752*829886-330,True
777^-435--615+(605*(-449)),+^/777-435-615*605-449,False
-872/623+-258/-210^1,++/-872623-258^-2101,True
876*191/397^-976-763,-/*876191^3972584,False
-701/292^-561-523-873,^-^-701^-7982523873,False
-804+80+-606^2+(-546),+++824-922^-6062-546,True
717+(-350+148^2+-859),+717++-350^148-4-859,True
234/-597/-317^1--111,^//234-597^-3171-111,True
-594^-240+603*(-919+-137),-*^-5941603+-919-137,False
100*210+-319-534/9,-*/100210-319/3749,False
-524^1--658/(817*1),^^-5911/713^8171,False
-870^1--499*-939^2,-^^-8701-499^-9392,False
469*-813-190^1--220,--*322-813^190-132698,False
97/-288-53*(-932/-68),-/97-288*53+-470-68,True
-180/-855^2-197*-692,-/-180^-8552*197-692,True
-612-623^1--105^1,/--612^6231^7991,True
-125-425*9*-978-144,/***-1254259-978-202,True
-135/768^1+273^2,+/-135^76819/2732,True
171^1+13/-58^2,+^171826/13^-582,True
672^1--307^1-768,--/672550^-3071768,True
-507^1-143*(-262--365),-+989630*143--330-365,False
362+248+510*-645--57,-++11248*805-645-57,True
(-701/596^2+-435*-661),-^-701^8862*-435-661,True
837--293*293/205*-722,--350*/*-293148205-437,False
-320+-255*(953+-899+(-712)),+-320*-255++953-899-712,False
(-895+925+-224*682/-418),++-895925/*839682-418,True
-936-87+-423/-766*928,+--93687*/-423-766237,True
-133+556*804+70--217,++-133*556804*70-217,False
-998--845*-217*-137/370,--998/**653-217-137370,True
590/-988+(580*(-558*(178))),//590-988*580*-558178,True
(-811*563^2+(-433--245)),^*-811^5632--433-245,True
731*-762^2-602^1,-/731^-7622+5361,False
-745--24*460-764+-95,++--745*-244764-95,False
361^1+685+-855+(838),^++^-9491685-855838,True
-315+78*(-135^2+520),+-315*78/^-1352-579,False
-199/-40-389--132*114,--/-199-40389*-593114,True
703^2-223-921*-100,+-^7032223*921-176,False
(345*870^2-697*1),+*345^8702^697-640,False
-512/-665*964/451/809,//*/-97-665964451809,True
-430^393--430*(-865-594),+-^-430-316-430--865594,False
107^159+-93-(49/-833),-+*1071-93/49-833,True
-444--663*89^2+11,+-456-641^89211,True
-401^1-166+175-284,-+-^-4011166175284,True
-680^1+(-19^1-832),+^201-959-^-191832,True
-850/(550+(-894--536*719)),/-850+898--894^-536719,True
-826-2+457*975^1,^^-8262*457^-940417,False
-565^1+(533/(-295+-383)),+/-5651/-619+851-383,True
586^2+(552/(-916+(231))),+^5862--60+-818231,False
196-547--367+-285*-610,--196547+*-367651-610,False
-500^-506+(195^1+-74),+^-9441-^1951-74,False
-679-360*2-55/-122,^--19^3602/55-122,True
980+-237+-414^1-179,-++980-354^6651179,True
515+296*-504/-798*-186,+515*/*296-504387-186,True
-382*-371^-252/-910*-966,-*-382^-3712*-910-966,False
145*(448--736/505)/-354,/+145-448/-736505-1,False
502/938+-554+728/1,++/502-958-554^7281,False
-819+689*242^53-878,--+-819*68924253-887,True
-840*(528*712+(461/-333)),*-840++528-201/461-333,True
-741/-540/273/602/-862,///*976-540418602-862,True
896/804*(-591+154*(-801)),*-896804+-408*154-604,True
-178-(636+-340^1+83),--178++636^-172183,True
-137--901/520+-378-124,-+--149/-901520-378678,False
-977^2--223--170^2,--^-9772554^-170-464,True
107/802+-1+-71--148,/++/107802-1-296-148,True
-748--846*151/-184*784,--840*/*-846151-128784,True
-542/-2^185+-159-633,-+/-542^-2-127-869633,False
671*-417^2--749-(-675),^^*671^-4172-749-675,True
(-867+92)*(-696^1+483),++-867858+^-6961673,True
501*712^751-151+-545,-+-501^7121151-545,False
-713^2+224+616+-874,+++^-7132582-98-874,True
(-164-504--35)-660^1,-+*-164504-35*6771,False
282-162^1-108-814,--^282^1621108814,True
694/708+851*103^1,+/932708*851^103634,True
(-912/-796*635/-608-686),-/*/-912-796635-608686,True
700/-860*758*-507+(997),+^*/700-572758-507997,True
451*398-30+-383*680,+-*-11043630*-383680,True
-428^1-854*-426^1,+^-4281*854^-426-147,False
49*651*74+952+(-561),+++*49651-381952-561,True
-44+-952+-978/-307+-129,+++-44-952/245-109-129,True
915+-113+928-410*528,--+-747-735-35*410528,False
-799/615-504*(783^2),-/-799615+504^7832,True
498*-937-484/-590/-103,/+498-937//171-588-103,False
284*-875^1-(-289/-645),-^284+-875741/-289-645,True
120+831^1-778-(-922),--+120^831445778-922,True
-884--493--295/643*-641,---668-493^/-295-222-641,False
611+-607+225^2+499,+++636-607^2252499,True
-893/-718-858*-121+-62,+-/-893-718*858-121-62,True
681*17--404+(-970*-816),+-*681100-404*-970-816,True
-686/96*-687+659+-285,++*/-68696-687659534,True
484*(755-624)-926-(-687),-^484-755624/926-687,False
-353--576*(452^2+(219)),--970*-576+^-2242219,True
