Original,Perturbed,Is_Equivalent
601/-915/(-40/-32^1--182*-367+(-358-728/30)),//6018+-/-40^-321*-182-367--358/72830,True
-219^2+-12--698+450*-430+1-(126/-256*-820),^++-+^-2192-12-775*450-430-490*/126-256-820,True
44-(326--887+-188^1-146-870--795+811)+-701,+-44+---+-326-887^-1881146870-795811-701,False
421+-900+254-719-(-22^2+723/271+-417-(137)),--+*421-900753347-++^-222/723271-417137,False
732/301/164^391+60^2--724+362^1+-155,++-+//-911301^1642^602-724^3621-155,True
-244-(-644--929/-218)^2--142+686+-719*961/-618,++-*-244^--278/-929-2182-142686/*116961-618,False
-927-981+(-767-27/-769*-228/-705^2+-922^1),+--927981+--767/*/27517-228^-7052^-9221,True
752*122/-14+-582+53-(162*(597+-793)^1+-538),-++/-752122-14-582-370+*162^+597-7931-538,True
562-(-308^2-68-122^1-(924--995/-350-298)),-562---^-308268^1221-+924/195-350298,False
-372^2*-257^1-672+864/347-234*(847+827),-+--/-3722^-2271672/864-234*234+443827,False
992^337-(942+-647+-492/112)^1+-894--953+2,-+-^9921^++942-647/-4921121-894-772,False
-358/-685*828/-211+349/417^2+-497/553*63,++^/**-358-685828-211/349^4172-497*55363,False
111^1-506^2+-803--848-172--956--240*-338,----+-/1111^5062-803-848172-956*-240-338,True
324/807^1+-523-557/(-443^1--486)/996^2,-+/324^8071-523//-535-^-4431-486^9962,False
-142/541^2*285+-682/-337/-486*467*-622-105,^+++-142^4992285*-//-682-337-486467-622105,False
-365+-567/-830/-915+-217^1+82*-349--715^2,-+////-365-567-830-915^-2171*82-349^-715-499,False
-73+-209--218+904^2+(-104*-414-521*849+954),++-+-73-209-218^9042+-*-104-414*521849954,True
-18-(324*645)+822^1-(216^1+644-(384*443)),-/--149*324645^8221-+^2161644*384443,True
516+691^2--629^2+620*137/-586-(-875^1),-+-+516/6912^-629-163/*620137-586^-8751,True
143/579*(643^412-175*-484)^1+949^1+-442,++*/143579^-^6432*-143-4841^9491-442,True
-840/(-689/-218)^1+103/269*-705+23-15-92,---+/-840^/-689-2181*/103269-70523-6192,True
-338/(51^1+387/-231/-886*-297--261--287^2),--338--+^511*//387-231-825-297-261^-2872,True
-622--800^2-648/-985+290+-153-440/-827*986,*++---130^-8002/648-985290-153*/440-827986,True
81^2--67+424+-827/-86*-180+-999*(328/(-573)),+++-^812-67424*/-827-86-180*-999/328-573,True
(-765+(321^105-294*509/-956^2--176^2-929)),+-765--/^3211/*294509^-9562^-1762-954,True
986/(-182*918^2+7-164)/-727*2+-164*-759,++/986-+*-182^91827164^-7272*-1646,True
993/63^2-(-448^2+-262*644/(366-450/-809)),-/993^632+^-4482/*-262644-29/450-809,True
-833--180+958/-486/(411*753/916+(588*233)^1),+--833151//95821+/*411753916^*5882331,False
(719^2-(751*550-47--417--117+-523+(-817+918))),-/7192++---*75155047-417256-523+-817918,True
-78^1+-214--935/(-541^1-94--683-478--85),-+^-781-214/-935----^-541194-683478-85,True
-315*238+934-630-(-790+-740^2*812+(626^2)),-+*-315238+-955630+++-790^-7402812^6262,False
-836^2--69^2+760*591+-776^2-158-809,--++-^-8362^-692*760591^9442158809,True
75^1+-700*-956/-62--933/-257+-471^1+(-158),+-+^751/*-700-956-62//-933-257^-4711-158,True
436/-652-2+-161+889^2+273/542+525^1,++++/436^-6522-161^8892/273542^5251,False
65*-419-(35*-672/-258+771)*696-859/(-451--31),--*65-419*-/*35-672-258771696/859--451-31,False
-247*175^1--505+455/-871+(765--727*24^2),^+-*-247^1751-505/455-871--765-727^242,True
915/172+-964+-861*-291+-752/-349/(410+(600^2)),++/+/915172-964-861-291//-752-349+454^1822,True
595/395--9-222/(915-7+-368)/320+993+-179,++--/595694-9//-927+-9157-313320993-179,False
-478+-136^2+205^2+-819-639*1+-671--179,-+-+++-478^-136995^2052-819+6391-671-179,True
-603+-266--619-875+672^1+-39+510^1-(-514),-+++--+-245-266-619-98^6721-39^5101-514,False
-137^-855--38^2+344/902+-169*909/-70-843,-++---1371^-382/344902/*-169909-70843,True
-823/985+(-364+-777^1+-697+934+(418/140)/-213),+/-823985++++-364^-671-697934//418140-213,True
416/947/27/639^1--534^1-674-497-312,----///41694727^6391^-534167469888,True
-759+-511/-703*-603+43-358+220+(29^1--323),++-+++-759/-511-703-60343358220-^29475-323,True
715*413/80^1+-283*974+-950^1-255+-545,+-++/*715413^801*623974+-9501255-545,True
-71--193-(-257*87--264)+-264+-324--309/(-536*-956),-+----71-193-*-25787-264-267-324/-309*-536-956,True
140^1+-868^2+-404+371*-574+976+(-231+-797),+++++^1401^-8682-555*371-574976+-231-797,False
95^2+879^2+-273^1+779*705--521*-136,-+++^952^2482^-2731*-622705-396-136,False
-591+-182-485^1-(-442+-523--165-158)/-605^2,--+-591-182^4851/--+-442-523-165158^-605-195,True
-990+-980/764+988*-319+(665-308*220+(-994/(814))),+++-990/-980764*988-319-665-*308220/-994-645,False
552/-351--210/960--190--680/343^1+-966*-587,+--//552-351/-735960-190/-680^3431*-966-587,False
438^2+-469+653-331^2-(635-1-127^1),--++^4382-444601^331-348-^6351^1271,False
-301/-737--531+-1000--534+-215-675*-706+-1000/607,+-+-+-/-30112-531-1000-534-215*151-706/-1000607,True
-182-750^2+-893^1-638^1+-459^1-465,-*-+--182^7502*-8931^6381^-7801465,True
-842^2+14^1--730/192--124*435^1+527,+---^-8422^141/-730192*-124^4351527,True
-74/-891/637-743--189/77+-335*-598/691^-36,++--//-74-891637743/-18977//-335-598691-36,False
