Original,Perturbed,Is_Equivalent
-81+82*-56--43-(74+75)-61/-12/(79^1),+---+-81*82-56-43+747561/-12^791,True
52-(-38*33^1-98--95^2-11)^2-97,--52^---*-38^33198^-36211297,True
-3*82^1+71^2+7--84*19/-99*19,-++*-3^821-7127*/*-719-9919,True
-31*36/97+-64^2--77/25-68*14+-95,+--+/*-313676^-642/-7725*6814-95,True
-4*50^1+-70*52^1+-75*95*85/-78,++*-47^5094*-70^521/*/-759583-78,False
-64^1/11--47+98/33--6-22^2+34,+--+-+^75111-47/9833-6^22234,True
-79/69+27-25^1--24-88-32-20--72,----*+/-796927^251-2488*3220-72,False
17+37-(-24*(26/-84-55)-52^2+-36^(84)),-+1751-+-*-24-/265455^522-3684,False
-41+-3^1-(55^1-21)*1+-24-46*10,-/-+-41^-264^-^551211-24*4610,False
-60+-64-(34/-1^1+74^2+-74+-68+36),-+-60-64++++/34^-11^742-74-6836,True
(60+-52*-31+(-53--14/-37^2--96/-47)/1),++60*-52-31^---53/-14^-372/-96-47-65,True
18/84^1+17+-69/-31*(39+-26)^2-(17),-+++/18^84117--69-31^^39-26217,False
-59/-92+-82/-80^2+-52^1--76*19+-23,+-++/-59-92/-82*-802^-521*-7619-23,True
16-47/62/79+89*2-2+-13*-8+-84,++-*-16//474079^8922*-13-8-84,True
(3/-20)^2-87+(32+42^1+-89*(-22*-91)),+-^/3-2024++32/421*-89*-22-74,True
-24*32^1-16/-33+-37^1-82^1+93,+-+-*-24^321/16-33^661-82193,True
17+24/-70*8+54^1+13*(80^2+-94),+++17*/24-708^5483*13+^802-94,True
18*27+(94*-61-85--21/-30*(-91-36)/56),+*-927--*94-6185/*/-21-30--91-9256,True
87+2+-88--33-(87+35--95*-38^1+-42),--+^872-88-33+-+8735*-31^-381-72,False
-42+-95*(94^2--67--4-(-11^1+-94--15)),+-42*99---^942-67-4+/^-111-94-15,False
-96+30--85^1+-27/-10--13-(6+51)^-89,--+-+-9630^-851^-27-10-13^+6511,True
-2^1+37/58+31+46*60-89^1+57,+-+-+^-21/375859*4660^89129,True
(-43^2+-36*46+65-0)^2-68--44^2,--^-++^-432*-3646980268^-442,True
97*-58-26+-84+63--30/74--57+-73+60,++--++-*97-58269874/-1974-57-7360,False
77*-100-(9-1^1+(-31+-19+(-95+84^2))),-*77-100+-74*11+^-31-19+-95^842,True
-55/-57/-6+-54/75*-46^1+-71/-86-97,-++//-55-78-6*/-5475^-461/-71297,True
-11*-85/2*-35^2-96-(53/-21*76-74),--*/*-11-852*14296-*/53-217674,True
53/(-61^1+-70+33/99*-94^2--79--22),/53--++^-611-70*/3399^-942-79-91,True
-13+-73+57/-11/48^1+-12+-38/-51*-54,++-+-13-73//57-11^481-12*/-38-51-54,True
55/-54*-98*6^15/-9*14^1-53--12,--*//**/55-54-986-3218^14153-12,False
-89^1-36^1+-71--91--57-34/(-39^2),---+-^-891^361-71-91-57/34^-392,True
