Original,Perturbed,Is_Equivalent
52/40-12+(76/42),+-/524012+7650,False
31*(51-(1-40*99)),*31-51-1-4060,False
15-(49+90-93/53),-63*49/*389353,False
66+(10/65-48)*97,*30**/10654897,False
65*37*10*15/69,/***6537731569,True
12+56-99+39-26,-+-+1298993926,True
(82+87/95-67)-98,--+77/60956798,False
8-98+74/89*(81),+-873*/88981,False
(53/85+33)-67+89,+--/5385336789,True
10+53+39*25+91,+++1053+452591,False
40-27*13/41/70,--40-2713/4170,False
77+64*11+27-98,--+77*64112758,True
64-65+80+56-31,-+-64/22538831,False
(29*88-50*32)+68,/-*2988*506586,False
98+61-97*25+11,+-+361*971513,False
27+(96/79-76/(39)),+27+/9675/7639,False
77/71/14+(29+41),+//977114+2941,True
61-(35+3-46)*56,**61*+35955556,False
26*46/(99/72+22),+*2646+-994522,False
(14*61+32-34/94),-+*146632/3494,True
38*21/80*32*21,++/*3821803221,False
29*43+(49-69+16),+*2943+-496922,False
5*36+11/45/94,**9536//114594,False
42*29+98/96*33,+*4229//989633,True
84+30+79+33-(29),++++8430793329,False
61-73-48-43-19,-/--617394319,True
75+74/9+(49-(90)),+++75749-4995,False
23+20-51/84+96,+*+2320/878496,True
87+28/(19-6*28),+87/28-14*8128,True
(54-(81*36)*22+80),+-29**8182280,True
(45*98+58/74-83),+*4598//907419,False
39+31/(1+(82*31)),+56/31+1*8231,True
1-25-70*57-(25),/--1025/702925,False
15-68*14-(68-99),-+15*6855-6899,False
79-83*13*21-99,*-79**83138399,False
10*98-91*93*(4),-*1090**78934,False
85+22+73+86+34,++++8522738634,True
77/47-28+96+2,+--*774725962,False
59/92-12*21/16,-/5992/*122116,True
64*46+80*59+86,++*6453*808586,True
82-4/94*44-73,---82/4944473,False
46+6+62-36-2,--++552762362,True
(82*2-92)*27/57,/*-*822922757,True
61-18*53+55/35,+-61/1853-3435,False
80-8/90-53*25,+-80/890*5325,True
67/(52*40/(53/24)),/67//5240/5356,False
(42/69-81/71)/92,+-/7769/81267,False
6*14*95*64*97,+**+614956497,True
92/61+64*84/22,+/9261/*642422,True
20*78+13/46+50,+-+2078/134550,True
54/38-32-62+16,---28584/6216,False
45-14/6/83/(42),+-4514//68342,True
76/75+92/64*73,+/5975*/926773,False
23+66+18/44-47,-*-2366/184447,False
28+73-17/4/12,+-6473//17412,True
13*(2-11-63/80),*13--+2116380,True
(97*7*23*7)+32,+***45723732,False
3+7+(76/52)/85,++-37/765285,False
66-(31-28+16-31),-66-+-31281631,True
81-61/(38/31-17),-36/61-/683117,True
69*95*3-43*(15),-/*69771*4373,False
45*(83/20)+12-15,-+*45/83201274,True
56+(69-30+86/20),+56/-6930/1120,True
89+39-86*5-(62),--+1439*863162,False
75*59/94-15/8,-/*985921/388,True
(59+59-42-90+46),*---3039429046,False
23-(26-16*62)/97,-23/--26166230,False
(37+22*(59+72/(35))),+60*22+59/7218,True
(35+99/86*93-90),-+8*/99861090,False
14*10/78/16-25,-//*341078617,False
29*24-11*16*52,-*2924+*117152,True
37+(89*37)/2/63,+37///43378463,False
(99-34-63-4)*79,*/--99349479,False
7*70+72*(3+90),++770*72+390,True
34+59*46-80/60,*-34*9846/8060,False
(25+(33+88/90*58)),+6+33*/882658,False
44*21+55-62+56,+-+*4421556256,True
56-54-(24+82+83),--3173++247418,False
60*(19*19-(55+35)),*60/*1919+5535,True
76*24/99+90-62,-+/*1767929162,False
72*17-(92+16*22),-*7217-92*165,True
42/(87/(63/(91*91))),/42-87*63*9191,False
72/98/(67/(27+20)),/-298/67+2720,False
43+(25/31-9)*(20),+43*-/2531920,False
74/75+90+6*39,++*747590*639,True
(87-23*91+3/88),+-87*2391/388,True
88*94/95*27+57,+*/*4994952757,False
39+47+60/82/71,*+3947//608271,True
76+99/(90/37+43),+76/34+/903742,True
82-(36+55-58-11),-1--+12555824,True
21*29-12+66*81,+**212912*6650,False
35+13+10*50/(87),++3547/*105087,False
67+43+35*16-40,-+/6744-351682,True
23/85*86-77/13,+-+/2385867713,False
62-68*77+6+20,++-62*689658,False
54-(2+34-56/(12)),-54-+234/5627,True
67+15/94-(67+17),-+67/1594+6717,False
75*33*64+21-10,-+*/7533642174,False
29/28/29-43*10,--/442829*4310,True
(84*53-67/36+9),-*8453*/673672,False
