Original,Perturbed,Is_Equivalent
626/-744/(-708--46*833)/(402-192*-254*-529)+-569,+///626-744--708*-46833-402**210-254-529-569,False
615/264--804--264-161/-231*-482--970-531--856,------/615264-804-264*/161-231-482-200531-856,True
843/666/-29-(-811/(468/171*375)+(834/242/855)),-//843666-29+--811*/468171375//834242947,True
342-846+216/-673--493+226--14+-83*-742+-516,/-+-+-342846/216-673-493226*+-14-83-742-516,True
-186+-249-(-952+(211/(-378*-162+-345-927--986--635))),-+-186-249+-952/211---+*-378-162872927-986-635,True
(551+724/936*(747--188+-152--134*-244/818-(590))),+551*/724936--+-747237-152/*-134-244818590,True
(332*(-254--161--514-128--558+(-94*363--992*733))),+332+-----254-161-514-839-558**-94363*-992733,False
(32+(-110/176*782/(-802-659/-598+-948*682/(-245)))),+587/*/-110176782---802/659-598/*-948682-245,True
-284*744/86*-71/952/194/(987/-96)*987-86,-*//+*/*-28474486-71952194/987-9698786,True
-662--398--414--964*-239+-946-88-(-798*315-976),--+-+--662-398-414*-964-239-96588-/-798315976,True
-444+-385+125--582-(-233+-294*(-748/-599/-71+(-705))),--++-444-385125-916+-233*-294+-/-748-599-71-705,True
(-372--405)*354*65/633/(-726+-819-722--593+(532)),//**--372-40535465633+--+-726-819722-593532,True
-334*303/911*(-237/-768-186*-266/146/905)*-293,**/*-334303911-/518-768//*186160146905-68,True
386/-489-545--557+451+711--716-451+171/-517,-+*+++--/386-489545-557451711-716451171-517,False
-348-613/(-793*52*7)*(-365*598/(-706-186)+992),--348*/613**-793527+/*-365-545--706186992,True
-8/-881*586-199/-260-843+-492/-322/-782/76,+--+/-8-943586/199-260843///-492-322-78276,True
(-359+-286/802/-385--128)-(-657-(863*168-946+11)),--+-359//-286802-385-128--657+-*86316894611,True
-555+-415/519-301/620*-520/416+637*(814+42),+---555/-415574/*/301620-520416*-532+81442,False
372+308/-865*-482-272+383+402+262+843-159,-+++-+372-/308-865569272383/402262843159,True
677/225+387-510+(901/258)/358*477/-638*-934,+-+/677225387510/+*//901258358477-638-934,True
953/-392--436+-906+851*-394/(120*122+639/211),++-/-206-392-436-906/*851-394+*120122/639211,False
(34/160*(128-729/(718+(-986/626)--42-683+-197))),*/-580160-128/729+--+718/-986626851683-197,True
468/(197/-407*992--511)-(-646+783)-454/(379+619),--/468-*/197-407992283--646783+-831+379619,False
593+(-517/-218-949--507/-812+(-787/-789/-760*201)),+593+--/-517-218949/699-812*//-787-789-760219,True
-439/642+-908--489/-941+772--644-334/-817--148,---+-+/-439642-908/-489-941772-644/334-817-148,True
-811-457/-559+852/(368+439*732--945*(-328/-14)),+--811*457-559/852-+-483*439732*244/-328-14,True
