Original,Perturbed,Is_Equivalent
-6 / ( -62 - ( 48 * -100 / 12 + -75 + -94 + 56 - -67 - ( -70 ) ) ),/ -6 - -62 - - + + / / * 48 -100 12 -75 -94 82 -26 -43,False
-96 * -22 * 20 - ( -74 - 23 / ( 88 * 94 ) * ( -37 + -72 + 43 ) ),- / * -96 -22 22 - -74 * / 23 * 88 94 + + -37 -72 -59,True
( 15 - -51 + -53 / 79 ) / 17 - -11 * 11 * ( -91 * 96 / -10 ),- / - - 15 -51 - -53 79 17 * * -11 11 / * -91 96 79,True
58 * -74 + 15 + -16 - 23 * -39 + -33 / -4 - ( -47 + -5 ),- + - + * 58 -74 * 15 -16 * 23 -39 / -33 -4 + -47 -5,True
-40 / ( -59 + 13 + 58 - 57 - -86 ) / ( 64 * -98 ) * 31 * 56,* * / / -40 - - + + -59 31 58 57 -86 * -7 -98 31 38,True
-93 / 75 / 46 + 45 - 65 - -22 + -9 - 70 - -60 * 45,- - + - - + / / -93 75 46 59 65 -22 -9 70 * -60 45,True
( 80 * -7 * 59 / 48 / -40 - -23 + -55 * ( 73 / 84 * 11 ) ),/ - * / * * -20 -7 59 48 -40 -23 * -99 * / 73 84 11,False
-71 - 13 / -40 / -45 * 44 + -84 * 96 * 57 - ( -73 - -12 ),- + - -71 * / / 13 -40 -45 44 * * -84 96 -74 - -73 -72,True
25 / 87 + -20 / ( 33 - 79 / -34 - ( 79 + 46 + 79 * 47 ) ),+ / 25 87 / -20 - - 33 / 79 -34 + + 79 46 - 79 47,True
-53 - -49 - ( 0 - -36 ) + 5 / -33 / ( 8 - -16 / -37 + -72 ),+ - - -53 -49 - 0 18 / / -21 -33 + - 8 / -16 -37 62,False
38 * 74 / -57 - ( -82 * ( -88 + -3 - -47 ) / 11 - ( -22 - 75 ) ),- / * 38 74 -57 - / * -82 - + -88 9 -47 -44 - -22 75,False
( -77 - 13 + ( -50 * -44 ) * 39 - -64 - ( 76 - -50 ) / 32 - 91 ),- - - + - -77 13 * * -50 -44 39 64 / - 76 -50 32 91,True
-44 * 69 + 18 / -61 - -33 - 21 * 39 * 24 - 56 * 81,- / + + * -44 69 / 18 -61 94 / * 21 39 24 * 56 81,False
97 + -3 + -18 / 11 + 10 / 81 + 10 * 48 + -96 - -34,- + + + + + 97 -3 / -18 11 / 10 81 * 10 48 -96 -34,True
21 + ( -76 + 36 + 89 + 10 + -45 - -96 ) * 14 * 20 + 97,+ + 21 * * - + + + + -76 36 89 10 -45 -96 14 20 97,True
-12 / 23 * 12 / ( 62 * 68 * -4 ) / -84 * -62 / 30 + 10,+ - -12 / * / / * 23 12 * * 62 68 -4 -84 -62 30 10,False
66 / 42 / -10 * ( 78 - ( -49 - 48 + 18 ) / ( -41 * -41 + -73 ) ),* / / 66 42 -10 - 78 / + - -49 48 18 * * -41 -41 -12,False
23 / 39 / 69 - -57 - 63 + ( 3 + -44 / 90 * 17 / -18 ),* - - / / 23 39 69 -17 63 + 3 / * / -44 90 17 -18,False
-49 * -81 - -86 - -68 / 56 - 42 / 28 * ( 20 / -25 + -56 ),- - - * -49 -81 -86 / -68 56 * / 42 64 + + 84 -25 -56,True
( -65 - -13 - -88 - -100 + 73 * -8 / -56 * 83 + -25 - -61 ),+ + + - - - -65 -13 -88 -100 * / * 73 -8 -56 56 -25 -61,True
( -20 - ( -64 / 29 ) - -63 ) / ( -53 * 72 * -22 - 3 - 92 - 0 ),/ - - -20 / -64 29 -63 - - - - * -88 72 -22 3 92 0,True
-97 - 70 + -79 * -98 - 12 - 96 / -35 * 25 * -46 - 50,- - - + - -91 70 * -79 -98 12 * * / 96 -35 25 -46 50,True
-94 * 98 * -86 / -68 - 95 + -33 / ( 96 / -89 * 65 / -29 ),+ - / / * -94 98 -86 -68 95 / -33 / * / 96 -89 65 -29,True
82 + ( -99 * ( -69 + 14 * ( -39 / 22 - ( -90 * ( 35 * -84 / ( 34 ) ) ) ) ) ),+ 82 - -99 + -69 * 14 - + -39 22 * -90 / * 35 -84 34,False
-55 / -31 * 25 / -39 + -49 / -23 + ( -35 / 46 + 10 ) - ( -42 ),- + + / * / -55 -31 25 -4 / -49 -23 + * -35 46 -98 -42,False
-60 * 59 + -20 + 52 - -16 + 43 / -26 - 48 + -14 - -38,- + - + - + + * -60 59 -20 52 -16 / 43 -26 -42 -14 72,True
40 - -95 / -15 * -44 - ( 13 - 72 - -16 + 76 - 19 / 89 ),- - 40 * / -95 -15 -44 + - - 13 23 -16 + * 76 -12 89,False
-38 * -4 - -35 * -67 / 51 / -79 / 88 / -6 - -67 + 46,+ - - * -38 -4 / * / / * -35 -67 -21 -79 88 -6 -67 -64,False
33 + -21 + 44 + -49 * ( -46 - -98 / 80 ) * -25 / -98 / -37,+ + + + 33 -21 44 -49 / / * - -46 / -98 80 -25 -98 -37,True
78 * -24 * 10 + -1 / 92 * 69 - 58 + -80 / 37 - -82,- + - + / * 78 -24 10 * / -1 92 69 -60 / -80 37 -82,True
40 * 15 + 32 / -45 / ( -28 / -48 + -87 + -53 + -17 / -12 ),- + * 40 15 / 32 -45 + + + / -28 -48 -87 -53 / -17 -12,False
-38 * -19 / 50 * -89 - 81 * 74 * 55 / -93 * -95 - -39,- - * / * -38 61 50 -89 * / * * 81 74 55 -93 -95 96,True
88 / 72 * 15 * 69 / -36 / -39 * -2 + -55 + -35 / -10,+ + * / / * * / 88 72 15 69 -36 -39 -97 -55 / -35 -10,True
-90 / -64 - 18 + 41 + -75 + ( -87 + 15 + -98 - -33 - -92 ),+ + - - / -90 -64 18 41 -75 - - + + -87 15 -98 -33 -92,True
