Original,Perturbed,Is_Equivalent
-979 - -585 + 767 * -681 / 82,-979 - -585 + 767 * -681 / 82,True
-904 - 163 - -406 - -652 - -390,-904 - 163 - -406 - -652 - -390,True
-27 + -1000 / 697 * -941 + 259,-27 / -1000 / 697 * -941 + 259,False
369 / 382 * 619 / -737 - -760,369 / 382 * 619 / -737 - 472,False
886 / -393 * 200 * 74 - -125,886 / -393 * 200 * 74 - -125,True
-215 * -457 - -551 + -369 * 95,-215 * -457 - -551 + -369 * 95,True
794 / -786 / 750 - 177 / -60,794 / -786 + 750 - 177 / -60,False
649 - -826 / -515 / 827 - -149,649 / -826 / -515 / 827 - -149,False
-861 + 564 * 809 + 348 / -223,-861 + 564 * 809 + 348 / -223,True
-346 + -194 / -318 * -67 + -368,-346 + -194 / -318 * -67 + -368,True
74 - 941 + -787 - -245 / 864,74 - 941 + -787 - -245 / 864,True
-144 - 15 * 810 + 756 * -99,-144 - 320 * 810 + 756 * -99,False
-201 + 893 + 263 * 613 + -528,-201 - 893 + 263 * 613 + -528,False
907 * 287 + -553 / -810 - 569,907 * 287 + -553 / -810 - 569,True
-412 - -287 + -759 - 187 / -937,-412 - -287 + -759 - 187 / -937,True
-258 * -313 / 909 - 499 - 522,657 * -313 / 909 - 499 - 522,False
-466 / 86 * 162 + -361 / -629,-466 / 86 * 162 + -361 / -629,True
97 * 463 * -752 / 539 - 670,97 * 463 * -752 / 890 - 670,False
-205 * 120 * 101 / 919 / -535,-205 * 120 * 101 / 919 / -535,True
-113 * -777 - -76 - -164 / -648,-113 * -777 - -76 - -164 / -648,True
-355 - -648 + 399 * -530 + 851,-355 - -648 + 399 * -530 + 851,True
-906 + 889 - -236 * 640 / 629,-906 + 889 - -236 * 640 / 629,True
943 / -239 - -990 * 586 * 559,943 / -239 / -990 * 586 * 559,False
630 / 477 * -301 - -27 * 427,630 / 477 * -301 - -27 * -276,False
-866 + 65 / -224 + 394 + 910,-866 + 65 / -224 + 394 + 910,True
-895 * -488 - 799 + 758 * 172,-895 * -488 - -407 + 758 * 172,False
-261 * 628 - -391 / -726 + 934,-757 * 628 - -391 / -726 + 934,False
171 / 186 / -998 / 331 / -394,171 / 186 / -998 / 331 * -394,False
446 / 811 * -89 * 250 - -228,446 / 811 * -89 * 250 - -228,True
-93 * 349 + -325 * 753 / 457,-753 * 349 + -325 * 753 / 457,False
-771 - -879 + 433 - -934 + 516,-771 - -879 + 433 - -934 + 516,True
