Original,Perturbed,Is_Equivalent
-84 - -72 - -43 * -50 / -58 * -53 * 31 - -11 * -51 - -22,-84 - -72 - -43 - -50 / -58 * -53 * 31 - -11 * -51 - -22,False
53 * 18 / -54 / -2 / -74 + 25 - -73 / 66 + 41 * 37,53 + 18 / -54 / -2 / -74 + 25 - -73 / 66 + 41 * 37,False
17 / -3 / -62 - -79 - -29 / 13 - 12 - -67 / -24 + -23,17 / 32 / -62 - -79 - -29 / 13 - 12 - -67 / -24 + -23,False
-60 / -96 + -72 + -85 - 39 + 9 + 39 * -45 / 53 / 41,-60 / -96 + -72 + -85 - 39 + 99 + 39 * -45 / 53 / 41,False
-66 / -2 * 13 - 75 - -38 * 17 - -46 + -48 * 63 / 24,-66 / -2 * 13 - 75 - -38 * 17 - -46 + -48 * 63 / -63,False
51 * 81 / -6 * 54 + 42 / -10 - -47 * -14 + -41 + -5,51 * 81 / -6 * 54 + 42 / -10 - -47 * -14 + -41 + -5,True
75 * 90 - -23 + -96 / -67 * -15 * 60 / 3 * 32 * 95,75 * 90 - -23 + -96 / -67 * -15 * 60 / 3 - 32 * 95,False
-28 + -92 * -13 * -73 + 0 / -48 * -90 * -77 - 23 + -14,-28 + -92 * -13 / -73 + 0 / -48 * -90 * -77 - 23 + -14,False
-26 - -62 / -70 - -89 - -48 - 78 - 70 / -73 / -47 - 80,-26 - -62 / -70 - -89 - -48 - 78 - 70 / -73 / -47 - 80,True
47 / 21 * 74 - 12 - 96 / -22 + -7 + -52 * 18 + 53,47 / 21 * 74 + 12 - 96 / -22 + -7 + -52 * 18 + 53,False
94 - 32 / 83 / -52 * 48 * -80 + 67 + -81 - 10 - -17,94 - 32 / 83 / -52 * 48 * -80 + 67 + -81 - 10 - -17,True
6 + 70 + -94 + 3 + -40 * -13 - 86 + -62 * -38 - 98,6 + 70 + -94 + 3 + -40 * -13 - 86 + -62 * -38 + 98,False
51 - 5 / 53 - -67 / -14 / -23 + 93 - 9 - 98 * 80,51 - 5 / 53 - -67 / -14 / -23 + 93 - 9 - 98 * 80,True
44 - 17 + 41 - 14 / -4 - 12 / -56 * -53 + -7 * 35,44 - 17 + 41 - 14 / -4 - 12 / -56 * -53 + -7 / 35,False
21 * 74 - -88 * 9 * -85 / -21 / 89 / 72 / 95 + -10,21 * 74 - -88 * -9 * -85 / -21 / 89 / 72 / 95 + -10,False
80 * -46 / 74 / 80 / 32 - 4 * -72 - -51 * 48 - -91,80 * -46 / 74 / 80 / 32 - 4 * -72 - -51 * 48 - -91,True
1 * 8 / -70 + 12 * -88 / -31 * 18 + 75 / 52 / 87,1 * 8 / -70 + 12 * -88 / -31 * 18 + 75 / -26 / 87,False
-34 - -6 + 60 - 83 - -98 + -75 + -42 - 91 / -67 - -24,-34 - -6 + 78 - 83 - -98 + -75 + -42 - 91 / -67 - -24,False
-49 * 4 * 61 / -53 - -34 + 95 / -28 * 76 / 1 * 72,-49 * 4 * 61 / -53 - -34 + 95 / -28 * 76 / 1 * 72,True
-98 + 13 - 80 / -79 - 63 / -69 / 72 + 63 + 54 / 80,-98 + 13 - 78 / -79 - 63 / -69 / 72 + 63 + 54 / 80,False
8 * 82 * -90 / -93 * 30 - -82 - -40 - -19 / 14 - 52,8 * 82 * -90 / -93 * 30 - -82 - -40 - -19 / 14 - -10,False
-63 - -81 * -13 / -85 - -96 / -12 * 0 * 65 + -88 + -47,-63 - -81 * -13 / -85 - -96 / -12 * 0 - 65 + -88 + -47,False
-86 * 5 * -36 - -55 + 88 / -42 / 3 / 75 + -91 / -71,-86 * 5 + -36 - -55 + 88 / -42 / 3 / 75 + -91 / -71,False
-74 + 98 * -54 * -87 / 22 + -71 * -46 / -22 + 58 * -65,-74 + 98 * -54 * -87 / 22 + -71 * -46 / -22 + 58 * -65,True
43 / -55 - -17 - 80 + 49 * 2 / 13 * 64 - -1 + -66,43 / -55 - -17 - 80 + 49 * -68 / 13 * 64 - -1 + -66,False
-67 + 57 / -8 - 48 * 80 / -46 - 73 + -55 * 22 + -6,-67 * 57 / -8 - 48 * 80 / -46 - 73 + -55 * 22 + -6,False
45 + -92 * 91 + 56 * 24 * 84 * -89 / 11 + 93 + 19,45 + -92 * 91 + 56 * 24 * 84 * -89 / 11 + 93 + 19,True
