Original,Perturbed,Is_Equivalent
14 * ( -3 + -8 ),14 -3 -8 + +,False
-8 / -23 / -47,-8 -23 / -47 /,True
39 - 38 * 14,39 38 14 * -,True
24 * -45 / 13,24 -45 * 13 /,True
( -42 + -41 ) * ( -20 ),-42 -41 + -20 *,True
29 * 9 * 18,29 9 / 18 *,False
27 * -13 / -30,27 -13 * -30 /,True
-20 / -23 - -8,-20 -23 / 35 -,False
-29 / -30 - -21,-29 -30 / -21 -,True
47 - 3 + ( -42 ),47 3 + -42 +,False
30 / 25 - -37,30 25 / -37 -,True
-31 - 6 - -6,-31 26 - -6 -,False
-14 + -24 / ( 25 ),-14 -24 25 / +,True
-6 - -46 - ( 18 ),-6 -46 + 18 -,False
-2 / 29 * 26,-2 -35 / 26 *,False
( 7 * -10 ) - -4,7 -10 * -4 -,True
39 * 12 / 24,39 12 * 24 /,True
-5 + 32 / 4,-5 19 4 / +,False
46 + -45 / 30,46 -45 30 / +,True
4 * 24 / -2,4 24 * -2 /,True
39 + 25 * ( -15 ),39 25 * -15 *,False
-11 - -18 + -26,-11 -18 * -26 +,False
( -38 / 28 * -41 ),-11 28 / -41 *,False
25 + -20 * 34,25 32 34 * +,False
( 42 / ( -2 - -18 ) ),42 -2 -18 - /,True
-23 / ( -42 / -16 ),-23 -42 -16 / +,False
( -30 - -20 * -22 ),-30 -20 -22 * -,True
( 19 + -40 + ( -45 ) ),19 -40 + -45 +,True
28 + -29 / -22,28 -29 -22 / +,True
-8 * ( -37 + ( 31 ) ),-8 -37 31 + /,False
12 + ( 44 * 41 ),12 44 41 * *,False
