Original,Perturbed,Is_Equivalent
0.03 - 0.37 + -0.64 / 0.35 * -0.76 / 0.63 + 0.93 - - * -0.26,-0.26 -0.02 0.93 0.63 -0.76 0.35 -0.64 0.37 0.03 - + / * / + - *,False
0.37 - 0.04 / -0.52 * 0.88 * -0.94 * + / -0.61 * -0.61 - 0.48,0.48 -0.61 -0.61 0.74 -0.94 0.88 -0.52 0.04 0.37 - / * * * / * -,False
0.56 + 0.3 / -0.11 - 0.25 - 0.99 - 0.29 / 0.54 * 0.08 * 0.74,0.74 0.08 0.54 0.29 0.99 0.25 -0.11 0.3 0.56 + / - - - / * *,True
0.21 - -0.45 + -0.02 + -0.91 * 0.17 - 0.7 + -0.83 - 0.59 - -0.78,-0.78 0.59 -0.83 0.7 0.17 -0.91 -0.02 -0.45 0.21 - + + * - + - -,True
0.11 / 0.66 / 0.29 / -0.83 / 0.47 * -0.32 - -0.85 + -0.95 + -0.82,-0.82 -0.95 -0.85 -0.32 0.47 -0.83 0.29 0.66 0.11 / / - / * - + +,False
-0.55 + -0.17 * -0.78 - -0.92 / 0.74 * 0.36 * 0.68 - -0.29 - -0.19,-0.19 -0.29 0.68 0.36 0.74 -0.92 -0.78 -0.17 -0.55 + / - / * * - -,False
0.04 * 0.19 + / - 0.2 - -0.94 - -0.49 - -0.72 + 0.44 * 0.21,0.21 0.44 -0.72 -0.49 -0.94 0.2 0.26 0.19 0.04 * + - - - - + *,False
0.51 + 0.13 + 0.89 - 0.14 + 0.28 + 0.69 * 0.02 - * - -0.22,-0.22 0.55 0.02 0.69 0.28 0.14 0.89 0.13 0.51 + + - + + * - -,False
0.66 / 0.71 * 0.59 / 0.72 * -0.73 * / + 0.28 / 0.48 + -0.08,-0.08 0.48 0.28 0.45 -0.73 0.72 0.59 0.71 0.66 / * / * * + / +,False
0.08 / -0.85 + 0.21 + -0.92 - + * -0.8 - 0.96 - 0.38 - 0.96,0.96 0.38 0.96 -0.8 0.28 -0.92 0.21 -0.85 0.08 / + + - * - - -,False
-0.61 * 0.92 + 0.8 / 0.31 + -0.39 - -0.01 / -0.82 - 0.67 + 0.74,0.74 0.67 -0.82 -0.01 -0.39 0.31 0.8 0.92 -0.61 * + / + - / - +,True
-0.85 / -0.21 / 0.32 - 0.4 / 0.41 * -0.46 * 1.0 - -0.77 + -0.69,-0.69 -0.77 1.0 -0.46 0.41 0.4 0.32 -0.21 -0.85 / / - / + * - +,False
0.7 + -0.79 / -0.01 * / / -0.53 - 0.32 - 0.15 / 0.64 - 0.04,0.04 0.64 0.15 0.32 -0.53 -0.85 -0.01 -0.79 0.7 + / * / - - / -,False
0.47 * -0.16 + 0.89 - -0.29 - 0.57 * 0.4 - -0.36 + -0.71 * -0.32,-0.32 -0.71 -0.36 0.4 0.57 -0.29 0.89 -0.16 0.47 * + - - * - + *,True
0.67 / -0.06 - -0.34 * 0.87 + 0.58 - 0.37 / 0.57 - -0.07 - 0.54,0.54 -0.07 0.57 0.37 0.58 0.87 -0.34 -0.06 0.67 / - * + - / * -,False
* * 0.08 * 0.53 - -0.3 + 0.79 * 0.21 + 0.71 + 0.95 + -0.21,-0.21 0.95 0.71 0.21 0.79 -0.3 0.53 0.08 0.18 * * - + * + + +,False
0.87 - 0.18 + 0.25 / -0.67 - 0.86 - 0.34 * / * 0.28 + 0.62,0.62 0.28 0.76 0.34 0.86 -0.67 0.25 0.18 0.87 - + / - - * * +,False
0.57 - -0.14 + -0.76 / 0.29 * 0.59 / 0.53 - 0.25 - + / 0.52,0.52 0.6 0.25 0.53 0.59 0.29 -0.76 -0.14 0.57 - + / * / - - /,False
-0.5 * + / 0.74 / -0.69 / -0.21 / 0.98 + -0.28 + -0.83 * 0.0,0.0 -0.83 -0.28 0.98 -0.21 -0.69 0.74 -0.24 -0.5 * / / / / + + *,False
-0.16 / -0.27 / 0.41 + -0.3 - -0.2 * 0.33 + 0.77 - 0.34 - 0.56,0.56 0.34 0.77 0.33 -0.2 -0.3 0.41 -0.27 -0.16 / / + - * + - -,True
-0.3 / -0.32 + -0.09 * -0.92 + 0.89 - -0.53 / -0.46 - -0.52 * 0.73,0.73 -0.52 -0.46 -0.53 0.89 -0.92 -0.09 -0.32 -0.3 / + * + - / * *,False
0.41 + -0.92 - 0.26 / 0.02 - 0.47 + -0.69 / 0.81 * -0.91 + -0.45,-0.45 -0.91 0.81 -0.69 0.47 0.02 0.26 -0.92 0.41 + - / - + / * +,True
0.76 * 0.77 - -0.6 - -0.63 - -0.61 * -0.16 / -0.18 - 0.98 * -0.71,-0.71 0.98 -0.18 -0.16 -0.61 -0.63 -0.6 0.77 0.76 * - - - * / - *,True
-0.92 + -0.83 + -0.64 + -0.57 * -0.73 - -0.48 + 0.62 * -0.26 / -0.2,-0.2 -0.26 0.62 -0.48 -0.73 -0.57 -0.64 -0.83 -0.92 + + + * - + * /,True
* + 0.04 + 0.67 * 0.82 - -0.88 - 0.19 + -0.48 / 0.75 / 0.99,0.99 0.75 -0.48 0.19 -0.88 0.82 0.67 0.04 0.81 + + * - - + / /,False
-0.03 / -0.47 + -0.68 + -0.36 + 0.98 * -0.04 + -0.44 + -0.84 * 0.16,0.16 -0.84 -0.44 -0.04 0.98 -0.36 -0.68 -0.47 -0.03 / + + + * + + *,True
0.54 - 0.9 * -0.99 * * - 0.16 / -0.78 / -0.58 - 0.59 / 0.61,0.61 0.59 -0.58 -0.78 0.16 0.25 -0.99 0.9 0.54 - * * - / / - /,False
-0.38 - -0.39 - 0.97 * 0.38 * -0.72 - 0.02 - 0.58 * -0.56 / *,-0.1 -0.56 0.58 0.02 -0.72 0.38 0.97 -0.39 -0.38 - - * * - - * /,False
0.22 + -0.86 - 0.51 - -0.04 * -0.59 - + / -0.39 - 0.54 + -0.9,-0.9 0.54 -0.39 -0.48 -0.59 -0.04 0.51 -0.86 0.22 + - - * - / - +,False
0.46 / 0.41 + -0.98 * -0.18 * 0.95 * 0.59 - -0.05 + 0.92 / -0.57,-0.57 0.92 -0.05 0.59 0.95 -0.18 -0.98 0.41 0.46 / + * * * - * /,False
0.37 + -0.93 * -0.55 * -0.77 / 0.71 + -0.9 * 0.39 / -0.13 - 0.4,0.4 -0.13 0.39 -0.9 0.71 -0.77 -0.55 -0.93 0.37 + * * / + * / -,True
