Original,Perturbed,Is_Equivalent
55 * -43 - ( 15 ),- * 4 -43 15,False
85 + 90 * 7,+ 85 * 90 86,False
-18 * -5 / -19,/ * 14 -5 -19,False
-55 / 5 / ( -22 ),+ -55 / 5 -22,False
( 95 - 35 / 48 ),- - 95 35 48,False
-65 / -24 / -47,/ / -65 -24 -47,True
( 9 - ( 93 + -79 ) ),- 9 + -97 -79,False
61 * 12 / ( 21 ),/ * 61 12 72,False
-43 / -6 * 36,* / -43 -6 -100,False
-39 / -52 / 92,/ / -39 -52 92,True
33 / -28 / ( 49 ),/ / 33 -28 49,True
( -93 * 22 * -97 ),* * -93 22 -97,True
( -66 - ( 84 / ( -60 ) ) ),/ -66 / 84 -60,False
85 + 40 - -18,- + 85 -89 -18,False
-75 - -95 / 37,- -75 / -95 37,True
83 * -99 + -86,+ * 83 -99 -86,True
( 53 / -32 - -59 ),- / 53 -27 -59,False
-59 * ( -81 * -80 ),* -59 * -81 7,False
10 - 77 - -90,- - 10 -15 -90,False
( 98 * -79 ) + 56,+ * 98 -79 56,True
5 / 23 + 29,+ / 5 23 14,False
73 / ( 2 / ( -31 ) ),/ 73 / 2 -31,True
-31 * -74 + 18,+ * 58 -74 18,False
-96 / 6 / -48,/ / -96 6 -48,True
33 / 85 - -96,- / 33 85 -96,True
-15 + 18 / 6,+ -15 / 18 6,True
92 * -38 / 69,/ * 70 -38 69,False
17 * -26 - 44,- - 17 -26 44,False
-14 - 30 / 26,- -14 / 30 26,True
66 - -32 + -56,+ - 66 -32 -56,True
-99 / 96 * -84,- -99 * 96 -84,False
