Original,Perturbed,Is_Equivalent
138/32+4694/+,51/38+32+46/94,False
773*67*29/97-,7*73*67/29-97,True
2516/4687/70*+,25/16+46/87*70,False
5697-51+49-14-,56-97+51-49-14,True
7339+56+86+42+,73+39+56+86+42,True
6182/1539*7*+,61/82+15*39*7,True
795237*81/-62+,79-52*37/81+62,True
5624/50*56-5*,56/24*50/56*5,True
4525*10/6+58+,45*25/10+6+58,True
2116*34+3244/+,21*16+34+32/44,True
4336*4949/+29+,43*36+49/18+29,False
9210/613/20/+,92/10+70/3/20,False
3790*874/95*-,37*90-8/74*32,False
788947/21*86*+,78+89/97*21*86,False
1383/9079*7*-,66/83-90*79*7,True
8962-3252*21/*,89-62-32*52/21,False
5330+899/39*-,53+30-89/44*39,True
179490/11/-37+,17-94/90/11+37,True
3883*85/74+91+,82*83/85+74+91,False
3431+6221/27*-,34+31-62/21*27,True
849/89/22-67+,8/49/89-22+67,True
7341-84+23-2*,52-41+84-23-2,False
7719*86/1329/-,77*19/86-13/29,True
996/6080/+38+,99/6+60/80+38,True
6528*169/35++,65-28+16/9*35,False
6981+4043*-26/,69+81-40*43+76,False
2572-27/12/29+,25/72/27/12+50,False
4941+9956/8*-,32+41-99/56*8,False
7529*24*3389/-,75*31*24-33/42,False
238/18/241*-,2/7/18-24*1,True
8759+7+4+72/,87+59+7+41-72,False
43629/-8124/*,4-36/29+81/24,True
126766*57/71/-,12-14*66/57/71,True
9138/1241/44/-,91/38-12/41/44,True
3114-9261*-25/,31*14-92*61-25,False
708250/-72+44-,70-14/50+72-44,True
2421/39*91+35+,24/21*39+50+35,False
6043/61*56*45+,60/14*61*56+45,True
91426*26*-4+,30-4*26*26+4,True
444564*+2027*-,44+45*64-20*27,False
8974+7663/29*-,75*74-76/63*29,False
495*12/49/29*,4*95/12/32*29,False
892782*+4671*-,89+27*82-46*71,True
3336-91-4316*+,33-36-91+43*16,True
1182/77+5232*/,11/82+77-52*32,False
6838*38+9757/-,68*38+38-60/23,False
227164/15*67*-,22-71/64*15*67,False
8725+7268*14/-,87+25-58*68/14,True
5115/8-87+47+,51/15-8+68+47,False
681*96/40-34+,68*62/96-40+36,False
5441+3076*60//,54+41+30*76*60,False
3042+92+7672/-,30+42+92-76/72,True
181982*86/72*-,18-19*82/86*4,True
4071*38/97/33/,40*71/38/97/33,True
71061*8*78*-,50-10*61*8*78,False
483426-68/+25-,48+34/26/6-25,False
6242/2668*95/-,62/42-26*68/95,True
933470--86+5+,93-71/70+86+5,False
7933-4569/-95-,79-33-45/69-95,True
5582-859*-48+,55-82-85*85+48,True
2558/88*82+83+,25/58*2/82+83,False
