Original,Perturbed,Is_Equivalent
124838/+7872*+61-66+22-43-45+,12+48/38+78*72-61+66-22-69+45,True
2299*12/42/40-12+43+26+2962*-,22*99/12/42-40+12+43+26-29*62,True
77889/+5+67-46+1110/84*+6+,77+8/89+5-67+46+11/10*84+6,True
217545/79*-89+40-5686*34+-44+,21-75/45*79+89-40-56*86*34+44,False
467151/+65-99-8723/-29*57-73-,46+71/51-65-99-87/23-29-57-73,False
7134*99/11-70+5379*81/95*99/-,71*34/99-11+70+53*79/52*95/99,False
785489/-71-18-2747/+3130/86*-,78-54/89-71+14+27/47-31/30*86,False
6470*9336/93/-31-85-95+85+81+,64*70-16/36/93-31-85+95+85+81,False
771*8/5389/27*36*28*6*+94+,77*1/8+53/89/27*36*28*6+94,False
3819+1169*-4239/35*73*-70+57-,38+19-11*69-42/39*35*73+79-57,False
7740+71+39-919--246*46/+53-,77+40+71-39-7*9+24*6/46-53,False
7786/84*4*16/4+79+87+779*-,77/86*84*4/16+4+79+87-7*79,True
4211-71+64+25+58-24-73-4997*-,42-11+71+64+25-58-24-73-49*97,True
7586*65*2/74/9+21-49+3889*+,75*86*65/2/74+9-21+49+38*89,True
398665*3*90*-3168*-7696*91/+,39-86*65/3*90-31*10+76*96/91,False
4141/38*83-79+2172*52*+449/+,41/41*38-83+79+21*72*52+74/49,False
6887*84/3*71*68/1727*66*35/-,68*87/84*3*71/68-17*32*66/35,True
860/56/10/8376/+807/60/-70+,8/60/56/5+83/76-80/7/60+70,False
8884/50+88+76+51-19+16+77-94-,88/84+50+88+76-51+19+16-77-94,True
466195/-45-94-7550*+297/33/+,46-61/95-45-94+75*50+2/97/33,True
144*12*60*6*4884*+9-56+97+,14*4*12*60*6+48*84-9+16+97,False
3857/72*54/38/79-64-86+9987*-,38/57*40/54/38-79-64+86+99*87,False
7717/8474*-46-4947/-4156*31/-,77/17-80*74-46-49/47-41*56/31,False
9616/63*98/6674*86/56*+9647*-,96/16*63/98+66*74/86/28-96*47,False
445/8071/-77+9626/+44+3724*-,44/5-80/71+77+96/26+44-54*24,True
3348*8-4693/57*49*1*-10-37+,33*48-8-46/93*57*49*1-10+37,True
8824/5915/96*47*52/-30+27-88-,88/24-59/28*96*47/52+30-27-88,False
2098-62+7251*-93+7997*31/+63-,20-98+62-72*51+93+79*7/31-63,False
2411+3050/+34+9+96-55-55+60-,24+11+30/50+34+9-96-55+55-60,False
8428*8693/+7579*20*-21+2335/-,84*28+86/93-75*79*20+21-23/35,True
7861*837*+6818/93*+5473/15/*,78*61+8*37+68/18*93+54/73/15,False
7247/51-62-97+7911*67/+376//,72/47-51-40+97+79*11/67-37/6,False
6126+2594--2164*+9153/+73+63-,61+26-25*94+21*64+91/53+73-63,True
