Original,Perturbed,Is_Equivalent
86-94-11-95*54/+-100-24/-589/-53*-50--3878*+38+-25+,86--94+11*-95/54--100/-24-5/89*-53-50+-38*78+38+-25,True
-171-37/+-3--6865*+-60-92*-81*-17*-38+5371/-79+24+,-1+71/-37--3+-68*65--60*-92*-81*-17+38-53/71+79+24,True
40-9759*+-17--42+12-72*-88-4*98*-3725/--61-87/+84-,-9+-97*59+-17+-42-12*-72-88*-4*98-37/25+-61/-87-84,False
79-94-79-2*29/96*6*-1-50*+-52+-4688/-19*+-29+-69-,79--94-79*-2/29*96*6+1*-50+-52+-46/88*-19+-29--69,True
-688*-94/12/35*-98+-76-50*-59-89*-63-+-6442/+63-78*+,-6*88/-94/12*35+-98--76*-50+59*-89/-63+-64/42+63*-78,True
2666-61*-54-5277*60/-68/54*16*+7914*+55+-8064*+,26-66*-96-54+52*77/60/-68*-14*16+79*14+55+-80*64,False
91-77-97*-69*+94+-92-79/50/39/+-510/-17*49*+5648*+,91+-77*-97*-69+94+-92/-79/50/39+-5/10*33*49+56*48,False
-9-98*42*73/-9--1711*-9052/-6--77**-5360/-4591*-,-9*-98*42/73--9--17*11-90/52/-6*-77--53/60-45*91,False
-70-28*36*-47+-34+35+5464/+73-91-40--58-2*+8-87/+,-70*-28*36+-47+-34+35+54/64-73-91-40+-58*-2+8/-87,True
4313--51-5129/97*86*91*-96--54+97+6+-4510*-65/+,43-13--51-51/29*97*86*91-96+22+97+-35+-45*10/-65,False
2648+-9946/+318*+-24--50--68+73+-11/-83+417*-15*-,26+48+-99/46+3*18--24--50+-68+73--11+-83-4*17*-15,False
-5535/-17-9*19/-70--85+39--1660*55*-19*--32-47-27-,-55/35--17*-9/19-70+-85-39--16/60*90*-19--32-47-27,False
-72-37--73-22-94/+7154*2*/-38-1195*-33*+5341*54/+,-72--37--73+22/-94+71*54*2--38+11*95*-33+53*47/54,False
-34-87-27-27*+-66-60//-56-41/-30*--38+26-2072/-7*+-86+,-34+-87/-27*27--66/-60--56/-41*-30+-38-26+20/72*-7+-86,False
19-52*-51-27*--42-81*-12/-14-74*92*+-1997/+-3328*-67/-,19*-52--51*-27--42*-81/-12+14*-74*92+-19/97--33*28/-67,True
8-16/45/72*68-82/-38/-44/40*+4053/39*-61--44-75*-,8/-16/45*72+68/-82/-38/-44*40-40/53*39-61--44*-75,True
318*66/12-19-71*85*-99+-34-15*-87*+7--44-528/-,31*8/66-12-19*-71*85+99+-34*-15*-87-7--44-52/8,True
31-77*-77*-11*-34/-18/-44/29/19-68//-93+-30+-1778/--77-,31*-77*-77*-11/-34/-18/-44/29-19/-68+-93+-30--17/78--77,False
-1995-43-74*+44--15-81-89*--94+9--3973/95/+-54-17*+,-19-95+43*-74-44--15-81*-89+-94-9+-39/73/95+-54*-17,True
8098/-47-64*-64/+83-42*+-89+-64-45*17**45-27--10--55-,80/98+-47*-64/-64+83*-42+-89+-64*-45*17-45-27--10--55,True
-66-22*-70-943/-9621/-92*+-6-221/-74+75+-82-50*+,-66*-22--70-9/43+96/21*-92--6-22/1+74+75+-82*-50,True
9425-100*-45/79*-41/-83*+-70--37--7954*-32--78--81+97-,94+25*-100/-45*79/-41/-83--70--37--79*54-32--78+-81-97,True
-788/-61-49*14*--35-6/+24-3373/83*-88/+-4071/-56+,-7/88--61*-49*14+-35/-6-24+33/73*83/-88--40/71+56,True
56-40+56-57/--83+-5-12/+-18+-85-46*-97*--82-43/--38-4*-,56+-40-56/-57+-83+-5/-12+-18--57*-46*-97--82/-43--38*-4,True
5654+7657/-81-18-93*-96-27-22/35/+-75+-29-28-74+,56+54-76/57-81-18*-93-96+27/-22/35+-75--29+28+74,True
-23-68*28/-983*-33*52/1/25*+-46-984/--36--34-92*-,-23*-68/28+-98*3*-33/52/1*25--46-98/4--36--34*-92,False
1944*-30-77/-74/-59*+2978*91*29/+94-97*-75*-84/59*-,19*44+-30/-77/-74*-59+29*78*91/29-94*-97*-75/-84*59,True
2948/73*-10*-5*46*-76*-43+-4318/13*+2664*-5*-30-,29/48*73*-10*-5*46*-76+-43+-43/18*13-26*64*-5-30,True
725+-7237*55/87/-63/-21*87*-45*-5*99*90/+90-57/+,72+5+-72*37/55/87/-63*53*87*-45*-5*99/90+90/-57,False
64-25/18--80-26+-45-83/-74*+-75-88*-97/+84+32-82*28/-,64/-25-18--80+26+-45/-83*-74+-75*-88/-97+84--83*-82/28,True
89-50*62-33*--100--85-97*+-9-90-67-51*59/35*--15-60*-,89*-50-62*-33--100+-85*-97+-9-90-67*-51/59*35--15*-60,True
-216350/--31-49/6/-76*-56/*-72--4084*-76-26/42/--82+,-21-63/50+-31/-49/6*-76/-56--72--40*84-76/-26/42+-57,False
79-83-88*-84/-63/15/3/83/--97-59/-95/-34*67*97*-54/+,79--83*-88/-84/-63/-46/3/83+-97/-59/-95*-34*67*97/-54,False
-59-9360/54*-18*-74*+32+-88-58+88-79*+-66--2-88*+85-,-59--93/60*54*-18*-74+32--88+58+88*-79--66+-2*-88-2,False
2364/58/-46/60+-93+-49-61-84+79*-34*11/-84--62-98/-,23/64/58/-46+60+-93--49-61/-84*79*-34/11-84--62/-98,False
-8-2*55--7168*+-77-4*+-93--17-54*-54/--42--74--29+-48-,-8*-2-55+-71*68+-77*30--93--17*-54/-54--42--74+-29--48,False
48-10*-16*35+15+80-98*--37+73+643/-16--4124*+-21+,48*-10*-16+35+15-80*-98+-37+73-6/43-16+-41*5+-21,True
8083*-4124/42/-92-6/--8378*+66-88*--36--21+-62-78+,80*83--41/24/42-92/-6+-83*78-66*-88--36+-21--62+78,True
-98-79*7955*--50+-65+47-1530*--83--33-62*79/+69--96+,-98*-79-79/55+-50+-65-47-15/30--83+-33*-62/79-69+-96,False
