Original,Perturbed,Is_Equivalent
- 2.46 - 4.51 / 0.08 + 9.55 + 8.46 + * * 3.07 / 3.64 7.52 - +,5.94 - ( 2.46 - 4.51 - 0.08 / 9.55 + 8.46 + 5.27 + 3.07 * 3.64 / 7.52 ),False
- 0.47 2 ^ + 0.56 1 ^ * 0.42 / 0.71 9.13 - 2.45 - 4.96 + 1.16,0.47 - 0.56 ^ 2 + 1.16 ^ 1 - ( 0.42 * 0.71 / 9.13 ) + ( 4.96 - ( 2.45 ) ),True
/ 5.8 / 3.62 1 ^ - 0.39 * 5.51 * ^ / 5.07 5.09 - + 7.05 3.16,( 5.8 / 3.62 / 0.39 ^ 1 - 7.05 - ( 5.51 * 5.89 * 5.07 / 5.09 ) + 3.16 ),True
+ 7.22 + 5.24 * 4.42 / 4.28 2 ^ + 8.74 * 2.09 / 5.32 2.89 + /,7.22 + 5.24 + 4.42 * 4.28 / 8.74 ^ 2 + 2.09 * 8.06 + ( 5.32 / 2.89 ),False
1 ^ / 0.37 9.21 1 ^ * + 8.95 1 ^ - 8.56 + 3.54 8.02 + 7.48,( 7.48 ^ 1 + ( 8.95 * ( 0.37 / 9.21 ) ^ 1 + 8.56 ^ 1 - 3.54 + 8.02 ) ),True
* 3.03 1 ^ - 9.15 2 ^ - 9.71 1 ^ - 5.19 + 6.01 + 0.87 0.33,3.03 * 9.15 ^ 1 - 9.71 ^ 2 - 5.19 ^ 1 - 6.01 + 0.87 + 0.33,True
+ 4.54 - 4.64 - 4.75 * 0.34 - 1.23 * 9.45 - 7.0 * 3.31 - 8.41 6.87,( 4.54 + 4.64 - 4.75 - 0.34 * 1.23 - 9.45 * 7.0 - 3.31 * 8.41 - 6.87 ),True
- 4.82 - / * 8.92 / 9.96 2 ^ - 7.1 1.84 ^ 5.56 + 4.65 / 8.89,4.82 - 5.55 - 8.92 * 9.96 / 7.1 ^ 2 - 8.89 / ( 4.65 + ( 5.56 ^ 1 ) ),False
2 ^ - 4.6 + 5.04 1 ^ - 6.15 1.02 ^ - 4.64 * 4.28 1.37 / 2.95,4.6 ^ 2 - 5.04 + 6.15 ^ 1 - 4.64 ^ 1 - 2.95 / ( 4.28 * 1.37 ),False
- * + 0.84 2 ^ - 7.06 * 1.49 - 9.41 - 0.45 - 9.74 2 ^ 8.29,7.93 - 0.84 + 7.06 ^ 2 - 1.49 * 9.41 - 0.45 - 9.74 - 8.29 ^ 2,False
1 ^ * 7.7 + 1.14 7.89 - - 6.98 - 6.35 / 0.35 1 ^ + 2.11 2.96,7.7 ^ 1 + 6.98 - ( 1.14 + 7.89 ) - 6.35 - 0.35 / 2.11 ^ 1 + 2.96,True
