Original,Perturbed,Is_Equivalent
/43.912^+58.79-17.58**-77.211^+-43.142^--75.06*-61.5+54.09/55.67-90.43--6.64--83.44,(-77.21*(43.91/58.79^2--17.58)/-83.44-(-43.14^1+-6.64-(-75.06^2--61.5*54.09+55.67/-90.43))),False
+16.831^--71.88/-48.08*-91.72-44.52+*-22.23--19.23+-22.65*86.04*79.871^--93.42-77.43--67.35,16.83+-67.35+(-71.88^1--48.08/-91.72*-44.52)-(-22.23*-19.23--22.65+86.04*79.87*-93.42^1--77.43),True
*70.39+-21.432^--41.49-88.431^--90.892^+-23.37/-83.06--/27.931^--13.22-60.69,(70.39*-21.43+90.89-(-41.49^2--88.43)^1--23.37^2+-83.06/43.71-27.93/-13.22^1--60.69),True
+-19.032^-85.34/-58.78*27.6/71.94-29.91*-26.62-88.69*-12.5466.44/-8.5+60.28-29.51+-68.05,-19.03+85.34^2--58.78/27.6*8.5-(71.94/29.91--26.62*88.69--12.54*66.44)/60.28+-68.05+(-29.51),True
2^+-75.04-91.7/68.38/-19.86+1.84--98.752++16.18-32.1---51.82/68.87+-55.681^-87.15,-75.04^2+91.7-68.38/-19.86/1.84+-98.75--51.82-(16.18^2+-32.1)-68.87/-55.68+-87.15^1,True
/-18.83*-89.92^--6.57--52.251^-65.532^--24.8--81.05+-47.63*-80.19-^-91.68+55.07,-18.83/-89.9*55.07+(-6.57^2--52.25-65.53^1--24.8^2--81.05--47.63+-80.19*16.99--91.68),True
/-27.19*-75.73+-3.71-92.86/13.78+-78.08*-34.46-38.16*/73.41^+55.0--89.9850.68/*-9.19-20.91,-27.19/-75.73*-3.71+92.86-13.78/73.4*(-78.08+-34.46*-38.16)/55.0^1+-9.19*(-89.98-50.68)*-20.91,True
+-10.711^+92.98--29.0*60.761^-12.28++/73.76-37.07/-57.98/41.29/-19.03--54.5965.18,-10.71+92.98^1+-29.0-60.76*12.28^1--88.05+73.76/37.07--57.98/41.29/-19.03/-54.59-65.18,False
+69.45+77.95+-83.84*-50.661^+-46.13-23.04/-52.5/43.842^-8.85--68.43-52.79*--96.68-83.11,(69.45+77.95+-83.84+-50.66*52.5^1-(-46.13+-23.04)/43.84/8.85^2--68.43--52.79)*-96.68--83.11,True
-46.04+-16.39+92.53*11.73-44.07/21.261^+-/-73.92^--44.96--3.63*96.31+-5.04-73.08,46.04--16.39+92.53+11.73*44.07-21.26/57.34^1+-73.9/-44.96^2--3.63-96.31*-5.04+-73.08,False
