Original,Perturbed,Is_Equivalent
*33.67+-56.7+86.26-8.72/-69.96-41.81+34.23--95.27+33.37/-6.27-13.19--0.33-31.23*12.53/-16.17,(33.67*-56.7+86.26+8.72--16.17/(-69.96/41.81-34.23+-95.27-33.37+-6.27/13.19-12.53*(-0.33--31.23))),True
/-17.5540.98-+-34.25+51.65*-86.07*-17.67/58.09*11.63/-7.31*-97.91/-14.022.94/-96.91/53.6122.93,(-17.55/40.98)--34.25+51.65+-86.07*-17.67*58.09/11.63/-7.31/96.91/(-97.91*-14.02/2.94)-53.61/22.93,False
*24.59-85.41+-98.56-50.81/50.53/88.76+-70.72*91.61+-33.01+55.09/17.05--91.54-10.1*-76.15/-26.13,24.59*85.41--98.56+50.81-50.53/-26.13*(-76.15*(88.76/-70.72+91.61*-33.01+55.09+17.05/-91.54--10.1)),False
/98.78+69.71*-41.59+-79.89--56.05--90.95/45.31+-16.62+54.52*23.0116.41-+55.97*62.4/*56.45,98.78/69.71+-41.59*-79.89+-56.05--90.95-56.45*(45.31/-16.62+55.97-(54.52+23.01*16.41)+62.4*22.1),False
/46.2/54.65-77.43--42.6355.17+-48.11--52.13+-13.12+51.25*-96.04/-96.1112.57+70.74/21.69+-23.85,46.2/54.65/48.11+(77.43--42.63-55.17)--52.13--23.85+(-13.12+21.69/(51.25+-96.04*70.74+(-96.11/12.57))),True
+42.32*-62.1*-87.0--10.73/99.57*-72.23-54.25+13.0/-43.3--86.1839.05++-19.77+88.17+63.8532.28,42.32+-62.1*-87.0*-10.73-99.57/-72.23*54.25-13.0+-43.3/-19.77+(-86.18-39.05)+88.17+63.85+32.28,True
-90.45--55.46-97.11*63.37+-82.11+6.02*-29.76+-14.8/58.81/-43.99+51.02-15.09++17.8294.91/12.33,90.45--55.46-97.11-63.37*-82.11+6.02+-29.76*-14.8+12.33/(58.81/17.82+(-43.99/51.02+-15.09)+94.91),True
-26.7*38.0811.31/-6.79+16.27+-79.51*-20.36+18.36*1.0-46.85-57.15/-37.0342.58+-54.28-87.38,87.38+(26.7-6.79/(38.08*11.31)-16.27+-79.51+-20.36*37.03-(18.36*1.0*46.85--57.15)/42.58)-(-54.28),True
--95.83*-65.94*19.75/-2.36*16.2564.63+--54.95--54.99/-89.13-15.94/68.56*-24.87*77.43*-57.3*57.3,57.3*(-95.83--65.94*-57.3*(19.75*77.43*(-24.87*(-2.36/-54.95+(16.25*64.63)--54.99--89.13/68.56/(-15.94))))),True
-95.62+-90.01-72.47/-34.64*-61.31+-80.2126.44--96.5616.77*/-66.74/44.94-30.99+-16.07-6.14,-66.74*(95.62--90.01+72.47-96.56/(80.21+(-34.64/-97.13*61.31)-26.44)-16.77)/44.94/30.99--16.07+-6.14,False
/-14.7/24.76*+/17.63*-47.51/64.31/95.06-12.37*-29.28+-83.13*-65.56*29.1292.89-28.52*-94.46,-14.7/24.76/66.8*-94.46/(17.63/-47.51*64.31/95.06/12.37--29.28*28.52-(-83.13+-65.56*29.12*92.89)),False
-54.6*-10.87/-84.074.57+--27.24+//28.24--55.63--66.65-90.06*+-29.6/78.62--13.4457.2/-99.75,54.6--10.87*-99.75/(-27.24+(-84.0/74.57)-30.59)/(-29.6*(28.24/-55.63--66.65--90.06)+78.62/-13.44-57.2),False
/18.67-55.43//*/-88.45/-76.84/52.71*24.0--85.21*23.81*-75.23/-73.2185.43*+-74.36+42.144.34,(18.67/-55.43)/-74.36+(58.89/-88.45/-76.84/52.71/24.0*-85.21-23.81*-75.23*-73.21/85.43)*42.14+4.34,False
+82.15+-95.88--73.88*-46.56*40.99/66.67/62.21*58.58+-43.33/17.93-66.44-*3.14*-46.26--83.65,82.15+-95.88+-73.88--46.56*40.99*66.67/-83.65-(62.21/58.58*-43.33+17.93/66.44--46.26*(-6.78-3.14)),True
*16.48+51.26+17.03/-31.79*35.71/-9.14--81.35/70.46*85.53-4.64--24.9+88.28+-38.6345.76+-78.44,16.48*51.26+17.03+-31.79/35.71*-9.14/-81.35-70.46/85.53*4.64--24.9--78.44+(88.28+-38.63+45.76),True
