Original,Perturbed,Is_Equivalent
*84.3-62.93--+-5.46-94.41*88.2733.54--36.7/-87.31*68.37,84.3*68.37*(62.93-27.57--87.31/(-5.46+94.41--36.7-(88.27*33.54))),False
--44.49*55.71/-18.12/65.08-33.32*/-76.71--6.78/86.76*23.56-81.52,-76.71*(-44.49-55.71*-18.12/65.08/-33.32)/-6.78-86.76/23.56*-81.52,True
/36.85+-17.84/-64.74*42.35--73.19+21.36+-24.69*-92.5131.45+57.57,36.85/-17.84+-64.74/42.35*57.57+(-73.19-21.36+-24.69+-92.51*31.45),True
--81.98-72.57+65.45-49.42--68.14+-27.69--7.77--69.5-10.12*-35.43,(-81.98-72.57-65.45+-49.42)-68.14+-27.69+-7.77--69.5+-35.43*(-10.12),False
--16.05*-57.87-84.92*-82.02+44.33-73.9*-/53.39-39.24*87.33,-16.05--57.87*87.33*(84.92--82.02*44.33/73.9--20.32*53.39/-39.24),False
-76.22++//*-82.26*-74.1-51.35/+-3.1-76.89-30.9-96.93,76.22-96.93-(-53.91+85.77/-3.1/(-82.26*-74.1*-51.35)+76.89--30.9),False
/86.99/-67.41+18.85--25.32-94.59**94.1-5.41-1.0531.23+90.92,90.92+(94.1-(86.99/-67.41/18.85*-25.32--94.59)*5.41-1.05-31.23),False
*17.43*-78.23--78.16-82.18*+-27.1/-93.98+14.93+-76.0/18.98,17.43*18.98*(-78.23*-78.16--82.18)/(-27.1+-93.98+14.93+-85.87+76.0),False
/-94.32/-1.17+-42.24/16.34-43.69*--38.62-92.38-18.56+4.65*-8.78,-94.32/-38.62*(-1.17/-42.24+16.34/-43.69)--8.78*(4.65+(92.38--18.56)),True
+93.16*55.5482.66+32.91+-2.28+-52.75/22.449.34-34.44*+44.08,(44.08+(93.16+55.54*82.66)*(32.91*34.44-(-2.28+-52.75+22.4/49.34))),False
+-57.36-55.7343.76-+28.68*10.5+67.89+-0.28/-23.73/18.35-19.32,-57.36+28.68-(55.73-43.76)+10.5*67.89+-0.28+-23.73/18.35*-19.32,True
/9.48/-*81.2*72.28/-6.32*55.19+59.1223.25*-24.9439.05,9.48/19.87/81.2*72.28*-6.32+55.19*24.94-(59.12+23.25)*39.05,False
/-97.06*-79.48/51.54+61.41/-55.7778.81+-89.32+-50.17*-34.88-89.81,-97.06/-79.48*89.32+(51.54/61.41+-55.77/78.81)--50.17+-34.88*-89.81,True
*-59.71--57.55+75.0-22.25--18.59--85.33*-73.47+55.12-37.48/24.37,-59.71*18.59-(-57.55-75.0+-22.25)--85.33--73.47*24.37/(55.12+-37.48),False
--17.47--11.75++--88.08-57.07**-89.47-15.19*-6.6523.41--4.87,(-17.47--11.75--46.96+-89.47*(-88.08--57.07)*-4.87-(15.19--6.65*23.41)),True
+-83.28--94.08/12.48+18.19-3.46**--11.98-33.3-42.63*39.23,-83.28--94.08-12.48/18.19+3.46--56.16*-11.98-39.23*(33.3--42.63),False
--87.86+64.7+-26.6+-21.9384.51/+-86.85-56.9733.15*61.51--1.3,(-1.3-(61.51/(-87.86-64.7+-26.6+-21.93+84.51)*(-86.85+56.97-33.15))),True
+90.26--47.69--44.74-76.695.56*+-45.82/-12.1-83.62**-69.69-91.3,90.26+-45.82+(-47.69--44.74-76.69-5.56)*-69.69*(-12.1/-83.62)*-91.3,True
--79.33+3.85--13.79+-22.97-12.47*-37.94/*+48.27*-62.2-76.04,-79.33-3.85+-13.79-37.94*(-22.97+-12.47)--91.56/48.27+-62.2*-76.04,True
/26.98*87.4527.37+-63.47-98.5985.77+--92.97*79.39+6.72*,63.47+(26.98/87.45*27.37)--92.97-(98.59-85.77)-79.39*6.72+-41.92,False
*67.25*-29.75/68.0--7.56*10.28--12.13/17.81+-/-89.9587.28,67.25*-29.75*68.0/-7.56-10.28+-12.13-17.81/73.65+-89.95/87.28,False
/50.69/22.72--17.38--57.24*-28.9/-45.24-9.08/19.77-6.36/-98.12,50.69/22.72/-17.38/-57.24--98.12/(-28.9*-45.24/9.08-19.77/-6.36),True
*-82.37/-15.76-30.02/-42.37*-74.65*-43.03--9.88/-67.76-97.75/-22.62,-82.37*-15.76/30.02--42.37/-22.62/(-74.65*-43.03+-9.88--67.76/-97.75),False
--69.29-25.49/*+69.04*43.81-90.42/-25.82/5.74+-81.06-82.94,-69.29-25.82-(69.04*(25.49--60.69)+43.81*-90.42)/5.74/-81.06+-82.94,False
*-11.7/12.876.42/--43.19*-74.29-97.76-54.32*50.11/-30.85-3.39,-43.19/(-11.7*12.87/6.42)--74.29*3.39-(-30.85*(97.76--54.32)/(50.11)),True
/-28.16/-96.33*91.34+91.98/63.91--71.66/-99.2-78.55*/-1.77,-28.16/-96.33/91.34*91.98+63.91/-71.66--99.2/-1.77/(78.55-56.51),True
/68.71-60.89+-63.17*-*81.48*39.93+52.18--83.67/-30.23-75.71,68.71/60.89--63.17+37.61*81.48*39.93*52.18+-83.67--30.23/-75.71,True
+-16.9+46.54*49.08/78.46/-68.54/-45.22-89.71-35.83--68.97*0.49,-16.9+46.54+49.08*78.46/-68.54/0.49*(-45.22/89.71--68.97-(-35.83)),True
--39.36/**-29.15+13.09*-39.66/-98.2--79.155.31*75.15--,-39.36-22.95/-29.15*-65.15-(13.09+75.15*(-39.66*-98.2/-79.15-5.31)),False
*52.9--55.55/-79.08--12.54--0.89/67.86-9.58//-73.92/47.7395.85,52.9*-55.55--79.08/-12.54--73.92/(-0.89-67.86/-9.58)/47.73*95.85,True
*-44.9210.47*+37.67+-77.36+65.88*-67.87*---19.85*-26.33-81.45,37.67+(-44.92*10.47)*-77.36-65.88+-67.87*-81.95*-19.85--26.33*-81.45,False
-3.78+-10.52*48.66-31.11-+31.93--33.41*+-46.3177.39*70.95,31.93-(3.78--10.52+48.66*-31.11)+70.95*(-33.41-12.45*46.31-77.39),False
