Original,Perturbed,Is_Equivalent
81-85-46*61/--97-52/-30//56-48+-86-,81--85*-46/61--97/-52/-30-56+48--86,False
71-27-5417*14/+16--50--237*+-11-,71--27+(54*17/14)-16--50+-2*37--11,False
9117-66+/47-40/+-89-10*-25/29*-42-,91/(17+-66)+47/-40-47*-10/-25*29-42,False
-99-14-94--29-17*46/-66/-74/-84*-90/-,-99--14-94--7*-17/46/-66/-74*-84/-79,False
72-89/49/50-28/5634+-9-*-76*-11+,72/-89/49-50/-28*(56+34--9)*-76+(11),True
-309-31+42+63-58/+1681/-77+-37+,-30-9+-93+42+(63/-58)-16/81+77+-37,True
13-63-11--97--99++-4098*-62/-9348//+,13+(-63--11--97+-99)+(-40*98/-62/(-93/(48))),True
51-66-53-47/72-78/14-5032/2*--***,51*(-66*(-53/-47*(72/-78-(14--50/32*2)))),True
2423*-2*19+7665*17/45/+-2014-+,24*23*-2+19+68*65/17/45+(23-(14)),False
-99-99-14/-6875/-/-72-21/--7412/55/+,-99/(-99/-14--68/75)--72/-21+-74/12/55,True
653-12*+27-55*71*+26+12-94*-60*-,6+53*-12+27*-55*71+26-12*-94*-60,True
32-63/17/2/-713136/++-51-73*-1*-,(32/-97/17)/2+(-71+31/-41)--51*-73*-1,False
-31-4377*32--75596727/28*-/-*-,-31-(-4*(37*7-32-(-75/(59-67/27*28)))),True
-25-12/40*52/72-6814-43-72*+*-86/-,-25/-12*40/52-72-(68*(14+-43*-72)/(-86)),True
41-894*-40/13*-66-68-*--7+-55-68/-,41--8*94/-40*13*(-66--68)+-7--55/-68,True
-5966-349*-75/-26*+-40-56/76/-57/--,28+(66+-3*49/-75*-26--40/-56/76/-57),False
998-3028*-2+-1-94-5769/-51**-/-*,(99*(8--30*28*-2/(-1-95*(-57/69*-51)))),False
-4995+95+-404180/-59*+380/-9*-+,-49+95+95+(95+41/80*-59-3/80*(-9)),True
-16-695+8727+69+-67-74*-22*+71++-,-16-(-69+5+(87+27+69+-67*-74*-22+71)),True
15-8/75-27-13--58-62/-4415/-28+*+-,(15/13)-75-(27--13+(-58/-62*(-44/15+-28))),False
-10-45/54-6043/--71+-36+-380*25-+,(-10/-45-54-60/43)+-71+-36+(76*80--8),False
-70-54*-370/-26/23*-9/4461/-28**/,-70*-54/(-3*70/-26*23/-9*(44/61*-28)),True
-25864/17+388191-33+60-21+*-*,-25*(86/-21+17-(38*(81-91+33-60+21))),False
62-95+83-26/--32-52--54-89/98*+2+,62+-95-83/-26--32--41+83/-89*98+2,False
8432*-2-95*77*/70/-45/-46+40-92+,88*32/(-2*-95*77)/70/-45+-46-40+92,True
-76-10/79-43/-3017*96-23-7371+*-/-+,(-76/-10+79/-43/(-30*17/(96--23*(-73+(71))))),True
7452-72/+7666-1*+4225-70/3//-+,74+52/-72+(76+66*-1-42/(25/-79/3)),True
54-73*-35+44--2522-12*-21*--39+-23+,54*-73+-35-44--25*22*12*-21+-39+(-23),False
-6280*-58/40/47+-26-76*+-79-94/-68/-,-62*80/83/40+26+-26*-76--79/-94/-68,False
-3786*31-27*+1370/36*+1994*-25*+,-37*86+31*-27+13/70*36+19*-38*-25,True
-75-74*-48/-86+96-54*+-7473*--47*68-,(-75*-74/-48+-86+96*-54--74*62--47-68),False
-92-3974-30+89-30-67/-/-35+-49*-45+,-92/(-39-74+30-89-30/-53)/-35*-49+-45,False
-33-86*20-52*-6/79/+-40-6/+93-42--,-33*-86+20*-52/-6/79+-40/-6-(93-(-42)),False
-421--9898---32-5*15+-4252/-79-/-,-4-21-(-98-98)-(-32*-5)*15/(-42/52-(-79)),False
8952+9611/-4314-28/-37--76-54*--*-,89+65-(96/11*(-43-(14/-28--37-30*-54))),False
-8411*-75--49--42-58/-9*85*68/-6+,-84*11--75--85-(-42/-58*-9)*85/68+6,False
