Original,Perturbed,Is_Equivalent
+0.6+5.42*8.52/8.669.31,9.318.668.525.420.6++*/,True
/*-7.79-4.45/7.635.96,5.967.634.457.795.54/--/,False
/0.95+5.1*3.94*0.999.6,9.60.993.945.10.95/+**,True
/0.16+8.34-4.48-0.659.81,9.810.654.488.340.16/+--,True
/6.03+0.56+7.18*9.584.3,4.39.587.180.566.03/++*,True
*8.49*8.84-6.62+0.856.51,6.510.856.628.848.49**-+,True
+3.93+8.41-7.98/6.27-,0.576.277.988.413.93++-/,False
/2.05-+*8.56+1.428.85,8.851.428.565.332.05/-*+,False
-6.63-7.36+2.42-9.527.6,7.69.522.427.366.63--+-,True
*0.32-9.32/2.28*3.662.66,2.663.662.289.320.32*-/*,True
-9.84/2.2/--7.344.08,4.087.343.492.29.84-//-,False
*0.5*2.15*7.76+5.882.73,2.735.887.762.150.5***+,False
+7.98*0.5/6.54-7.014.17,4.177.016.540.57.98+*/-,True
*/*6.5/8.95*6.188.99,8.996.188.956.59.6**/*,False
*7.28-2.17+3.96/6.035.34,5.346.033.962.177.28*-+/,True
-9.01+-*9.08-6.812.82,2.826.819.084.869.01-+*-,False
*0.97-7.75+8.08/0.176.74,6.740.178.087.750.97*-*/,False
*7.84-5.86+5.02+7.746.73,6.737.745.025.867.84*-++,True
+3.56/0.75/7.63/7.925.86,5.867.927.630.753.56+///,True
+7.75+7.98-2.05/9.782.24,2.249.782.057.987.75++-/,True
*9.47+3.67*//4.991.83,1.834.996.433.679.47*+*/,False
+9.6+0.16-6.19-0.281.85,1.850.286.190.169.6++--,True
-9.76/2.37/4.56/0.313.96,3.960.314.562.379.76-///,True
/9.9-2.95-4.31+4.377.75,7.754.374.312.959.9/--+,True
/7.96/4.38-7.35/0.227.45,7.450.227.354.387.96//-/,False
+4.12-5.55+7.3/4.353.35,3.354.357.35.554.12+-+/,True
*6.65/-*3.8*4.643.05,3.054.643.86.766.65*/**,False
-4.12-7.5+1.03+7.956.68,6.687.951.037.54.12--++,True
-8.16-8.08/1.6*3.741.17,1.173.741.68.088.16-*/*,False
/7.89/5.87/3.99-0.374.41,4.410.373.995.877.89///-,True
*0.71+0.52-2.02++3.18,3.183.262.020.520.71*+-+,False
/1.86/2.13*0.43-9.473.37,3.379.470.432.131.86//*-,True
*7.41+3.86+4.75*4.753.14,3.144.754.753.867.41*++*,True
*6.0/4.22***0.825.7,5.70.825.644.226.0*/**,False
*5.06*2.14-8.0/1.377.12,7.121.378.02.145.06**-/,True
/4.31-*/4.48/4.371.07,1.074.374.480.494.31/-//,False
+9.77**+8.93*1.947.67,7.671.948.939.379.77+*+*,False
+5.15+0.76-3.86-5.854.56,4.565.853.860.765.15++--,True
/5.28/4.62/2.25-3.377.54,7.543.372.254.625.28///-,True
