Original,Perturbed,Is_Equivalent
*236.02--294.44-688.41/-972.45892.46,892.46-972.45688.41-294.44236.02*--/,True
-629.05*290.78/171.41*-335.72-699.0,-699.0-335.72171.41290.78629.05**/*,False
+-337.89+350.13++--200.26655.83,655.83-200.2611.34350.13-337.89+++-,False
+-67.3-392.29/979.55-750.81-910.52,-910.52750.81979.55392.29-67.3+-/-,True
/-771.4/302.99--378.62+581.15-100.16,-100.16581.15-378.62302.99-771.4//-+,True
-788.96/609.84+-272.33+387.71331.49,331.49387.71-272.33609.84788.96-/++,True
/577.38/-187.83/156.3+25.43-557.33,-557.3325.43156.3-187.83577.38/+/+,False
--670.19*-338.52/332.84*334.41-88.14,-88.14334.41332.84-338.52-670.19-*/*,True
/-404.82/199.71+-868.05*632.97-928.95,-928.95632.97-868.05199.71-404.82//+*,True
+-275.93+378.48-708.59-983.85-6.17,-6.17983.85708.59378.48-275.93++--,True
/788.6--/-542.84-537.02608.99,608.99537.02-542.84733.92788.6/-/-,False
*-125.51/-48.66-/-553.2-71.33,-71.33553.2651.03-48.66-125.51*/--,False
+789.16/*-173.61*766.64-892.21,-892.21766.64173.61868.53789.16+/-*,False
+-448.88*/+683.25+285.86600.07,600.07285.86683.2558.65-448.88+*++,False
-28.0/-758.02/-683.42/203.22-403.87,-403.87203.22-683.42-758.0228.0-///,True
+979.09/-896.21--957.49--680.2672.36,72.36-680.26-957.49-896.21979.09+/--,True
/-677.67*402.56+-135.29--867.65-53.78,-53.78-867.65-135.29402.56-677.67/*+-,True
/-629.11-+-446.99--203.16986.4,986.4-203.16446.99420.64-629.11/---,False
+940.14*540.44*798.24--359.74771.52,771.52-359.74798.24540.44940.14+**-,True
*-590.3--557.91+-77.41*418.94-506.1,-506.1418.94-77.41-557.91-590.3*-+*,True
*166.67+12.58/912.55+-670.4-965.54,-965.54-670.4912.5512.58166.67*+//,False
--829.36-435.71*-106.88/649.33-413.61,-413.61649.33-106.88435.71-829.36--*/,True
-625.05*-946.56--736.64--995.16491.42,491.42-995.16-736.64-946.56625.05-*/-,False
--796.46--836.1*870.84*789.6-105.6,-105.6789.6870.84-836.1-796.46--**,True
/**-865.87+587.28+-801.67-882.13,-882.13-801.67587.28-865.87699.29/*++,False
+-420.62*456.1--19.18/296.43-749.09,-749.09296.43-19.18456.1-420.62+*-/,True
+-371.32+612.49/439.03-/533.12,533.12-426.32439.03612.49-371.32++/-,False
--758.07/754.37/515.88--798.637.81,7.81-798.63515.88754.37-758.07-//*,False
--964.53--201.98*779.84+-581.21-838.03,-838.03-581.21779.84-201.98-964.53--*+,True
*381.36/564.53*734.48/607.48270.32,270.32607.48734.48564.53381.36*/*/,True
/972.9+754.88*995.1/219.63482.03,482.03219.63995.1754.88972.9/+*/,True
+429.64+-952.47/-289.07--192.58-820.74,-820.74-192.58-289.07-952.47429.64++/-,True
