Original,Perturbed,Is_Equivalent
/ 270.0 * 791.32 - 483.49 + -100.1 * -930.55 - 327.31 / -336.2 / 519.96 - -121.77 - -119.91 - -441.93 / -758.83 - -586.17 * -525.29 122.42,122.42 -525.29 -586.17 -758.83 -441.93 -119.91 -121.77 519.96 -336.2 327.31 -930.55 -100.1 483.49 791.32 270.0 / * - - * - / / - - - / - *,False
* -994.03 / -980.06 / -521.42 / 132.48 - 693.17 + 14.47 / -467.76 - -427.2 * -633.78 * 523.45 / 208.88 - 267.08 * 393.52 + -740.1 -782.69,-782.69 -740.1 393.52 267.08 208.88 523.45 -633.78 -427.2 -467.76 14.47 693.17 132.48 -521.42 -980.06 -994.03 * / / / - + / - * * / - * +,True
+ 968.58 - 106.13 + -495.87 + 304.76 / 856.43 + 132.27 - -487.46 + -612.07 / -500.63 * -549.81 - -638.43 - -27.45 + -7.78 + / 791.55,791.55 -314.85 -7.78 -27.45 -638.43 -549.81 -500.63 -612.07 -487.46 132.27 856.43 304.76 -495.87 106.13 968.58 + - + + / + - + / * - - + +,False
* -912.09 / -151.66 - -365.28 * 352.65 + -182.2 * 929.76 + 312.39 / 573.13 / 772.81 / -460.08 + 794.07 + 107.02 * -568.76 - -120.52 -,947.95 -120.52 -568.76 107.02 794.07 -460.08 772.81 573.13 312.39 929.76 -182.2 352.65 -365.28 -151.66 -912.09 * / - * + * + / / / + + * -,False
+ 616.52 * 268.17 - 30.34 / -701.72 * 682.79 + -537.9 * 250.73 + 626.25 - 540.58 / 354.39 * 945.2 - 688.1 - -746.18 - 875.68 5.8,5.8 875.68 -746.18 688.1 945.2 354.39 540.58 626.25 250.73 -537.9 682.79 -701.72 30.34 268.17 616.52 + * - / * + * + - / * - - -,True
- 901.0 + -256.95 * -970.64 - 645.15 * -606.08 - 94.09 * -355.29 + -518.08 * 545.57 - 844.98 * 666.61 + -396.22 * -665.99 + -379.95 833.56,833.56 -379.95 -665.99 -396.22 666.61 844.98 545.57 -518.08 -355.29 94.09 -606.08 645.15 -970.64 -256.95 901.0 - + * - * - * + * - * + / +,False
+ 48.45 - 457.28 + -348.68 - 963.71 / / / -747.11 * 867.79 / -639.48 / 84.4 - 45.05 - 737.41 / -664.05 * -446.74 - -409.6 -376.83,-376.83 -409.6 -446.74 -664.05 737.41 45.05 84.4 -639.48 867.79 -747.11 -438.18 963.71 -348.68 457.28 48.45 + - + - / / * / / - - / * -,False
/ 482.97 * -994.33 + -115.0 + 721.2 - -624.14 / 481.86 * -873.41 / 522.35 / -285.72 + 388.94 / 986.32 / 613.21 / -746.81 + 388.76 -102.71,-102.71 388.76 -746.81 613.21 986.32 388.94 -285.72 522.35 -873.41 481.86 -624.14 721.2 -115.0 -994.33 482.97 / * + + - / * / / + / / / +,True
- -391.07 * 702.06 / 156.75 + 999.05 / 990.61 + 838.51 * 623.36 - -589.62 / -410.09 * 79.08 - 839.86 / -215.47 * 120.36 * -894.29 157.79,157.79 -894.29 120.36 -215.47 839.86 79.08 -410.09 -589.62 623.36 838.51 990.61 999.05 156.75 702.06 -391.07 - * / + / + * - / * - / * *,True
/ -225.37 / 946.99 * 615.58 / -747.08 - -828.72 / 982.55 / 173.83 / -149.22 / 908.82 * -153.57 - 168.12 * -374.53 - 472.37 - 872.06 481.2,481.2 872.06 472.37 -374.53 168.12 -153.57 908.82 -149.22 173.83 982.55 -828.72 -747.08 615.58 946.99 -225.37 / / * / - / / / / * - * - -,True
