Original,Perturbed,Is_Equivalent
-439775-617+-943+111197/-358-466*427/+-795+-870-598*-477711/-895-,---++-++--439775617-943/111197/*358-466427-795*-870-598/477711895,True
102-625458/-130++992-746/406/+-21682/--986--291553*+723660*+-228+,+++--++102//-625458-130//992-746406/-21682-986*-291553*723660-228,False
961583*-172/-350-657-139*+-665+-760+-735-846/+629-698-321*+-467--361+,+-+-++++-/*961583-172-350*657-139-665-760/-735-846629*698-321-467842,False
367653938/--158-228*-276-2*182/--355339/-612/+575--348+412494/-,-+-+---367/653938*-158-228/*276-2182*/-355339-612575-348/412494,False
-721-919/149/-498*823*695-293*--50+-135+75-522-310*--813-990973*+,+---++-**//-721-919149-498823*695-293-50-13575*522-310-813/990973,False
180924/759--810--898-278/--149+-331691*+484-353544/-308/34*108*-,--++---/180924759-810/-898-278-149*-331691484**//353544-30834108,True
544-695/-441*-261*-332/197+-588+128+929-225/-702*+180371/+550+-352+,+++++++/**/544-695-441-261-332197-588128*/929-225-702/180371550-352,True
-424-530+-89373*62/-192838*757/+159+305628/-507*+-27-343*--832+,+-+++-+-424-530/*-8937362/*192838757159*/305628-507*-27-343-832,False
543554*668-438866/954/622*--881-997-456*+-722-922+-961+223--613*,--++-+---*543554668*//438866954622-881*997-456-722922-961223-613,False
-480161*-478*-693/876/400+733-859-362*+-506+-110+-969-880/955/-450+,+-+++-+//**-480161-478-693876400733*859-362-506-110//-969-880955450,True
-298-503/-555*643-661/488/-350*-993-921-710--254-205/625/102/-500+,+-----*/-298-503-663*//643-661488-350993921710///-254-205625102500,False
505-200+-118-885569*--869+-7777*--510-656--674-3*372/+-769-989/+,++---+--+505-200-118*885569-869*-7777-510656/*-674-3372/-769-989,True
119-724*838-434+-689--897-662*+-686668*-196*543*-690*693/986/-514/+,++-+-*119-724838434-689*-897-662///****-686668-196543-690693986-514,True
224469810*--307-407/+614-518/-678/641*--84+-965516*+-87497/-880/+,+++-+-224*469810/-307-407*//614-518-678-767-84*-965516//-87497-880,False
932927118*-740--505-39/-592*+692171*-851/-895-307/-81/684/+83-,-+-+--932*927118740*/-505-39-592/*692171-851///895-307-81-86283,False
-258-205-442+-315--333867/+924--979900/-716-345/401*94/+34+448-,-++--+-+--258-205442-315/-333867924/-979900/*/716-3454019434448,True
659-664*462-238/447*710/+-629+695+603165/-740+-258-472/-438/336*+,++-+++*659-664/*/462-238447710-629695/603165740*//-258-472-438336,False
-823408-582/-709*-59945*+-223-45*--613-139/-110*-508/-267/309/313/+,+-+--823*/408-582-709*59945*-223-45////*/-613-139-110-508-267-934313,False
586-160-952*+-846-496/-889/-434872*-915-267/-492/667/-765*523/+39-,-+--+586*-160-952//-846-496-889*434872/*///915-267-492667-76552339,True
-47514/-291-447248/-878*--520-374/-200+-245276/-635/+-237-920/-473/+,+++---/-47514-291*/447248-878/-520-374200//-245276-635//-237-920-473,True
-997-587986/889/128*+-61-432+-6839**-878+-848--665805/--648323/+,+--+++-+-997*//-587986889128-61432*-6839-878-848/-665805/-648323,False
387-61+50+895+210-673/-112/818*+619+227--457+-833-42/--481+-141-,-+-+-+++++387-6150895*//210-673-112818619227-457/-833-42-481-241,False
263-218486*--195121/+-34--437-80605*+-444+-289--142+-497-232-664/+,+-+-++--+-263*-218486/-195121-34-437*80605-444-289-142-497/232-664,False
-634713/-940--120801/+-164-381/+-471-734*+968+-154-601*-860/-739*+600-,-+++++-/-634713-940/-120801/-164-381*-471-734968*/*-154-601-860-739600,False
-906527/69-902986*+751-881/-545-213/--63670*--225+-852-732*-88/-,-+---+-/-90652769*902986/751883/545-213*-63670-225/*-852-732-88,False
859-762/872-812*-202109*--326+418-561-602--908350*-153-966*+-226-,-+----+--/859-762*872-929*202109-326418561602*-908350*153-966-226,False
585883/-474/994178/-204+593782/861/461*+-856+-30+-646+47682/+,++++++-//585883-474/994178204*//593782861461-856-30-646/47682,False
-810943/139-108-531*-94+832-72-86*--306--96+42--776+-852+86-,-++-+---+--/-810943139*108-53194832*72-86-306-9642-92-85286,False
920-521*-286-437+-129+-91--271+771-744/336*487/-56+650-905*-692+,+-+-+-++-*920-521-286437-129-91-271/*/771-74433648756*650-905692,True
672-119/-151*-773--84-25--780987/62/+-602642/-725*--404574/-502*+,+-+----/672-119-151-773-8425//-78098762*/-602642-725*/-404574-502,False
488-55-725*534-734/+-631-71/211*-467/317*-618/--489-929/-613*-915+,+--+488//*-55-725534734/*/*/-631-71211-467317-618*/-489-929-613915,False
-401775/-823-886/+578-424-523/+-328-61/406/659*+76+490-448*+87+,+++++-+/-401775/-823-886578/424-523*//-328-6145165976*490-44887,False
947-450/36-412*--761-974/+963+90-58*-23+717239/96/-979-856-,---+-++-/947-450*36-412/-761-974963*90-5823//71723996979856,True
-625498-747-308+890-749+189640*-866/-24--340-804/383/-411+-710+,++---+-+-+-625498747308890749/*189640-86624//-340-804383411-710,False
-259358-806*+720-770*-296-566*-86/+247995/-946/+434--732+813952/-,-+-++-+-259*358-806*720-770/*296-566-86//247995-946434-732/813952,True
727546-870644/127*-778/+141-517*-953/449-+-861-589/-751961/-806/+,+-++-727546/*/870644127-778*/*141-517-953449/-861-589//751961-806,False
-274459613/+-625-201-231/-174*-449*-199/347/-903*-3080/+509+-713-,-++--+-274/459613-625*//**/201-231-174-449-199347-903/3080509-713,True
-542-920--755+871-467*+-104479/-9275/-249-549*-255-972-776/196/-,-----++--542-920-755*871-467/-104479/9275*249-549544//972-776196,False
-963-64-980/308*--667-983-910/-403-795/734/354+969/--110-948+181+,++------963*/-64-980308-667/983-910////403-795734354969-110948181,False
619949-232/-515/-105*-605*+2-969/-735/-532*-248-609/613/+-255-154*+,++-+619**//949-232-515-105-605*//2-969-735-532//248-609613*-255-154,True
533-123+-624-475/-206*-443/-179/152/775/782/-708*--230320*-787274/+,+--+533-123*/////*/-624-475-206-443-179152775782502*-230320/787274,False
-571287/50-466-665/-895*+144689*282/326/+-296+-129+-969216*-39/-,-++++-/-57128750*/466-665-895//*144689282326-296-129/*-969216-39,True
608953-510/-873*-12-202650/+-649311/-178/+322-607*--162-392/-601*-,--++--608*/953-510-87312/202650//-649311-178*322-607*/-162-392-601,True
195327/331+493+-461+334-801/+422563*--890--462-453/--226121/-995-,-----++++/483327331493-461/334-801*422563-890/-462-453/-226121995,False
-556-813+374+-303235/-349+166*732/+-334782*-326*851/-945/558/663*+,++++-556-813374/**/-303235-349166732*///**-334782-326851-945558663,False
9-88*293*-360/608/-10*89-100/-389--55390/-589475/-315*793/+,+---*//**9-88293-360608-10/89-100389/-55390/*/589475752793,False
-400-395/-644-107/+-401123/+991617/377/--478+-879+-263-713/--797-533/-,--++-++/-400-395/-644-107/-401123//991617377-478-879/-263-713/-797-533,True
-935-849*249/36+-698-449*513/+179-580/337/209/+16218*+644-784+,+-++++/*-935-84924936/*-698-449513///179-580337209*16218644784,True
-832-26-856/+222580*-876/318*-365/-917/+-483+-939-481/-273/846/+756-,-++++-832/-26-856//*/*222580-876318-365-917-483///-939-481-273846756,True
69-781/-547*197/-495-881*-112/-330-66+-122+-998--751-172*-132201*+,+--++--/*/69-781-547197/*-495-881-112330-82-122-998*-751-172*132201,False
-577-43-228*19/+-948474/+-377694/+776+171+-260+67--2--369338/+,+--++++++-577/*-43-22819/-948474/-377694776171-26067-2/-369338,False
-2637/20/-311560/+94295/+960-854-185/-910+-662+925864*--985-,--+--++//-263720/-311560/94295960*/854-185-910662*925864-985,False
196416+3780*-164/+840+732+-660-418-772/108/+198-45*+-754-28/+,+++-++++196416/*3780-164840732-660//418-772108*198-45/-754-28,True
-166540-28/553/-136*743/397*+13--911+-354-865123/-488/-497*43*+,+-+-+-166*/*//540-28553-13674339713-911-354**//865123-488-49743,True
-163420838/704*-842*-348/259/609*+606+-927+683--387--366+-462-321*-,-+--+++-163*//**/420838704-842-348259609606-927-440-387-366*-462-321,False
4-162-79*-198-134-687-636/+285444/102*858*--291-496/-662/4*+,+-+---4*-162-79198134/687-636**/285444102858*//-716-496-6624,False
682907--849-527/+540878/358/-552/--140+731-189/--406+698-836/-527*-,-+-+-+-682907/-849-527///540878358-552-140/731-189-406*/698-836-527,True
602-903*-129+-451-582/601*641*+810534/--789-49+52-65-149*+-318-,-+-+--++*602-903-129**/-451-582601641/810534-7894952*65-149-318,True
92088*667-82/-678/14*489*-224*-747/-549/+-16-708*--488-337--93-,----+*92088//***//667-82-67814489-224-747-549*-16-708-488337-93,True
-985885/260*832-174+-512-582*-335-423-183*307*-865/-414-828-517/+,+----+-*/-34885260832174*-512-582335/**423-183307-865414/828-517,False
-279-106--836-650/180/-594/962/+307+-487546*615/-820/-196/-97/-163*+,+++--279-106////-548-650180-594962307*////*-487546615-820-196-97-163,False
236-622-147-880-945*+271--20-911-66/+605-981/-654*-114*-8+232-,-+-+--+--236-622147*880-945271-20/911-66**/605-981-654-1148232,True
-810205308/+-519115/524*199*-490801*97/-621*978/49/-181+-530+,++--+-810/205308**/-519115524199//*/*49080197-62197849181-530,True
