Original,Perturbed,Is_Equivalent
+-34.33+44.72/-5.88--1.7418.65,18.65-1.74-5.8844.72-34.33++/-,False
+-52.1/-75.65/-32.17//70.49,70.4979.29-32.17-75.65-52.1+///,False
+-82.22/39.78-44.31/-29.3286.3,86.3-29.3244.3139.78-82.22+/-/,True
-22.67+-23.11*39.36*-93.99+,-21.4-93.9939.36-23.1122.67-+**,False
+81.99+-2.24/-57.34*35.0340.11,40.1135.03-57.34-2.2481.99+-/*,False
-50.56--8.3+31.95+/10.73,10.73-45.8531.95-8.350.56--++,False
+-32.69+61.41--5.96/+-47.56,-47.566.31-5.9661.41-32.69++-/,False
--54.95+-32.96*52.8*90.92-65.93,-65.9390.9252.8-32.96-54.95-+**,True
*-83.09--27.33--39.07-48.9214.87,14.8748.92-39.07-27.33-83.09*--+,False
--78.06/17.5--4.43+81.29-79.16,-79.1681.29-4.4317.5-78.06-/-+,True
/59.92+-33.32--61.42/-96.35-60.04,-60.04-96.35-61.42-33.3259.92/+-/,True
--21.57*-12.59/-83.91/-73.7761.07,61.07-73.77-83.91-12.59-21.57-*//,True
/82.72+-80.67*-72.82+52.79-10.6,-10.652.79-72.82-80.6782.72/+*+,True
/42.49-59.88/-64.01+-27.62,27.62-98.66-64.0159.8842.49/-/+,False
+--43.11*-36.08--11.82-36.36,-36.36-11.82-36.0843.1191.6+-*-,False
*-38.57+-32.71*-80.9/-66.6763.94,63.94-66.67-80.9-32.71-38.57*+//,False
+-2.5/+*-25.51*21.51-63.47,-63.4721.51-25.51-9.21-2.5+/**,False
+/-6.87*-6.48-52.18-52.43,-52.4352.18-6.486.87-49.83+-*-,False
--56.66--2.23-28.97+70.2758.29,58.2970.2728.97-2.23-56.66----,False
/93.74+20.25*4.04+-98.89-72.55,-72.55-98.894.0420.2593.74//*+,False
/-48.44--34.63--70.17*-11.31*,-73.22-11.31-70.17-34.63-48.44/--*,False
-+--39.34-92.07+-93.537.18,37.18-93.592.07-39.3494.34---+,False
/-2.85/-46.45--48.08+68.99-50.16,-50.1668.99-48.08-46.45-2.85//-+,True
**+-42.83/89.74*24.3-96.61,-96.6124.389.74-42.83-98.64*+/*,False
+-38.33/72.58--11.96*-64.45-60.54,-60.54-64.45-11.9672.58-38.33+/-*,True
/24.6*62.95/99.76/4.82-48.37,-48.374.8299.7662.9524.6/*//,True
--45.17*-53.89/68.38--70.44-0.11,-0.11-70.4468.38-53.89-45.17-*/-,True
+/-87.76+-4.09--11.98-55.2,-55.2-11.98-4.0987.7679.33+-+-,False
*12.93/10.89*-96.92--26.01,26.01-17.64-96.9210.8912.93*/*-,False
-16.13+65.08+-88.27-8.1761.89,61.898.17-88.2765.0816.13-*+-,False
+-17.57*-69.31+9.03+-99.692.79,2.79-99.699.03-69.31-17.57+*++,True
/-12.52*17.79/-75.85*-31.7852.51,52.51-31.78-75.8517.79-12.52/*/*,True
--45.09/-83.07+//3.32-7.5,-7.53.3243.06-83.07-45.09-/+/,False
/-36.97+82.45--14.64/94.517.68,7.6894.51-14.6482.45-36.97++-/,False
+-26.48+47.98+56.05--84.2390.74,90.74-84.2356.0547.98-26.48+/+-,False
//+-98.45/5.85/-37.72-12.7,-12.7-37.725.85-98.45-44.03/+//,False
+-26.05+-44.5++*49.071.63,71.6349.030.15-44.5-26.05+++*,False
+-22.01*-86.21+69.81*71.8510.29,10.2971.8569.81-86.21-22.01+*+*,True
/-21.44+33.32+-18.91+97.878.37,78.3797.8-18.9133.32-21.44/+++,True
*-30.95*-58.41--59.71*19.5577.99,77.9919.55-59.71-58.41-30.95**-*,True
--16.59+-0.16+47.94/74.05+,81.9674.0547.94-0.16-16.59-++/,False
+62.79*-71.43-79.07+28.3260.18,60.1828.3279.07-71.4362.79+*-+,True
+47.45-86.31*-73.29*20.7620.62,20.6220.76-73.2986.3147.45+-**,True
/-75.34*-64.71*21.35-4.6178.41,78.414.6121.35-64.71-75.34***-,False
--40.44/73.57*-66.37--22.08-62.71,-62.71-22.08-66.3773.57-40.44-/--,False
--39.18--30.18-52.57*5.45-6.77,-6.775.4552.57-30.18-39.18/--*,False
+50.0+80.02/42.07*+-80.99,-80.9974.2842.0780.0250.0++/*,False
/-50.03/-53.77--35.96*54.24-12.49,-12.4954.24-35.96-53.77-50.03//-*,True
*-94.37/78.43+10.58/3.7358.02,58.023.7310.5878.43-94.37*/+/,True
+74.26--71.07--29.64/33.2355.88,55.8833.23-29.64-71.0774.26+--/,False
*-60.29--35.73+21.62--35.5779.97,79.97-35.5721.62-35.73-60.29*-+-,True
*-97.72*-82.54*2.89/-94.9537.93,37.93-94.952.89-82.54-97.72***/,True
*63.88*-85.28+-20.97+-90.51-41.39,-41.39-90.51-20.97-85.2863.88**++,True
/65.9--34.72/37.29+-76.513.4,13.4-76.537.29-34.7265.9/-/+,True
+7.79/17.4+-74.9*60.23-77.79,-77.7960.23-74.917.47.79+/+*,True
-22.06*-36.13--41.37//94.11,94.1172.67-41.37-36.1322.06-*-/,False
/-30.61+54.49/88.27*-58.36+,27.31-58.3688.2754.49-30.61/+/*,False
*52.55-41.54*11.49+-23.1946.57,46.57-23.1911.4941.5452.55***+,False
+-5.04-23.55/-7.53--87.04-45.11,-45.11-87.04-7.5323.55-5.04+-/-,True
/-56.81*-74.96*57.36/41.94-94.12,-94.1241.9457.36-74.96-56.81/**/,True
/0.92+/--17.03*71.846.52,46.5271.8-17.03-1.030.92/+-*,False
+75.04+33.15+/*-4.04-14.45,-14.45-4.049.533.1575.04+++*,False
*64.21-79.13--23.97*5.93.5,3.55.9-23.9779.1364.21*--*,False
/77.21*-45.98/69.72*8.66-,14.268.6669.72-45.9877.21/*/*,False
+71.64-58.91+46.15-83.780.8,80.883.746.1558.9171.64+-+-,True
+*/-37.91+20.58/82.0388.59,88.5982.0320.58-37.91-64.9+/+/,False
/-26.53/-70.29+-3.99+-14.4844.13,44.13-14.48-3.99-70.29-26.53//++,True
*/*20.48+-3.45--19.4790.8,90.8-19.47-3.4520.48-38.35**+-,False
/82.01/0.82-/+40.1567.76,67.7640.15-61.20.8282.01//-+,False
/-83.89*-70.99*98.77+75.6495.42,95.4275.6498.77-70.99-83.89/**+,True
/83.82/-50.17/-97.34/87.73-69.83,-69.8387.73-97.34-50.1783.82////,True
/-38.37/-43.29-30.05/-23.9185.46,85.46-23.9130.05-43.29-38.37//-/,False
*61.73/86.77*51.43/*41.62,41.62-77.9851.4386.7761.73*/*/,False
-11.82--92.28*/--87.55-7.35,-7.35-87.55-88.72-92.2811.82--*-,False
+2.47*-63.15/-60.61*17.7741.29,41.2917.77-60.61-63.152.47+*/*,True
*7.09--6.32/-30.61/-39.8879.43,79.43-39.88-30.61-6.327.09*--/,False
-5.88+-79.93/16.79/66.2785.75,85.7566.2716.79-79.935.88-+//,False
+79.68-23.76+80.7+31.31-69.81,-69.8131.3180.723.7679.68+-++,True
/82.13*-86.51+92.96+59.98-70.3,-70.359.9892.96-86.5182.13/*+*,False
/47.0*-78.96*40.2+91.5326.75,26.7591.5340.2-78.9647.0/**+,True
/42.3+-58.31-82.22*-25.54+,-89.94-25.5482.22-58.3142.3/+-*,False
/28.36*86.76+-36.6*88.92-38.75,-38.7588.92-36.686.7628.36/*+*,True
-0.52/-32.26*47.94--40.82-53.51,-53.51-40.8247.94-32.260.52-/*-,True
--5.63/12.1/-22.15/-26.33-24.69,-24.69-26.33-22.1512.1-5.63-*//,False
+52.28*-2.76/35.19*-20.8363.4,63.4-20.8335.19-2.7652.28+*/*,True
--81.62--27.63*67.41+93.2453.42,53.4293.2467.41-27.63-81.62--*+,True
*36.65/45.48/90.21--87.624.44,24.44-87.690.2145.4836.65*//-,True
+23.19+59.38*71.85--78.36-38.17,-38.17-78.3671.8559.3823.19++*-,True
*-65.74/-+-90.79--29.39-85.04,-85.04-29.39-90.79-88.77-65.74*/+-,False
/11.01/-79.78/87.16-19.41-48.37,-48.3719.4187.16-79.7811.01///-,True
/-4.23+-48.24/21.92-25.71-89.86,-89.8625.7121.92-48.24-4.23/+/-,True
-62.84--39.49/-52.07/+-44.17,-44.17-38.25-52.07-39.4962.84--//,False
*24.73--92.49/37.3--25.9186.93,86.93-25.9137.3-92.4924.73*-/-,True
*75.07+19.19/13.55--26.8990.01,90.01-26.8913.5519.1975.07*+/-,True
*-9.54/-13.36/58.76*-68.655.86,55.86-68.658.76-13.36-9.54*//*,True
*82.52+78.41*76.33+62.8960.12,60.1262.8976.3378.4182.52*+*+,True
--26.48/25.06+-21.24/67.4-89.96,-89.9667.4-21.2425.06-26.48-/+/,True
+-45.72/-36.82-26.65/-34.1-53.69,-53.69-34.126.65-36.82-45.72+/-/,True
/13.11-0.54+-8.67+/-60.87,-60.8711.21-8.670.5413.11/-++,False
+-94.01/-23.03-76.59+-89.5831.54,31.54-89.5876.59-23.03-94.01+/-+,False
