Original,Perturbed,Is_Equivalent
-61-18/32/-10/7+,+///-61-1832-107,True
9199/-23*-63-24*-,-*/9199-89*-63-24,False
-97-44*2813/*-88+,++*-97-44/2813-88,False
9156*-32-23-3/*,--*9156-32/23-3,False
91-58-59+59-2*-,-+-91-5859*59-2,True
-54-61--27-76*-97*+,+--54-61**-27-76-97,True
933*76/-70+58-,-+-*93376-7058,False
-7178--67+-41-34*-,-+--7178-67*-41-34,True
67-21*63-78*-84/+,+*67-21/*63-78-84,True
-6430+-94-78*--71+,+-+-6430*-94-78-71,True
61-46-95/76*31*-,-61**/-46-957631,True
24-4341*-97/+84-,-+24/*-4341-9784,True
7873/-42+4--15+,+-+/7873-424-15,True
7998--7544/-50+,+--7998/-754450,True
-4322/2476*-56/-,-/-4322/*2476-56,True
61-82*47--80-72-,---*61-8247-8072,True
51-17*2041/28*-,-*51-17*/-1004128,False
7-1214*+7440/+,++7*-1214/7440,False
956280*+31--67+,+-+64*628031-67,False
-8-11/-91*-81-26-,--*/-8-11-912826,False
-888193*80*+-44-,-+-88**819380-44,True
-34-46+93-56/67-,---+-34-46935667,False
-80-58/66/16-59*,*///-80-58661659,False
-97-35*-32/45*43+,+*/*92-35-324543,False
-138--618/+78+,++--13-24/-61878,False
1553-33+-27-57-,--+-155333-2757,False
-34-27*59-74-54*+,+-*-34-2759*74-54,True
5651--13-6*-15/+,+-5651/*-13-6-15,True
47-85*-74-58*-46-,--*47-85*-74-5846,False
-100-70/-28-26/--37-,--/44-70/-28-26-37,False
3856-22*+70-54-,--+38*56-22-9754,False
-8459/-2529/-86/-,-/-8459//-25-5-86,False
857548*+-82-3/+,++85*7548/-82-3,False
42-64/-22+-67-50/+,++/42-64-22/-67-50,True
677615*--64+-50+,++-67*7615-64-39,False
7615-78-12*+69-,-+--3415*78-1269,False
-7282/43/55*47+,+*//-7282435547,True
68-59*-55+-4-92-,--+*68-59-55-492,True
-9882*21*-43*24*,****-988221-43-12,False
92-6/-7292/28/+,++92-6//-729228,False
702*-7*67*-7*,****702-767-7,False
7568+48-23*+-63-,-++7568*41-23-63,False
-72-86/4*82-72*+,+*/-72-864*82-72,True
-36-89-58*-15/+-46+,++-36/*-48-58-15-46,False
4916-9674*-69*-,--4916**9610-69,False
-90-17--42-24/+-65-,-+--90-17/-42-24-65,True
-8-87*-42*37/69+,+/**-8-87-853769,False
-6331*20+-12-34/-,-+*-633120/-12-34,False
94-55-16/+-2817/+,++94/-55-16/-2817,True
7487-43/+-24+-8+,+++74/87-43-24-8,True
39-49*-64--76-0-,---*39-49-64-760,True
51-77/79-80*+97-,-+/51-77*79-8097,True
-77-34*-43/55*-3+,+*/*-77-34-4355-3,True
9941*-89/-99/-40*,*//*9941-89-99-40,False
-1250*-48+99-92/-,-+*-1250-48/99-92,False
4928/2914*-4*+,+/4928**9314-4,False
8746/33*6553*+,+*/874633*6553,True
83-97+-71+12+97-,-+++83-97-711297,True
-325--5/91*10/,/*/*-325-59110,False
75-36/21/-81-44/+,+//75-3621/-81-44,False
-9128-34*-84+59+,++--91*28-346359,False
76-71*89+-2--79/,+-+*76-7189-2-79,False
