Original,Perturbed,Is_Equivalent
2387-18/--85-52*-41+9255*62*--58-47/85*--91-58*+95+,+---+--23/87-18*-85-5241**925562*/-58-4785*-91-5895,False
7161/-16-55/+42-68/63*76*84*+-95-98-71/+37+-95-31/+,+++-++/7161/-16-55***/42-68637684-95/98-7137/-95-31,True
6382-27*-88-60/-51*-70/-80/-2*-48/+094/-26/--18-94*-,--+-63*82-27/*//*/88-60-51-70-80-2-48//094-26*-18-73,False
7242--94+6980*71/+-84-78/-23*+73-63/-2154/-54/-87-,---+++-7242-94/*698071*/-84-78-23/73-63//2154-5487,True
892449*+56-49/-98/+-7049/-92+71+75+157*+-32-30*+,+-+++-++89*2449//56-49-98/-7049927175*157*-32-30,False
092-45*-90/-60/+-95-20-56/--7490*40/-88*-95/+-5775/-,-+--+0//*92-45-90-60-95*20-56/*/*-749040-88-95/-5775,False
7473-16*--3344*-64+7996/61/-50*--44+13+467*+21+,++++-+--74*73-16*-334464*//799661-50-4413*46721,True
57-75-1/32/-2*--1+-4675--27/-34-38*+-6257/-47*+-80+,+++-+-57*//-75-132-2-1/*-4675-27*34-38*/-6257-47-80,False
7256*-63-44*+-89+28+-98-15/72*20*-88/-74-79--45+-37+,++---+++*7256*-63-44-8928/***-98-157220-887479-45-37,False
-5-4*45*-4574/34/-13*14/+-73+47+-27-38/-15/--3333*-,--+++**-5-445/*//-457434-1314-7347//-27-38-15*-3333,True
-4524+96+3286*+-1439*38*93/51/-53/--32-93/*-84--54-,----+++-452496*3286///**-1439389351-53/-32-93-84-54,False
-918+-30--43+28-76*+75--9582/-34*+-85-49/+41+-57+81+,+++++-++-+-918-30-43*28-7675*/-9582-34/-85-4941-5781,True
-30-79-83+86+90-85/-33/--51-88*--1654*-40+-10-29+-24-,-+-+---++--30-7983-12//90-85-33*-51-88*-165440-1029-24,False
-895/-36*95--7336*31/86*--54+49+-48+17+-21/-27+-9+,++-++++--*/-895-3695*/*-73363186-5449-4817-21-27-9,False
-26-91+847/-36+97+-39-8*+3192*+-93-14/--74-57/88*+,+-++++-+-26-91/8473697*-39-8*3192/-93-14*/-74-5788,True
6849/56-68*+7534*--8790/+6437/80/58/11/38*-66*+,++-+/6849*56-68*7534*-8790**////643780581138-66,False
-4-31/15--26+-78--2+95-91-28-8940/58/34*-46*39-+,+---+-+-/-4-3115-26-78-2959128***//89405834-4639,False
-164*-51-83*34/-59*66*68/-98+213*+-7537/+-88+-73-,-++++-*-164/**/*-51-8334-59666898*213/-7537-88-73,True
9725-54-14+8163*-39/--21+12-51*-34+82-79*71/-5-,--++-+-+--97255414/*8163-39-211251-34/*82-79715,False
-98-6061*-15+-9661*+474*53*83*12/-17/-99-7/--94+,+--++--98*-606115*-9661//***474538312-17/99-7-94,True
-10431*55*+-64-100/81*73*+2-4710*--9350*+-67--98-,--+--++-10**43155/*/-64-10081732*4710*-9350-67-98,False
4233+-44--45-53--7710*-8/+-6013/-69/-90/-4740/39-+,+-+---+4233-44-4553/*-7710-8///-6013-69-90//474039,False
-62-65*5130/86*+-1-10*+-9-5-23/-74/--73-55-4-45*-,-----++*-62-65*/513086*-1-10-9//5-23-74-7355*4-45,True
-2119-56+92*-77*+95-83*+77-63-22*-54/+-6+3742*+-40-,-+++-++-21**/19-5692-77*95-8377/*63-22-54-6*3742-40,False
-53-43+-96-46*-2059*-9372*67*--7243*+-2548*+-42*+,+++---+-53-43*-96-46*2059**937267*-7243*-2520*-42,False
-5778*81/-77*51/8*-26*44--20-70/+-44--93-2*+-53-75/-,-+-+-**/*/*-577881-77518-2644/-20-70-44*-93-2/-53-75,True
3297*94/48*53*71/5417*78/-4*+57+33-12*21/--12+,+-++/**/*329794485371*/*541778-457/*33-4121-12,False
-34-93/44-45/-82*-130*--10-1510/0*--69-38+-99+-81+,+++-----/-34-93*/44-45-82*130-10*/15100-6938-99-81,True
74-46-18-7+-52+-18-15/+91+-43-63*+-41-75*-53-2*-95-,----+++++--74-46187-52/-18-1591*-43-63*-41-75532-95,False
-16-3-8630/+5-15/-85/-25*+86--99-48/38/-3-83*63*-,---++--16-3/8630*//5-15-85-2586//-99-4838**3-8363,True
-6612*-3387/-4+6762/--39--4-31*-19*-7136*--26-82*-,-----+-*-6612/-33874/6762-39**-4-31-19*7136*-26-82,True
-82-53-39--52-4+14-5143*+-43+42--45--6746*18*+-52+,++--++-+----82-5339-52414*5143-4342-45**-674618-52,True
58-83-70/--28--652/+-50+83--64-73+6+49-72*59/15*-,-++--++--58/-83-70-28/-652-5083-64736*/*49-725915,True
342+-947/-5*-34*-48-83/54/--16-47/37*6/+40-98-,--+--+342**/-947-5-34//48-3054/*/-16-473764098,False
