Original,Perturbed,Is_Equivalent
99-80*-23/11--68-1519/47/-16*35/+,+--/*99-80-23-21-68/*//151947-1635,False
4-58+-32-73/-51*-425*51*-31/--76+,+--+4-58*/-32-73-51/**42551-31-76,True
-1-58-54*--271/+-16+1-3+--56+56-,-+-++--1*-58-54/-271-16/1-3-5656,False
-18-66/-12*-91*94--80+5+-8795*+-13+,++++-**/-18-66-12-9194-805*-8795-13,True
3141*-20/-16-9*-2991/--32--92-14*+,+---/*3141-20*-16-9/9091-32*-92-14,False
-1596*47/-76/8171/69*-97*+-59--52-,--+//*-159647-76**/817169-97-59-52,True
7478/68/19/-76/28*-81-1476*--93-,---+////74786819-7628-81*1476-93,False
-77-59-91/-93*+-99--96-50/+-48-51-15*+,+-+-+-77*/-59-91-93-99/-96-50-48*51-15,True
9297--94-2+--4748*-41*--3850*-5/+,+---9297*-94-2**-4748-41/*-3850-5,False
4031-77+23+-92+12--4-92-80+-72-,-+---+++-40317723-9212-4928052,False
-98-42+4491/31*5/-38+-19-97--42-,---+-+-98-42/*/449131538-1913-42,False
-67-3--2512*83-82/-41/+9933/--18-,--+--67-3///*-25128382-41/9933-18,False
91-64-1956*18/+-22--4631/+-6-20*-,-+-+-91-64/*195618-22/-4631*-6-92,False
1937+-21-58*+1061/+64-465*-58*+,+-+++3237*-21-58/106164**465-58,False
2529/47/45/25/-5-6/93/+50-56+,+-+////25294745-20//-5-6935056,False
-57-81*12/31*-93/-66*-65*97-84*-46-,--**/*/*-57-811231-93-66-65*97-8446,True
-9019*-73+84/-21-30/-59*-45-20/-99*-,---+*-9019-7384*/-21-30-59*/45-20-99,False
535-98-96*79*-22/+34-28*+-385*-,-++-535/**98-9679-22*34-28*-385,True
-8023-39/-85/99/-80-91/--85-96/-20+-,----80///23-39-8599/80-91//-85-96-20,False
1295*-35--93-51-93/--87+23+-49+-14-,-+++---*1295-35-93/51-93-8723-49-14,True
6615*84-5/-67/+-92-139/--66-47/+,+--+*6615//84-5-67-92/139/-6656,False
7710*41-47/16/-40/+44-38/-63/-35-,--+*7710///41-4716-51//44-38-6335,False
-14-379/+-6281/--29+39-83--94--91-,----+-+-14/-379/-6281-293983-94-91,True
-959671*72/--88-36/-43*-53/-9279*-,----95/*967172/*/-88-36-43-53*9279,True
-3343+24-41*-66*-14-73*-20*-97+-69-,-+--+-5043**24-41-66**14-73-2097-69,False
-69-80/-15+-39*+94-28*-23+-1384*-,-+-++/-69-80-15*-39*94-2823*-1384,True
