Original,Perturbed,Is_Equivalent
/-454.68*-6.11976.94+88.58+-179.24,-179.24+88.58-6.11-454.68/*+976.94,True
2^-815.24-265.8-541.05-+,-233.49--541.05265.8815.24-^2-,False
-618.84+-671.3-640.7+-842.18+-926.12,-926.12--842.18-671.3618.84-++-640.7,False
*-30.42-673.162^-212.06476.98,476.98212.06673.16-30.42*--^2,True
-87.64*3.14-213.52+155.78,155.78213.53.1487.64-*-^2,False
/854.98+661.28/694.972-338.14,338.14694.97661.28854.98/+/^2,False
//1^+889.33/782.12-979.31,-979.31782.12889.33-800.81/+^1/,False
--391.34/-20.07-854.4--561.14-400.49,-400.49-561.14854.4-20.07-391.34-/--,True
+439.67+-566.04/-579.76-994.63--720.56,-720.56439.67+--994.63-579.76-566.04+/,True
*-349.76+-995.07*-771.49/495.02-577.8,-577.8495.02-771.49-995.07-349.76*+*/,True
/-666.91*538.441^-187.87--870.6,-870.6538.44-666.91//-^1-187.87,False
/-452.19+-946.48-940.34-545.72-550.69,-550.69545.72940.34-946.48-452.19/+-*,False
1^-441.99/729.05-841.44+784.84,784.84441.99-^1+-841.44729.05/,True
+986.47*484.45-493.15-320.53+-719.3,-719.3484.45986.47+*+-320.53493.15-,True
--910.021^--817.08/186.57-0.42,-0.42186.57-817.08-910.02--^1/,True
+-801.9-^+49.611^-229.36,-229.3649.61-525.41-801.9+-+^1,False
--394.741^+-347.3-881.41*869.23,869.23*-881.41-347.3-394.74-+^1,True
*-906.16--375.13+-88.43*-417.133.7,3.7-417.13-88.43-375.13-906.16*-+*,True
+348.81^--68.79--293.43141.72,141.72-293.43-68.79348.8+-^1-,True
*-910.32-694.54+231.9837.15--505.13,-505.13231.98694.54-910.32*-+-37.15,True
1^+-845.5655.76/+-906.498.87,98.87-906.4/55.76-845.56+^1+,True
1^-303.29-444.42*14.06-314.2,-314.214.06444.42303.29-^1-*,True
-578.21^1^-527.24+416.67+453.96,453.96+^2416.67+^1-527.24,False
