Original,Perturbed,Is_Equivalent
+ 841.32 * -621.02 2 ^ + -349.92 - 643.47 * 740.33 - 41.77 - -519.86 -703.85 ^ - 623.49 99.35 / + -915.55 -132.89 / 884.01 * 815.83,815.83 * 884.01 / -132.89 -915.55 -621.02 841.32 + * + / 99.35 623.49 -519.86 41.77 740.33 643.47 -349.92 + ^ 2 - * - - - ^ 2,False
2 ^ + 521.16 - -850.23 / -121.88 - -748.84 + -670.04 + 287.3 / -459.16 - -761.58 - -914.52 2 ^ 871.87 / 316.22 / -130.9 - 840.73,840.73 - -130.9 287.3 -670.04 -748.84 -121.88 -850.23 521.16 + ^ 2 - / - + + / 316.22 -914.52 -761.58 -459.16 / - - / 871.87 ^ 2,True
* -796.7 / 889.71 - -6.39 - 322.33 + 605.75 2 ^ - -810.9 2 ^ - -416.67 305.43 / / -479.99 + 449.98 -255.8 2 ^ / -192.21,-192.21 -796.7 * / ^ -255.8 449.98 -479.99 / / 305.43 -416.67 -810.9 605.75 322.33 -6.39 889.71 / - - + - ^ 2 - ^ 2 + 2,True
2 ^ + 259.46 - 259.49 * -503.29 / 874.41 -745.74 + + 335.34 + -691.2 1 + - -616.23 * -263.39 / -157.42 / 4.09 113.28 + 595.87,595.87 -691.2 335.34 -503.29 259.49 259.46 + ^ 2 - * + + -745.74 874.41 / + + ^ 1 113.28 4.09 -157.42 -263.39 -616.23 - * / /,False
/ 464.63 - 326.77 / -756.28 1 ^ + -428.42 ^ -922.97 / 832.51 * -566.25 / 789.3 -167.48 / / 191.93 + -105.12 780.0 + 340.92 - -392.97,-392.97 191.93 -756.28 326.77 464.63 / - / / / -167.48 789.3 -566.25 832.51 -922.97 -428.42 + ^ 1 * / * / - 340.92 -105.12 + + 780.0,False
* 482.02 / -332.34 / -346.51 - -742.69 / -536.25 2 ^ - -974.19 + -947.11 - 974.65 - -495.35 1 ^ - 194.39 + 806.49 -691.21 / -167.73,-167.73 -742.69 -346.51 -332.34 482.02 * / / - / -691.21 806.49 194.39 -495.35 974.65 -947.11 -974.19 -536.25 / - ^ 2 + - - - ^ 1 +,True
- 465.83 - 171.59 + -447.36 + -883.63 / -744.68 - 231.36 - 474.6 1 ^ - 225.49 1 ^ + + / -122.83 199.09 2 ^ * 714.82,714.82 -66.22 225.49 474.6 231.36 -744.68 -883.63 -447.36 171.59 465.83 - - + + / - - - ^ 1 + ^ 1 * ^ 199.09 -122.83 / 2,False
* 705.24 + 190.9 + ^ + -782.01 1 ^ - 518.11 + -916.89 1 ^ - 928.44 - -807.62 410.12 * 331.0 - -954.21 / -962.97 / -784.4,-784.4 / -962.97 705.24 * / -954.21 -916.89 518.11 -782.01 172.33 190.9 + + + - ^ 1 + - ^ 1 331.0 928.44 - * 410.12 -807.62 -,False
- -495.28 * -290.44 / 679.67 - 267.69 * -666.17 / 618.75 * 697.04 + 674.75 + 761.25 / 351.49 / 206.32 - -465.11 1 ^ + -711.19 595.02,595.02 -711.19 -465.11 206.32 351.49 761.25 674.75 697.04 618.75 -666.17 267.69 679.67 -290.44 -495.28 - * / - * / * + + / / - + ^ 1,True
* 20.09 - -906.35 - + / -453.4 / 111.13 - 244.68 / 422.14 / 977.85 1 ^ + -984.26 * 108.3 * -489.62 502.08 + 862.56 / -79.79,-79.79 977.85 422.14 244.68 111.13 -453.4 492.43 -906.35 20.09 * - - / / - / / / 862.56 + 502.08 -489.62 108.3 -984.26 + ^ 1 * *,False
2 ^ - 10.53 - 207.91 / 927.25 - 203.25 + -463.21 - -606.76 - -710.01 * 817.25 1 ^ - 109.11 / 471.2 2 ^ - 644.21 678.64,678.64 644.21 471.2 109.11 817.25 -710.01 -606.76 -463.21 203.25 927.25 207.91 10.53 - ^ 2 - / - + - - * - ^ 1 / - ^ 2,True
- 918.66 / -182.14 + 471.21 + -110.3 / -605.1 * 554.55 / 369.63 * -670.63 * -217.43 - -321.14 1 ^ -794.4 + -188.63 - 0.04 / -738.02,-738.02 -110.3 471.21 -182.14 918.66 - / + + / 0.04 -321.14 -217.43 -670.63 369.63 554.55 -605.1 / * / * * - * -188.63 + -794.4 ^ 1,False
/ 724.02 - 817.69 - -760.71 1 ^ + -517.65 511.22 * - 746.28 - 18.51 2 ^ 2 ^ - 621.88 1 ^ -236.91 / 530.13 + -349.43,-349.43 18.51 746.28 724.02 / - * 511.22 -517.65 -760.71 817.69 - - + ^ 1 - + ^ 2 530.13 - -236.91 621.88 - ^ 2 ^ 1,False
/ -188.57 + 955.09 - -926.52 / -354.04 / 457.09 1 ^ + 267.67 / -870.65 + -725.07 2 ^ + -323.95 / -365.11 2 ^ -914.48 + -225.49,-225.49 -365.11 -323.95 -725.07 -870.65 267.67 457.09 -354.04 -926.52 955.09 -188.57 / + - / / + ^ 1 / + - ^ 2 / + -914.48 ^ 2,False
* 937.94 - 757.58 - -944.7 * -183.41 1 ^ / -264.5 + -68.69 - -761.49 + 279.86 607.63 1 ^ * + -432.02 + 545.15 2 ^ -413.82,-413.82 545.15 -432.02 -264.5 -183.41 -944.7 757.58 937.94 * - - * - ^ 1 + * ^ 607.63 279.86 -761.49 -68.69 + - + 1 + ^ 2,False
/ 764.99 * -860.86 + -45.58 + 183.06 + 632.87 2 ^ + -793.11 471.44 ^ - -704.47 -13.19 * - 99.65 536.12 / - 703.64 -108.38 + 860.28,860.28 703.64 764.99 / - / 536.12 99.65 - * -13.19 -704.47 -793.11 632.87 183.06 -45.58 -860.86 * + + + + ^ 2 - ^ 1 + -108.38,False
/ 585.29 / 567.89 2 ^ - -65.05 1 ^ - -965.35 * 287.69 * 236.62 * 614.01 / -208.58 2 ^ + 684.18 + 919.23 - -363.22 818.09,818.09 -363.22 919.23 684.18 -208.58 614.01 236.62 287.69 -965.35 -65.05 567.89 585.29 / / - ^ 2 - ^ 1 * * * / + ^ 2 + -,True
/ 382.28 / -198.08 1 ^ + -18.31 - -565.68 2 ^ + -641.16 * -445.37 + -981.37 2 ^ - -549.89 / -83.68 * -82.56 + -538.46 -243.05,-243.05 -538.46 -82.56 -83.68 -549.89 -981.37 -445.37 -641.16 -565.68 -18.31 -198.08 382.28 / / + ^ 1 - + ^ 2 * + - ^ 2 / * +,True
* 565.48 + -894.0 * 4.73 1 ^ + -974.23 1 ^ + 959.22 1 ^ + 303.52 / - - -715.37 2 ^ - 395.37 1 ^ -656.31,-656.31 395.37 -715.37 744.98 303.52 959.22 -974.23 4.73 -894.0 565.48 * + * + ^ 1 + ^ 1 + ^ 1 / - - ^ 2 ^ 1,False
/ 74.88 - -907.57 / -391.15 2 ^ + -243.55 -64.59 - - ^ 699.79 * * -480.73 / -292.78 - 158.39 + 935.75 1 ^ -686.94 - -490.31,-490.31 -292.78 -480.73 -391.15 -907.57 74.88 / - / * * 699.79 -52.9 - - ^ 2 -64.59 -243.55 + / - -686.94 935.75 158.39 - + ^ 1,False
/ ^ * -181.27 - 165.91 * 703.34 - 254.84 - -52.1 + -883.48 + 933.72 / -503.79 1 ^ + 103.6 2 ^ 553.61 - 861.06 + -64.79,-64.79 933.72 -883.48 -52.1 254.84 703.34 165.91 -181.27 -590.04 / * - * - - + + + 861.06 -503.79 / - 553.61 103.6 + ^ 1 ^ 2,False
/ 495.32 - -564.04 / -4.88 - 200.33 * -8.48 * -808.6 / 50.47 - 737.18 - 864.91 / -469.09 / -951.98 * 909.79 / 760.46 -926.92 * -974.38,-974.38 -951.98 -469.09 864.91 737.18 50.47 -808.6 -8.48 200.33 -4.88 -564.04 495.32 / - / - * * / - - / / * -926.92 760.46 909.79 * /,True
1 ^ - -294.6 + 542.69 + -622.06 / -758.91 296.44 / + 27.74 1 ^ - -506.43 + -361.95 + 400.07 + 929.76 / -678.24 447.09 - -619.34,-619.34 -294.6 - ^ 1 - / 296.44 -758.91 -622.06 542.69 + + / 447.09 -678.24 929.76 400.07 -361.95 -506.43 27.74 + - ^ 1 + + + /,True
/ 374.91 + -364.8 1 ^ - 309.14 1 ^ - 866.68 / 574.33 1 ^ - -678.35 2 ^ + -819.6 2 ^ + -208.75 - -701.6 37.89,37.89 -701.6 -208.75 -819.6 -678.35 574.33 866.68 309.14 -364.8 374.91 / + - ^ 1 - ^ 1 / - ^ 1 + ^ 2 + ^ 2 -,True
* 72.42 2 ^ 1 ^ + 259.56 * 750.2 - 605.18 + -318.11 - -364.59 - - + 508.32 1 ^ + -719.48 / 975.85 -365.57 / -65.69,-65.69 / -365.57 975.85 -719.48 508.32 72.42 * + - ^ 2 813.48 -364.59 -318.11 605.18 750.2 259.56 + ^ 1 * - + - + ^ 1 /,False
- -231.95 - -540.09 + 502.05 * 238.61 -728.88 * / 648.55 + 577.63 1 ^ + 108.6 1 ^ 2 ^ + 707.24 538.98 / 222.95 * -175.36,-175.36 108.6 577.63 648.55 -540.09 -231.95 - - / * -728.88 238.61 502.05 + * + + ^ 1 - ^ 1 222.95 / 538.98 707.24 + ^ 2,False
- 878.56 + -1.93 * 774.82 270.05 - * -11.57 51.09 - - 243.15 1 ^ - -314.89 * -284.38 1 ^ + -230.63 -142.78 / - 44.97 69.22,69.22 44.97 -284.38 -314.89 243.15 - - - 270.05 774.82 -1.93 878.56 - + * 51.09 -11.57 * - ^ 1 * - ^ 1 / -142.78 -230.63 +,True
1 ^ - 272.87 2 ^ - 359.73 1 ^ + -58.25 / 316.72 / 880.35 + 214.38 / -351.63 1 ^ + -944.53 / 662.44 - 660.04 72.78,72.78 660.04 662.44 -944.53 -351.63 214.38 880.35 316.72 -58.25 359.73 272.87 - ^ 1 - ^ 2 + ^ 1 / / + / + ^ 1 / -,True
2 ^ - 76.0 * ^ + -893.48 * -207.69 1 ^ - -770.74 / -326.94 - -108.17 / 682.02 * 220.79 1 ^ + 185.55 -708.95 * 31.73,31.73 -770.74 -207.69 -893.48 552.36 76.0 - ^ 2 * + * - ^ 1 * -708.95 185.55 220.79 682.02 -108.17 -326.94 / - / * + ^ 1,False
+ -583.55 1 ^ + 694.48 - 56.29 - -451.77 - -471.71 * -661.35 / 195.97 - 545.96 - 783.95 1 ^ - 611.03 - -781.18 -873.36 / 756.46,756.46 -661.35 -471.71 -451.77 56.29 694.48 -583.55 + + ^ 1 - - - * / -873.36 -781.18 611.03 783.95 545.96 195.97 / - - - ^ 1 -,False
+ ^ + 848.86 565.79 + + 143.42 2 ^ + -842.84 2 ^ + -468.36 * -449.91 + -608.03 / -725.78 * -230.29 / -589.57 135.13 + 881.24,881.24 -725.78 -608.03 -449.91 -468.36 -842.84 143.42 -487.74 + + + 565.79 848.86 + + ^ 2 + ^ 2 * + / + 135.13 -589.57 -230.29 * /,False
/ -368.62 * -237.07 -879.64 * - 471.54 / 283.66 - -694.79 / 727.16 * 577.65 - 523.9 -683.84 - / -194.07 -498.29 -247.29 * - -73.29 - 201.99,201.99 -694.79 283.66 471.54 * -879.64 -237.07 -368.62 / * - / - - -73.29 577.65 727.16 / * - - -683.84 523.9 - * -498.29 -194.07 / -247.29,True
- -43.56 1 ^ + -721.65 2 ^ - 312.4 * 256.56 + -858.66 - 323.81 * 710.02 523.21 + + -65.85 1 ^ + -709.71 1 ^ 797.18,797.18 -709.71 -65.85 -721.65 -43.56 - + ^ 1 + + 523.21 710.02 323.81 -858.66 256.56 312.4 - ^ 2 * + - * + ^ 1 ^ 1,True
- 841.37 - 397.57 -272.13 - + -833.97 / 220.21 + 512.56 + 34.56 / 477.34 * -831.86 2 ^ * -352.92 + -278.91 / 58.54 -377.54 + 249.36,249.36 -831.86 477.34 34.56 512.56 220.21 -833.97 + - -272.13 397.57 841.37 - - / + + / * + ^ 2 -377.54 58.54 -278.91 -352.92 * + /,True
+ 518.53 + -832.99 * -417.27 2 ^ + -416.69 / 7.15 2 ^ - -167.57 + 266.82 / -477.17 + ^ 102.51 * -117.93 + 642.92 / -413.21,-413.21 518.53 + / 642.92 + -117.93 766.44 -477.17 266.82 -167.57 7.15 -416.69 -417.27 -832.99 + * + ^ 2 / - ^ 2 + / + * 102.51,False
/ -797.76 - -69.63 * -823.41 / 958.67 + 968.57 515.73 ^ - -295.47 * -89.23 / -99.61 - -809.62 + 721.95 1 ^ 1 ^ -376.37 - -962.13,-962.13 721.95 -809.62 -99.61 -89.23 -295.47 - 515.73 968.57 958.67 -823.41 -69.63 -797.76 / - * / + - * / - + - ^ 1 -376.37 ^ 1,False
- 892.24 1 ^ - -320.5 / -532.95 / -949.72 2 ^ - -355.88 / -186.73 - 707.33 - -948.04 / / -719.16 / / 867.05 991.66 / 178.06,178.06 892.24 - / 991.66 867.05 -532.95 -320.5 - ^ 1 / / / -719.16 -802.67 -948.04 707.33 -186.73 -355.88 -949.72 / - ^ 2 / - - /,False
/ 189.65 + 625.2 / 421.0 - 831.06 + - -129.8 / + -117.25 2 ^ + 803.39 + 617.39 / 752.39 * -60.79 / 211.35 - -62.15 966.35,966.35 -62.15 211.35 -60.79 752.39 617.39 803.39 -117.25 625.2 189.65 / + + / -129.8 774.53 831.06 421.0 / - + + ^ 2 + / * / -,False
- 308.55 * 909.54 / -872.66 -656.15 - + -674.05 - 149.49 1 ^ + 629.7 -581.89 + - 997.1 1 ^ - * / 527.41 / -45.67 387.52,387.52 -45.67 527.41 -826.53 997.1 149.49 -674.05 909.54 308.55 - * + - -656.15 -872.66 / - - + ^ 1 -581.89 629.7 + - ^ 1 / /,False
/ 88.66 * -396.69 / 898.94 + -528.88 * 481.57 1 ^ - 411.74 1 ^ - 200.66 + -940.97 / 72.03 - 562.59 272.48 - 950.88 / 110.48,110.48 200.66 411.74 481.57 -528.88 898.94 -396.69 88.66 / * / + * - ^ 1 - ^ 1 / 950.88 -940.97 + - 272.48 562.59 72.03 / -,True
+ 978.45 / -770.7 - 109.53 / 417.2 / 359.28 433.35 * - 206.33 1 ^ - -426.74 + -688.99 1 ^ + -394.9 * -535.82 - -125.74 -57.23,-57.23 -125.74 -535.82 -394.9 -688.99 -426.74 206.33 -770.7 978.45 * / - * 433.35 359.28 417.2 109.53 - / / - ^ 1 + + ^ 1 * -,False
/ -719.48 - 415.47 / 83.25 1 ^ + -158.84 - -878.02 - 513.12 - -104.89 + -563.17 2 ^ / 345.45 * 285.85 + -715.67 -166.61 + 607.18,607.18 -563.17 -104.89 513.12 -878.02 -158.84 83.25 415.47 -719.48 / - / + ^ 1 - - - + + ^ 2 -166.61 -715.67 285.85 345.45 / * +,True
1 ^ + -690.09 - 626.86 * -819.05 / -222.56 * 149.16 - -624.26 -181.23 / / 163.12 2 ^ - 363.84 2 ^ + 106.85 * -431.99 -4.46,-4.46 -431.99 106.85 363.84 163.12 149.16 -222.56 -819.05 626.86 -690.09 + ^ 1 - * / * - / -181.23 -624.26 - - ^ 2 + ^ 2 *,False
1 ^ + 936.54 + -16.88 + 492.2 * -758.98 - 431.32 * 270.05 - 538.4 - 851.27 - 865.76 - 808.13 / 308.61 -950.76 * -889.74 - 547.9,547.9 538.4 270.05 431.32 -758.98 492.2 -16.88 936.54 + ^ 1 + + * - * - - -889.74 851.27 - * -950.76 308.61 808.13 865.76 - - /,True
2 * + 448.76 + -97.28 474.33 + + 642.91 - 511.68 + 374.65 2 ^ - 98.33 - -534.87 * -563.15 / -110.66 2 ^ + 917.99 -188.92,-188.92 917.99 -110.66 -563.15 -534.87 98.33 374.65 511.68 642.91 + + ^ 2 474.33 -97.28 448.76 + + - + - ^ 2 - * / + ^ 2,False
- 171.66 * -200.82 - 901.24 + -173.6 1 ^ + -498.75 -690.49 * 2 ^ - -396.39 / -914.53 + -793.7 2 ^ 521.56 + -545.54 / 741.79,741.79 / * -690.49 -498.75 -173.6 901.24 -200.82 171.66 - * - + + ^ 1 -545.54 -793.7 -914.53 -396.39 - ^ 2 / + + ^ 2 521.56,True
+ 247.89 1 ^ - 179.17 + -357.46 1 ^ - 730.58 * -481.88 - -844.45 1 ^ + 764.66 + -126.62 1 ^ - 165.6 - -755.79 955.25,955.25 -755.79 165.6 -126.62 764.66 -844.45 -481.88 730.58 -357.46 179.17 247.89 + - ^ 1 + - ^ 1 * - + ^ 1 + - ^ 1 -,True
1 ^ - -523.7 * -110.0 + -830.61 * -780.43 / -897.54 2 ^ + -987.53 2 ^ - 997.3 / -244.16 - 782.0 + -479.35 + -348.1 923.4,923.4 -348.1 -479.35 782.0 -244.16 997.3 -987.53 -897.54 -780.43 -830.61 -110.0 -523.7 - ^ 1 * + * / + ^ 2 - ^ 2 / - + +,True
+ 222.53 + 260.12 - 779.92 + 531.91 * -105.22 1 ^ + -243.7 * 742.05 - -152.71 / -130.06 - -269.25 / -365.74 / 458.07 -628.69 / -524.7,-524.7 -269.25 -130.06 -152.71 742.05 -243.7 -105.22 531.91 779.92 260.12 222.53 + + - + * + ^ 1 * - / - / -628.69 458.07 -365.74 / /,True
- -753.65 + -635.21 + 303.06 - -74.09 + 785.42 + -899.22 1 ^ + 144.95 - 143.97 1 ^ + 658.36 * -385.74 * -440.57 -842.02 / 132.8,132.8 -385.74 658.36 143.97 144.95 -899.22 785.42 -74.09 303.06 -635.21 -753.65 - + + - + + + ^ 1 - + ^ 1 * / -842.02 -440.57 *,True
+ 881.5 - 446.86 - -472.7 / -479.87 * 876.42 - 271.78 * -738.03 + -757.7 + -937.9 1 ^ + + -922.38 / - 24.82 - 338.99 -439.25,-439.25 338.99 24.82 -479.87 -472.7 446.86 881.5 + - - / - / -922.38 437.51 -937.9 -757.7 -738.03 271.78 876.42 * - * + + + ^ 1 -,False
- 386.64 / 445.68 + -423.61 - 66.99 - -922.36 + -614.16 * 856.66 1 ^ - -500.83 * -451.69 1 ^ + 700.45 1 ^ + -259.09 -353.05,-353.05 -259.09 700.45 -451.69 -500.83 856.66 -614.16 -922.36 66.99 -423.61 445.68 386.64 - / + - - + * - ^ 1 * + ^ 1 + ^ 1,True
- -777.83 * -81.48 1 ^ + 719.84 1 ^ - 613.02 + 239.04 + -902.87 + -955.08 - 977.53 + 227.66 / 9.5 2 ^ -835.28 + -837.66,-837.66 9.5 227.66 977.53 -955.08 -902.87 239.04 613.02 719.84 -81.48 -777.83 - * + ^ 1 - ^ 1 + + + - + / + ^ 2 -835.28,True
* -981.54 1 ^ - 7.08 2 ^ - 196.15 / -381.97 * - / -29.57 * -273.06 -851.85 * / -579.52 + -454.33 * 357.3 / 347.43 378.94,378.94 347.43 357.3 -454.33 -579.52 -29.57 -354.19 -381.97 196.15 7.08 -981.54 * - ^ 1 - ^ 2 / * / / * -851.85 -273.06 * + * /,False
+ 174.38 + 479.37 2 ^ - -430.47 - -110.07 1 ^ + -858.98 309.88 ^ 1 ^ + 916.38 - -659.14 161.04 + - 175.52 -957.53 - 470.71,470.71 -110.07 -430.47 479.37 174.38 + + - ^ 2 - - ^ 1 -957.53 175.52 -858.98 + - + ^ 1 161.04 -659.14 916.38 + ^ 1 -,False
- 534.94 / - 2 ^ * 798.53 + -27.81 - -777.33 1 ^ + -909.16 133.69 + - -735.89 + -316.31 2 ^ + 867.21 2 ^ 190.16,190.16 867.21 -316.31 -735.89 -661.53 534.94 - / - + ^ 2 133.69 -909.16 -777.33 -27.81 798.53 * + - + ^ 1 + + ^ 2 ^ 2,False
- 280.11 - -874.09 -238.29 1 ^ + 1 ^ + 451.12 + 33.64 - 237.59 - ^ 2 ^ + -90.84 -838.33 / - -797.97 -238.08 + -475.73,-475.73 280.11 - + + ^ -238.29 -874.09 - 1 -238.08 -797.97 - / -838.33 -90.84 -455.56 237.59 33.64 451.12 + ^ 1 + - - + ^ 2,False
+ 667.24 - -38.73 2 ^ - 443.1 - -223.11 + -54.35 1 ^ + / * 640.99 * -107.31 / 938.9 / -54.31 -101.97 - 51.48 - 183.55,183.55 667.24 + - 51.48 259.38 -54.35 -223.11 443.1 -38.73 - - ^ 2 - + + ^ 1 - -101.97 -54.31 938.9 -107.31 640.99 * * / /,False
- 799.37 + -541.78 1 ^ + -962.7 + 528.01 - 600.6 - 803.01 * 387.11 / -915.42 * -236.25 + 435.74 / -102.68 + 410.62 2 ^ 676.56,676.56 410.62 -102.68 435.74 -236.25 -915.42 387.11 803.01 600.6 528.01 -962.7 -541.78 799.37 - + + ^ 1 + - - * / * + / + ^ 2,True
- 730.72 - 874.42 - -919.26 + 416.1 * -401.03 / 816.53 363.35 - 1 ^ + 472.67 2 ^ - -763.88 / 745.55 -374.14 + 349.92 - 433.19,433.19 -919.26 874.42 730.72 - - - - - 363.35 816.53 -401.03 416.1 + * / 349.92 745.55 -763.88 472.67 + ^ 1 - ^ 2 / + -374.14,True
+ 70.03 + -329.32 * 458.65 - -410.58 520.68 2 ^ / + 805.69 1 ^ + 754.83 + -222.96 - 503.1 + -764.43 -741.15 + -768.17 * 887.04,887.04 754.83 805.69 -329.32 70.03 + + + / ^ 520.68 -410.58 458.65 * - 2 + ^ 1 * -768.17 + -741.15 -764.43 503.1 -222.96 + - +,True
* -341.04 / -647.03 + - / -231.18 * 407.69 + 512.4 + 889.58 1 ^ - 184.38 + 284.77 595.86 / - 883.82 + -182.88 1 ^ -376.43,-376.43 -182.88 883.82 184.38 889.58 512.4 407.69 -231.18 152.79 -647.03 -341.04 * / + / * + + - ^ 1 - / 595.86 284.77 + + ^ 1,False
* 474.61 - 146.73 / -661.56 1 ^ + 840.27 * -740.22 1 ^ + 411.82 / -80.84 1 ^ + -3.85 - 150.28 / 429.52 * -3.73 -20.8,-20.8 -3.73 429.52 150.28 -3.85 -80.84 411.82 -740.22 840.27 -661.56 146.73 474.61 * - / + ^ 1 * + ^ 1 / + ^ 1 - / *,True
- -415.73 * -783.9 - -860.37 * -967.01 + -179.81 2 ^ + 246.57 * 780.88 / 454.27 2 ^ + 258.7 - -301.75 * -296.78 + 656.45 -417.96,-417.96 656.45 -296.78 -301.75 258.7 454.27 780.88 246.57 -179.81 -967.01 -860.37 -783.9 -415.73 - * - * + + ^ 2 * / + ^ 2 - * +,True
+ -662.57 * -301.82 -556.61 + - -318.34 + -551.43 * 902.72 - -583.2 1 ^ + -770.59 / -346.63 - 211.36 - 545.36 * 838.79 -5.99 - 423.65,423.65 838.79 545.36 211.36 -346.63 -770.59 -583.2 902.72 -551.43 -318.34 + -556.61 -301.82 -662.57 + * - + * - + ^ 1 / - - / - -5.99,False
1 ^ + 378.12 2 ^ + -188.5 / 457.81 - 470.43 / -62.77 * 201.08 / -643.98 + -682.65 1 ^ - 807.06 + 57.86 206.31 * 281.17,281.17 807.06 -682.65 -643.98 201.08 -62.77 470.43 457.81 -188.5 378.12 + ^ 1 + ^ 2 / - / * / + - ^ 1 - 206.31 57.86 +,False
