Original,Perturbed,Is_Equivalent
/ -246.12 1 ^ - 839.66 1 ^ + -118.95 - 704.48 - 563.65 1 ^ + -959.21 -402.3,-402.3 -959.21 563.65 704.48 -118.95 839.66 -246.12 / - ^ 1 + ^ 1 - - + ^ 1,True
* -327.22 + -322.25 * 537.68 - -643.49 1 ^ - -64.91 / 797.04 ^ 731.36 1 ^ 857.78,857.78 731.36 797.04 -64.91 -643.49 537.68 -322.25 -327.22 * + * - - ^ 1 / - ^ 1,False
+ -14.75 - 657.39 - -662.29 2 ^ - 361.83 - -180.19 * -419.38 * 290.42 / 442.72 -696.77,-696.77 442.72 290.42 -419.38 -180.19 361.83 -662.29 657.39 -14.75 + - - - ^ 2 - * * /,True
- -140.57 + 625.69 / 230.9 - -158.99 + -730.3 - 680.87 - 58.5 1 ^ -166.69 + -822.3,-822.3 58.5 680.87 -730.3 -158.99 230.9 625.69 -140.57 - + / - + - - + ^ 1 -166.69,True
1 ^ + 122.29 * -518.87 - 396.23 + 273.13 / 77.21 -318.41 ^ * 733.87 922.33 - 211.85,211.85 77.21 273.13 396.23 -518.87 122.29 + ^ 1 * - + / - ^ 2 922.33 733.87 *,False
+ -610.67 2 ^ + 7.66 - 807.73 1 ^ - / + 17.21 - -72.41 129.68 * 949.54,949.54 -72.41 17.21 821.82 807.73 7.66 -610.67 + + ^ 2 - - ^ 1 + - * 129.68,False
/ -902.43 - 905.47 * -53.76 - -518.31 - -757.67 2 ^ + -58.2 + -351.37 -789.63 / -431.88,-431.88 -902.43 / / -789.63 -351.37 -58.2 -757.67 -518.31 -53.76 905.47 - * - - + ^ 2 +,True
+ 277.13 - -448.19 - -59.8 + 640.79 1 ^ - -404.77 ^ -533.54 / 239.88 -696.47 / 156.39,156.39 239.88 -533.54 -404.77 640.79 -59.8 -448.19 277.13 + - - + - ^ 1 - / / -696.47,False
- -935.35 + 419.43 2 ^ + -393.43 * -12.23 / -624.88 + -60.36 953.6 ^ + -831.6 -610.17,-610.17 -831.6 -60.36 -624.88 -12.23 -393.43 419.43 -935.35 - + + ^ 2 * / + + ^ 2,False
- 915.9 1 ^ - 196.29 -76.96 + / 341.5 * 574.92 - 304.54 / 367.27 - 431.99 -886.67,-886.67 431.99 367.27 304.54 574.92 341.5 + -76.96 196.29 915.9 - - ^ 1 / * - / -,True
+ 524.32 + -832.51 / 15.48 -237.94 / + -598.3 + -73.09 1 ^ 661.71 - 920.96 - 925.99,925.99 -832.51 524.32 + + - 920.96 -73.09 -598.3 + / -237.94 15.48 / + - ^ 1 661.71,True
/ -539.8 * 745.6 * 759.65 / 571.19 + -54.9 - 356.84 1 ^ / -709.95 1 ^ 812.77,812.77 -709.95 356.84 -54.9 571.19 759.65 745.6 -539.8 / * * / + - - ^ 1 ^ 1,False
- -929.83 * -271.2 1 ^ + -468.88 -266.02 + + -16.42 * -622.68 -857.15 ^ 394.03 - 993.42,993.42 -622.68 -16.42 -929.83 - + + -266.02 -468.88 -271.2 * + ^ 1 * - ^ 1 394.03,False
+ -241.33 / 744.65 / -932.01 + -23.71 + -733.75 1 ^ + 131.28 / 519.15 - -826.6 -12.84,-12.84 -826.6 519.15 131.28 -733.75 -23.71 -932.01 744.65 -241.33 + / / + + + ^ 1 / -,True
- -522.4 + 3.21 / -158.08 * 592.24 / 84.09 -865.6 * -59.41 / 27.16 - 567.43 * -680.94,-680.94 * 567.43 -158.08 3.21 -522.4 - + / - 27.16 / -59.41 592.24 * * -865.6 84.09 /,True
2 * - -816.24 * 792.45 - -512.77 / 394.84 1 ^ + -454.68 / 300.63 987.54 + -572.42,-572.42 -512.77 792.45 -816.24 - ^ 2 * - + 987.54 300.63 -454.68 394.84 / + ^ 1 /,False
2 ^ / -781.78 / 716.44 / -837.13 * -158.36 + 33.16 + 95.2 + -671.12 63.58 + -784.35,-784.35 + ^ 2 63.58 -671.12 95.2 33.16 -158.36 -837.13 716.44 -781.78 / / / * + + +,True
+ 396.42 + -762.27 / 47.42 + -221.32 / -181.54 * 172.41 - -342.82 * 9.65 -98.97 + -958.86,-958.86 -342.82 172.41 -181.54 -221.32 47.42 -762.27 396.42 + + / + / * - + -98.97 9.65 *,True
* -79.72 1 ^ + -871.92 / 700.42 - 331.96 2 ^ - -725.07 1 ^ -743.19 + 689.75,689.75 -725.07 331.96 700.42 -871.92 -79.72 * + ^ 1 / - - ^ 2 + ^ 1 -743.19,True
