Original,Perturbed,Is_Equivalent
-2359--3541+-882^421^-34--46-661^+-982321/*+---,---2359-+-3541---^-882^421-62++-46^-661*-98/2321,False
-3982-91/-96-26+-791^61-1/-45*-552^*+84-7+86/-*-,--39*/82-91-+-96-26/+++^-791**/61-1-45^-55284786,False
-851--29--12+-33-75-371^/-73--953-18*-96*98/11**-/+,++-^-851-29-12/-33--/-75^-371-73*-9*/**53-18-969811,False
841^-69-1664+*-86/44*9584/-20-*+69+-83358*-84/+-,-++^841**/*-69+-5164-8644-/9584-2069+-8/*3358-84,False
8715/8+-621^-332^-34-34-47*-361^51-31-16^-+/+,+--+/87158^-621^332/34+*-34-47--^-36151-31-16,False
76-3/6372/86/^-472^--40-82*63/+-72-62--9-70-14+*-,---+--/76-3//637286^-472/*-40-8263-7262*-9+-70-14,False
-21192^*89--801^-7520*+74-72-5/70*+9170/50*+,++-+--+-21^19289^-801*752074*/72-570*/917050,False
8385+-852^--45-11*59*-30+-19-192^/-65+-781^+-5+,+++-+--+8385^-852**-45-115930/-19^-19265^-781-5,True
341^-2643*-1344*6839*+-201^-303270-61/-68-*+/--,-^341-*-2643/+*-1344*6839+^-201*-30--32/70-6168,True
-3738-33/-18++-11--89--36-8-73*--27-53+-73+-14-68*-21*-,-++-----+-37//38-33-18-11-89-36*8-73-2753-73**-14-68-21,False
-40411^*292^2831/-+-78-262^40-71/+1^/+-92+1-,-+++*-40^411-^292/2831/-78^+^-262/40-711-921,True
-59-15-1534-25-772*/79+-49-/-52*-54+3592/64*24/-+-,--59+-15-+--15*/34-+/-25*-77279-49-5254/*/35926424,True
86-50-33-97851^+432^+-32-66*+18+-10-30--40-/29*/*,*86/-50*/-33---++++-97^851^432*-32-6618-1030-4029,True
-17-911^/-4954/+2-132^*-8871*4*-92*+321^--88-,--+-+/-17^-911/-4954*2^-132***88714-92^321-88,True
-26-89*-9--42+-38-14-691/-100-16*-962^/+-42+-502^-+,+--*-*-26-89-9-42-3814-++/691/*-100-16^-962-42^-502,False
83-95+-712^+-87-80*-87*84/-75--22+62^+-93-74-63/-,--++--++83-95^-712/**-87-80-878475-22^62-93/74-63,True
