Original,Perturbed,Is_Equivalent
2622+4+6482/661877*-2283*-8868/-/57*+6619*-,-+++26704*//6482---66*1877*2283/886857*6619,False
8720+31+8799*+6448*376223/27/58/15+42-71/-/-,-+++872031*8799/*6448-37/-+///62232758154271,True
7449+13+2236*-636/4789/50-66-35+52-12+/21/-,--++744913*2236///636+-+--/4789506635521221,True
874/20/3029*928*56/4356*41*3/99*2879/*+/-,-//87420/*3029+/*92856+*/**435641399/2879,False
6853*1116/-92+68+5128/-32-9976*1518*55/58**+,+--+++*6853/11169268/512832**9976*/*15185558,False
7950*5613/-7019/-3+3491*-58+34-29+61-6279/-,--+-+-+--*7950/5613*70193*349158342961/6279,False
7451+1752/-758486/63**98/4399+568620/81+*-*+,+-+7451/1752*/*75*/84866398-+4399*56+/862081,True
8368*72/5818*/25408*52/+432/+-55+6695/+90-,-++-//*836872*5818++25/*40852/43255/669590,True
137724/+86-64378815*+*+6771**82-24555582/+/-,---+-+13/772486*64+37*8815*677182/24+55/5582,False
9882/3377/9+926118+*-29+-5377/91*+758475*/+,++-/9882+-+/33779*92+611829*/537791/75*8475,True
1711+763362/2/3433*-*48/42/-8688*+2868/44-+,++-+1711//*76-//33622*34334842*8688-/286844,True
7023/33/1687/+73+617++9544/2431/286471/-*/+,++-+//702333/168773+617//9544*/2431-28/6471,False
2682*278880*6956/-8530/-/+216413-/31*+3920/-,-++*2682/27--*8880/6956/8530*/21-641331/3920,True
34506529*+/3845*3228-/62/46/54+/8*59*9*65+,+***//34+50*6529+///*3845-3228624654859965,True
5116*34751373/8/5852/3*-7899*+53+89+18---/,/*5116-34-75-+++-//13738*/58523*7899538918,True
33601/833-*-59+7354/-90-685/9935447/+*/+,+--+-33*/601-83359/735490//685*99+35/447,True
5436-8484/64*-42+337351+*62*+26-341099-/44*-,--++--5436*/84846442**33+73516226*/34-109944,True
8713+22-33582326*4/+787560+3+457821*/+*+*+,+-+871322*33++58/*23264*78+++75603/45*7899,False
4891-8/9532*8152*42*72*+3-/51/81-84-43+76-,-+--///-48918-+*9532***8152427235181844376,True
6036/532-72+1429*+447295+49333/82/*-15+/+*,*/6036+++-53272*1429/44+-+7295*49//3338215,True
6911/96+34+4+3077*98*10/+1476/-15+8851/38/+,++-++++/691196344/**30779810/147615//885138,False
823223--9917*1876*21+4471/25714*52/38+*-+/-,--82-3223/*9917++*187621-/4471*25+/*7145238,True
8245/37-70+23*-5872*+24-63+28+7199+99-++,+++-+-+-/82453770*23*5872246328+7-+19999,True
9149/38*52/8653*19*6153*-7113*3549+9183/+/+*,*/*/91493852+-**865319*6153/*7113++3549/9183,True
543314-3547/81/7*51/47-21+78-71743+50-*++*,*54+-3314+-+-/*//354781751472178*7-+174350,True
2472+86+45+9773/-57-5+2339+479274*41/47/-*+,++--+++24728645/9773575*+1339-47//*92744147,False
468239*27/31/48/66*557188-3967/40+-16-85-*+-,-46+*///*823991314866*55----7188+/3967401685,False
714*87+52+32-80+1543/37/+1039*5932*+12/24*+,+-+-++*71487523280//154337*/+*1039*59321224,False
31584891+89*+1+*12/46-296856/857-68++12-*-,--/*31++58*+48918911246*29-+/6856+-8576812,True
2627/40-32-24-7734/47/627819-+14-75-6622/-*-,----/2627403224*//773447---+62-78191475/6622,True
836*5099*-3730*8450/-6584*-9596/36*/86/+23-,-+-*836*5099//--*3730/8450*6584*/2796368623,False
4239*17*50*1251/-5065/27/-4228*-9812*84/43--,----***42391750/1251//506527*4228-/*98128456,False
857331*44/+73+3686*-9234/-98+6065+85-65--18/,--+--++85/*73314473*3686/923498--+6065856518,False
5333+2692/96*+98-811/29+96-+5791/11/-1538*-,--+-++5333*/26929698-+/8112996//579111*1538,True
9662/70/236*57/87/6774380*79*73/86/31/*-+*,*//966270+//*2365787-6-77///**438079738631,False
664360*9610/3665//3361551+9323-5575*++/+**+,+66**4360*//9652/3665+33/6++1551+-9323*5575,False
989+931653575-99+*+11-7522*+193*+77-33-/-,-+989/93--++-+16*53+-5759911*7522*1937733,True
1345/2126/-32+4087*49/66*-63-78+46-252220*++,+-+--+-/1345/212632*/*73874966637846+25*2220,False
262333/79+66-91+3836/61*63*52/+59/84/+89+58+,+++26//++-+/2333796691/**/383661635259848958,True
11493755*47*23*94-1612/66/17/89*9651/*-76++-,-11+49+--***3755472394*////1612661789/965176,False
9033+6350/89/311*70+/+62-70-8173/-34+26+58-,-++---++9033///635089+*311706270/8173342658,True
272-584761*68*34*27/+1-4084/+75+-5240/-82-,----272++-+58/***47616834271/408475/524082,True
818*29/417858374162+/835+80-*8952*11+/+*-*,*/*81829-41*78+58/*/37+4162-+83580+*225211,False
8278*1*97/17*44+16-9286/40/+2530*+23316-/-,-++-+*/**8278197174416//928640*2530/2-3316,True
2312+82+128+1287*96+7343*67/7++4841*22/---,-++231282-+128-++*128796+/*7343677/*484155,False
73266368/-3724-73-41+10+81++34--45249490/+*-,--73-+-26/6368+++--37247341108134*45+24/9490,True
3688+6464*24*-5973/+79-22+35987674-39/72*-*-,-+-+-+3688**646424/59737922*35-98*/*76743972,False
3830*9346*59/88*53+3-+8728/59*48*69**1677*-,-++*3830-+*/*93465988533***/8728594869*1677,False
6880-31-2481*-7893/66/19*16/+2454*15*-13+70+,++-+---688031*2481/*//7893661916**2454151370,True
8028*21727293*50*+12-3388*7*4351++51-95/+-+,+*8028-21+-+72**72935012/-+**33887+4351515,False
784837-4170/+30-9559*+*24/64/7761/-173*82/+,+-//*78+-+-4837/417030*95592464/7761/*17382,True
478124/*7683/10-56-/5618*13*94/-183/+5-81+,+-+-/*47/8124--/76831056/**56181394/183581,True
2371/15*428329*56371+7446/19*-*25/48-26+/*+,+*/237115*42/*8329+-//56-+371*/744619254826,False
4138-22+1544/56*+6997/+4172539/2090//24/+/+,++++-413822*/154456/6997/41+72///539*209024,False
256/2/3071/2282*81/42/*48*62-29494030*+/+/,///2562+-**/3071//*228281424862/29+49*4030,True
279244511-*575*-/41*35/5967*-53+/66*73+91+,++*/27+-/*/92-*4-4511*5754135*596753667391,True
4692*8767*65/47/45/-53+3044/79*20*829*82-/+,++-*4692///*876765474553/**/30447920-*82982,True
96135449*-2258/36/+96-8164*-58-65448469**+-+,+96----+-13*5449//22583696*816458+65*44/8469,False
5436*79-602/+30+586426/25-*27*+6569/47*15/-,-+++-*543679/60230**58-/64262527/*/65694715,True
435219/50/536589/-1354*2/+*50/36*+8726/18*-,-+43*/*//521950+-53/6589/*135425036*/872618,False
4557+919*+933*+7240*+4150++4470/16/6*+41-,-++++++4557*919*4433*7240+4150*//447016641,False
8762/14*11/62*34*734299-2-405255+18+*13++-/,/**/*/876214116234-73+--42992+*40++52551813,True
195754-2237-4399/+50*-96-*2+88*42/84*537*/,/*/*+*19---5754*+-2237/439950962884284*537,True
649450*41*20/35/60/76/94/-158*+52+1040*+86+,++++-64/////**9450412035607694*15852*104086,True
731834*-36-9799*64/99*38-+79-26-1250*-56-76+,+----+--73*183436-*/*97996499387926*12505676,True
9263*96*18+81+8054*3*92515629/+/82*74*+-2+,+-++**9263961881+**80543**/92+51/5629827469,False
1797*31-3678/60/+92992858*99*76/-3413/77*+/+,++-*179731//367860/92+-99/**28589976*/341377,True
3581+36*83/9120/+91-8-8732/63/-23-24+97-53-,--+----+/**35813683/9120918//87326323249753,False
855992-64-6+/18+39/79*8687*12*-5135/98+58-/,+-*/+/85+--5992646183979**868712-+/51359858,False
24318/5485*+1210*-889++98+*602410/45/-39++,+*24++-+/318*3685*1210+88998+-60//24104539,False
6978/2182*-93+4852*50*25264/83++88-/-2379*-,--+-/6978*218293/**485250-+25+/2648388*2379,True
499634*88/13/20*455*41+24+1835/39/33*-*23/+,+49/**//*9634881320-++*4554124*//1835393323,True
1753*64/73/55*1*62-368/62*14/81*/415+63+-,---**//*1753647355162*/*/368621481++41563,False
2259+8-66-1182/+39+492248**10*-30+5937/-32+,+-+-++--+2259866/118239**49*22481030/593732,True
3533*342463*53/47-84+76-40398219/-83-/+-+*,**3533+34--+-/*246353478476+40/3--98/21983,True
9436-3838*1644*82*4179*+75-8515/-46+79+*86*+,+-9436***3838++--+**164482*417975/8515467986,True
3826/691*94-3148/-80+83+843319/85*+94-97-*-,-/3826*++--*69194/31488083+-+84*/3319859497,False
2848/1/88-3-616-1+908245/+49+33+40+75+--,---//28481813-+-6161+++++90/824549334075,False
384665*+176421/46+9370-50+6-18-94+32-34+-+-,-+38*4665+17-+/642146+-+--+-937050618943234,True
52458/+54-60-1673/76*8339/6/*87*28/+91-82-,--+--+52/4585460/***/167376//8339687289182,True
153584/75/-70-1669*-43+1074*21*-6267-+2351/+,++-+---74//35847570*166943**107421-6267/2351,False
4614+77498791*364*27*+4618*+6+675*16*+*/+,++4614/85*49++++*8791**36427*46186**67516,False
4456+19+58-479110/-48-592489/+4627*+40*+33--,--++87561958-+--47/911048*++59/2489*46274033,False
2392-6459739360*55*-*-732/+1*49*61*81/62/-,--2392//***+-64*59-73**936055/732149618162,True
462+26*872/+21-44-3173*-20954920*78/+1-*-,----+*+46226/8722144*3173*20-+95/*4920781,True
541246/17/-2182*2856-6935/95*+16821/26*--*+,+-54//124650**2182-+-2856*/693595-16*/82126,False
5024-2293+913*++277488/39//-3148/-8915*+16+,++--+-5024++2293*913/27//748839/3148*891516,True
53598/-42+22-23865788-14-66-61-889911+*----,--+-5/35984222-23-86-----5788146661*88+9911,True
3297*3/863973-*92*+203*7/5211/-8033*37*++,++/*32973**86-397392+-/*2037/5211**803337,True
4576-2956+8088-12+*-2120*17/+8428-6348*7/--,-+--4576*+2956+-808812/*212017--8428/*634856,False
72941/26*1/90/55*-656/5063+12-*5832*3//+,+-7*//*/29412619055/*/656-+506312/*98323,False
2127-21-659669893+-31+46-6-65+/89*3967*+*-,---212721*6+*/59+--+-66*9893314666589*3967,False
3319-73+7638*81*47*25/+588*57/79/4153+73-*-,-++-331973/***7638814725*//*5885779-+415373,True
771243/-47+30-71-9445/-3295/-12-65-156173-*-,-------+-77/1243473071/9445/32951265*15-6144,False
9939/45175*-66-3323*+/3737*56138**99/98/*-,-//9939+--45*17566*3323**3737//*56*1389998,True
6556930*+352-4876*+110/26*+63-70*+6442*+/,/6+++55*6930*-++-582*4876*/110266370*6442,False
32960/-8+5012/56*21*-10751688*16-6182/-*/-,--+-3/29608**/50125621/10-75--*168816/6182,False
62196*30-/1946*+7542*-88+1562/+429165/17++-,-++-+/6-*219630*1946*754288/1562+42+/916517,False
593*4256/+62+3392*+57-896722-17/89/83-+*-,--+++*593/425662*339257*89+-6722-//178983,True
4564+21+80*77-54+432070*575394+14*91*-84-/*+,++-*++456421807754*43/*2070--57**+5394149184,True
