Original,Perturbed,Is_Equivalent
/620.85*808.99*-377.44-184.15--552.97*-386.84/95.06-90.91/863.94*912.09/39.77*-668.61/-136.05+-994.76-550.62,-550.62-994.76-136.05-668.6139.77912.09863.9490.9195.06-386.84-552.97184.15-377.44808.99620.85/**--*/-/*/*/+,True
+-257.72--0.96--662.0-341.87+876.7+780.96+94.31--982.28--492.77-959.28*-33.04/963.54/53.3-89.83--684.14,-684.1494.31780.96876.7341.87-662.0-0.96-257.72+---+++--89.8353.3963.54-33.04959.28-492.77-982.28+--*//,False
+-657.37--174.37*-231.49/502.15-824.66*34.45*-159.89-411.15--539.82+109.08-849.95*+-303.65155.91*-436.65-463.78,463.78-231.49-174.37-657.37+-*--436.65502.15/*155.91-303.65-159.8934.45824.66-**+*-849.95109.08-539.82411.15--+,True
/-924.13-69.74+-552.5-+--7.97+742.63/438.37--894.74-600.21*-484.56*157.2/-198.25*190.78*-330.99-2.42,-2.42-330.99190.78-198.25157.2-484.56600.21-894.74438.37742.63-7.97413.93-552.569.74-924.13/-+--+/--**/**,False
-395.44/-85.86*-494.57-834.67+-605.21*895.58*-494.37/-391.22/-927.01+202.9*956.04-767.56-+278.07--721.05-692.92,-692.92-721.05278.07-927.01-391.22-494.37895.58-605.21834.67-494.57-85.86395.44-/*-+**//+--767.56956.04202.9**-,False
*-980.0-684.55*-213.42/624.0/906.89*-732.15+-455.42*-918.63-164.45/186.8*624.65/494.3+577.95-550.4--214.46,-214.46186.8164.45-918.63-455.42-732.15906.89624.0-213.42684.55-980.0*-*//*+*+/--550.4577.95494.3624.65*/+,False
/-917.96/692.09/763.38/739.22*24.72/27.92*683.52-767.37-*-885.3*373.51*-510.06/324.3-133.43**128.89-135.42,-135.42128.8927.9224.72739.22763.38692.09-917.96////*/**-133.43324.3-510.06373.51-885.3+--767.37683.52***/,False
/-175.95/-34.76/-522.83+207.7-329.44*954.48--135.74*369.31575.49/+-634.31+441.93+531.98*659.57/973.27-807.02,-807.02973.27659.57531.98441.93-634.31+/575.49369.31-135.74954.48329.44207.7-522.83-34.76-175.95///+-*-*++*/,True
+133.74/312.1+-75.17*-765.44--662.26*827.9925.77//741.19*-775.73/-323.26/386.66*276.23+-43.68730.44+685.17,685.17-775.73741.19312.1133.74+///25.77827.99-662.26-765.44-75.17+*-**+730.44-43.68276.23386.66-323.26//*+,True
+-662.28+*+-665.65-977.4/-729.82*-56.03--207.37-363.89-+-407.79+692.18-715.17/-940.81*231.93-808.63*-80.84,-80.84-940.81715.17692.18-407.7978.61-662.28+++--363.89-207.37-56.03-729.82977.4-665.65+-/*-+-/*-808.63231.93*,False
+927.02*917.77+-752.63*-614.09+73.39+-851.45/927.08*-72.21391.88+-443.4+-618.09-//+-579.05+-631.41985.94,985.94-631.41-579.05-614.09-752.63917.77927.02+*+*+//391.88-72.21927.08-851.4573.39++/*794.46-618.09-443.4+++,False
/-975.7/-247.36*673.18*-27.75/406.38/-792.89-149.02+-52.51--415.44*515.95/-953.46*646.02-443.1-653.77669.25,669.25653.77443.1646.02-953.46515.95-415.44-52.51149.02-792.89406.38-27.75673.18-247.36-975.7//**//-+-*//--,False
/160.76+/+-385.56*-34.14+-205.47*-758.18-890.28*+-41.44*780.81-653.55+-571.3*667.5-372.29+-642.4-182.27,-182.27642.4-+-372.29667.5-571.3653.55780.81-41.44+*-890.28-758.18-205.47-34.14-385.56+/-456.13160.76/*+**-+*,False
/976.59--541.81*-207.48*-481.77/402.54/-315.65+-630.53-755.79*-435.17+-955.45--218.75*-740.99*-862.47730.28/841.05,841.05-218.75-955.45435.17-*-755.79-630.53-315.65402.54-481.77-207.48-541.81976.59/-**//++-/730.28-862.47-740.99**,False
-60.8/682.39*-947.67*260.52+259.16*-13.84+286.62*687.71-864.06/+-898.23+707.85+719.48-781.84/-819.31438.0,438.0-819.31781.84719.48707.85-898.23-947.67682.3960.8-/*+/-864.06687.71286.62-13.84259.16260.52*+*+*++-/,True
*-366.95/224.51/98.41+-87.42+-551.34-377.3/292.16+-994.88+-497.06*436.13*202.75+293.88+-69.53-393.75-873.84,-873.84393.75-69.53293.88202.75436.13-497.06-994.88292.16377.3-551.34-87.4298.41224.51-366.95*//++-/+++*++-,False
*798.62*433.5*476.81*-637.28/709.09*-476.6974.07+-378.27/704.49*-494.98*216.43*704.56*-86.77709.59/971.8,971.8476.81433.5798.62***/709.59-86.77704.56216.43-494.98704.49378.27709.09-637.28*/-+974.07-476.6*/****,True
+-199.36-596.92*-687.05-261.66*+-431.28370.46*+-57.77+-777.89/165.32/-524.7*814.8*100.89/904.95/-148.71756.36,756.36-148.71904.95100.89814.8-524.7165.32-777.89-57.77-199.36++*370.46-431.28596.92-+*-261.66-687.05*+//**//,True
-160.78/-327.79-776.59/-935.41*962.92--119.1/-835.47*437.06--478.49*-755.44--168.75+687.82--560.25938.37+-943.45,-943.45-478.49437.06-835.47-119.1962.92-935.41776.59-327.79160.78-/-/*-/*-*938.37-560.25687.82-168.75-755.44*-+-,False
--937.09--66.11+237.1--505.79-726.24+847.24*665.67/24.55--769.8958.33//-983.59*-349.96/-762.14--818.39-982.6,-982.6-818.39-762.14-349.96-983.59-505.79237.1-66.11-937.09--+-//958.33-769.824.55665.67847.24726.24-+*/-*/-,False
+134.88--802.0/714.41--769.2-618.72+-190.34+942.53/-477.38/-643.42*232.84*-513.33-545.01*-65.43+-340.87/895.07,895.07232.84-643.42-477.38942.53-190.34618.72-769.2714.41-802.0134.88+-/--++//*/*-545.01-513.33*-340.87+-65.43,True
-270.24--25.3*-92.54*-628.53-50.46867.57/*-339.82+352.16*-222.94+-732.22*189.37-728.64-415.59796.48*587.29,587.29415.59728.64189.37-732.22-222.94352.16-339.82-25.3270.24--*/867.5750.46-628.53-92.54**-+*+*--*796.48,True
*740.5*186.58/-877.88-397.63-987.64/422.43+-543.2/-86.75-101.43/180.94+-820.59*-505.7/414.95*144.62711.27,711.27144.62414.95-505.7-820.59180.94101.43-86.75-543.2422.43987.64397.63-877.88186.58740.5**/--/+/-/+*/*,True
