Original,Perturbed,Is_Equivalent
-520-658*-263/622-171/-,-/*-520-658-263/622-171,True
-61782*744773/-228-+,+*-61782-/744773-228,True
-561-474*592--160160*-,--+-561-474592*-160160,False
544-875*63+683/-215+,+/**544-87563683-215,False
828356*591-646*889+/,/*828356+*591-646889,True
-778683-368461-54*-+,+--778-256-368*461-54,False
-735-68*-89*363+-696-,-+**-735-68-89363-696,True
674-865*986+209-99-,--+*674-86598620999,True
-47-32*-660/-251664/-,-/*-47-32-483/-251664,False
349884--691+801+499-,-++-349884-691801499,True
774-440*650*651+716-,-+**774-440650651716,True
800207*700-21*377//,**800207/*700-21377,False
-14-419690696452/*+*,*-14+-419*690/696452,True
781-567-644619/541*--,-781--567*/-644619541,True
161-53-139-728117//-,--161-53/139*-728117,False
901-409-914/-890+-483--,-901-+/-409-914-890-483,True
-965-829*264-247**632*,***-965914*264-247632,False
648604460/--824846/+,+-648/604460/-824846,True
-530-580885/-579/820/-,--530/-/-580885-579820,False
137-255*967-518643*/-,--137-255/967*-518643,False
-542743/295/611*680+,+*//-542743295611680,True
1778384*112/+-717-,-+17/*78384112-717,True
-11181/13571*+-254+,++/-11725*13571-254,False
509-189/943*845--174+,+-*/509-189943845-174,True
-749-859+835/200-480*-,-/+-749-859835-200-480,False
480340/-809409/177*-,-/480340*/-809409177,True
123-428+190793/+362-,-+*123-428/190793362,False
-243348-741356/-450/+,+--540348//741356-450,False
293-882*401690+/-397/,//*-133-882+401690-397,False
-650253+171722/+-16+,+++-650253/171722-16,True
-425-963*-302-672160-+,+-*-425-963-302-672160,True
-165-491*-798/249291*+,+/*-165-491-798*249291,True
-190-576-818546*670-*/,/-190*-576-*-818546670,True
488751*-656+382726/-,-+*488-802-656/382726,False
-227-882*900-432/701+/,/*-227-882+/900-432701,True
289-953957+--254-535/-,--289+-953957/-254-535,True
901-566506-736+*867+,+*901+/-566506736867,False
-958-916--226885*--387-,----958-916*-226885680,False
876619916-879/884/*+,+876*619//916-879884,True
242789915/-776+-310-,-+-242/789915776-310,True
-364434848*+340+479-,-++-364*4346340479,False
-405-882/219769/-363/,--/-405-882/219769363,False
74636+-378650++63+,+++74636+-37865063,True
-627271+703-164334*/-,-+-627271/703*-164229,False
205530*-103--971-227*-,--*205530-103*-971-227,True
-872427410/-817688-*-,--872*/427410--817688,True
666-637-764/784/+-512-,-+666//-637-764784-512,True
446-111/-653-959/-217/+,+/446-111//-653-959-217,False
328-954--58-447/-805-,---328-954/-58-447805,True
679263*71*-856*349/,/***67926371-856349,True
