Original,Perturbed,Is_Equivalent
-93-88*-6327*57*+,+*-93-88**-632757,True
653*82--88-80-+,+-*65382--88-80,True
-92-8*0*-86/-8/,//**-92-882-86-8,False
14603864*62+--,-14-60+*386462,True
-46-13--299/-38-+,+--46-13-/-299-38,True
09*36*95*39+,+***09369549,False
-2360+-96-15*-62-,--*-2360*-96-1562,False
-6393+-9920/+-25-,-++-6393/-9920-25,True
-80-97-67+-1-88+,+-+--801067-188,False
590-13--674---,-59-*0-13--674,False
0-77/22/2189/+,+//0-7722/2189,False
-16-57/-85/96-43-,--//-16-57-859643,True
-71-89-89*+87-97*-,-+-71*-89-89*87-97,True
-62-10+3643/41*-,-+-62-10*/3643-87,False
70-40/21*34*-17+,***/70-402134-17,False
-892348-1*77**+,+-89*23**48-177,True
687*68-68-20*-/,/*7587-68*-68-20,False
-57-17*-34-13-61/*/,/*-57-17*-34/-13-61,True
4090*-68*75/-67*,*/**4090-6855-67,False
815-1082-40+--*,*81-5--10+82-40,True
1-77--1-16*63*+,+-1-77**-1-1663,True
-724/38*-64-58*+,+*/-72438*41-58,False
-3499/45--4+9-,-+-/-349945-49,True
22-32/-17/2665/-,-//22-32-17/2665,True
-613471*--60-16+,+---61*3471-6016,True
2721-81/-784*-,--27/21-81*784,True
0-38*-704289//*,-*0-38/-70/4289,False
-57-55/-82*-36/6+,+/*/-57-45-82-366,False
-824*14-72-61**+,+*-824*14*-72-75,False
-948-27*-9992/++,+-9+*41-27/-9992,False
9175-12097++/-,-91/75+-1*2097,False
-474239/+92+-17+,+++-47/423992-17,True
6247/21/-7-95/+,+//624721/-7-95,True
-3224+68-3032-+,+-+-322468-3032,True
1811/2986*+-44+,++/1811*-5086-44,False
-3393-51-38-71*+-,-60+-93-51*38-71,False
66-9-5527-44+*-,--66-9*55+27-44,True
-3565/-91/87-82/-,-//-3565-91/87-82,True
85*33--6819--,--*8533--6819,True
7465*8-25*59//,/*7465/*33-2559,False
-6869-2299*23*-,---7269**229923,False
-63-44-8-2/--75+,+---6388/8-2-75,False
4774/-60+3155++,++/4774-60*3155,False
-8822+65+73+-59-,-+++-8822657338,False
847977-7686*-*,*84--7977*7686,True
-14-61/3694-3+/-,-/-14-61/36+94-3,True
-12-35/-87--84-37*-,--/-12-35-87/-84-37,False
-30-47/7083-3-*+,+/-30-47*70-83-3,True
-586164/+-98-85+-,-+-58/6164+-98-85,False
3293*37--78-39+,+--*329337-5139,False
-561683/-91*-11-,-*/-56/168391-11,False
7220-45--6+13-,----722045-613,False
-65-34/-93/6726-*,*//-65-34-93-6726,True
-1856+60-7/-18/+,++-1856//60-7-18,True
-1968/67-36-32-/+,+/-1968/70--36-32,False
-1562*86/26*-10-,-*/*31628626-10,False
-122027/45*93+-,--12/*/20274593,False
-5867-64+72-5*+/,/-58++67-64*72-5,True
-997658-27-62*+++,+-99+76+58*-2760,False
-46-7*58/34/-69-,-//*-46-75834-69,False
-352937/6/--98+,+--35//29376-22,False
-36-67/-30*99-31+/,/*/-36-67-30+-42-31,False
-6324*24*84+80+,++**-6324248480,True
-10-37-40/11+35-/,/-10-+/-37-401135,True
1853/-99*46+-83-,-+*/1853-9946-83,True
-79-49/-27/-3--41-,--//-79-49-27-3-41,True
3081+-1-19-69---,-+3081+-1--19-69,False
88-17-76/-91+67+/,/88++/-17-76-9167,True
65-64-100/-69/-1-,--65//-64-100-691,True
56-6725+-2621*/-,-56/+-6725*-2621,False
-99-7-32+25-73**-,--99-+-7-32*25-73,False
-18-87-21-41*-12/+/,/-18+-87-*-21-41-12,False
-575865*/-33/-6/,///-57*5865-33-6,True
-99-21*92-88-*-81+,+**-99-21-92-88-81,True
30852*75-78+--,-30-*852+75-78,True
-18-11/96/-90*38/,/*//-18-1196-9041,False
6136-4-93*-7/--,-61-36/*39-93-7,False
-89-98-42/21/-29/-,--89///-983921-29,False
-533739/--81-70*+,+--53/3739*-30-70,False
-67-70--9315*-33/+,+--67-70/*-9315-33,False
7090+-66+70-43/-,-++7090-66/70-43,True
605/-76-90/10+-,-/605+--76-9010,False
7956/18*47*15/,/**/7956184715,True
441073/+-89-57+-,-+44/1073+-89-57,True
-734112*73/--47-,---73/*413773-47,False
18-84/-54/98+-89-,-+//18-84-5498-89,True
-99-56--58+-6+15+,+++--99-56-58-615,True
2225*88/44/-42-,-*/*22258844-42,False
99-9195/46*59*-,-99**/-91954659,True
4558/-42/35/43/,////-6758-423543,False
-4-39-81*-56-68-*+,+-4**-39-81--56-68,True
282424-39-94*-//,/28-24-24*-39-94,False
-25-66/44/-24*58-,-*//-25-6644-2458,True
1184/-69/-18-79+,+-//1184-69-1879,True
52-65*-53/83--91-,--/*52-65-5383-91,False
-59-67--69+34-33/-,-+--59-67-69/17-33,False
-9188-87*+754/-,-+-91*88-87*754,False
-55-97/-9651/-31-,--/-55-97/-965131,True
795046/25*63*/,/79**/50462563,True
-9125-9711*-+56+,++-91-25*-971156,True
