Original,Perturbed,Is_Equivalent
81-85-46*61/--97-52/-30/-56-48+-86-,-+---81/*-85-4661//-97-52-305648-86,True
71-27-5417*14/+16--50--237*+-11-,-+--+-71-27/*54171416-50*-237-11,True
9117-66+/47-40/+47-10*-25/29*-42-,--+/91+17-66/47-40*/*47-10-252942,True
-99-14-94--7-17*46/-66/-74/-84*-90/-,----99-1494/*///*-7-1746-66-74-84-79,False
72-89/49/50-28/5634+-9-*-76*-11+,+-//72-8949**/50-28-+5634-9-7611,True
-309-31+42+63-58/+1681/-77+-37+,++-+++--309-9342/63-58/168177-37,False
13-63-11--97--99++-4098*-62/-9348//+,++13+---63-11-97-99//*-4098-62/-9348,True
51-66-53-47/72-78/14-5032/2*--***,*51*-66*/-53-47-/72-78-14*/-50322,True
2423*-2*19+6865*17/45/+-2014-+,+++**2423-219//*68651745-2314,False
-99-99-14/-6875/-/-72-21/--7412/55/+,+-/-99-/-99-14/-6875/-72-21//-741255,True
653-12*+27-55*71*+26+12-94*-60*-,-+++6*53-12**27-557126**12-94-60,True
32-63/17/2/-7131-41/++-51-73*-1*-,-+///32-97172+-71/31-41**-51-73-1,False
-31-4377*32--75596727/28*-/-*-,--31*-4--*37732/-75-59*/672728,True
-25-12/40*52/72-6814-43-72*+*-86/-,--/*/-25-12405272/*68+14*-43-72-86,True
41-894*-40/13*-66-68-*--7+-55-68/-,-+-41**/*-894-4013--66-68-7/-55-68,True
-5966-349*-75/-26*+-40-56/76/-57/-+,+28-+66*/*-349-75-26///-40-5676-57,False
998-3028*-2*-1-94-5769/-51**-/-*,*99-8/**-3028-2--1*95*/-5769-51,False
-4995+95+-404180/-59*+380/-9*-+,+++-499595-+95*/4180-59*/380-9,False
-16-695+8727+69+-67-74*-22*+71++-,--16++-695++++872769**-67-74-2271,False
1513/75-27-13--58-62/-4415/-28+*+-,--/151375+-27-13*/-58-62+/-4415-28,True
-10-45/54-6043/--71+-36+7680*25-+,+++--/-10-4554/6043-71-36-*7680-8,False
-70-54*-370/-26/23*-9/4461/-28**/,/*-70-54*/*/*-370-2623-9*/4461-28,False
-2586-21/17+388191-33+60-21+*-*,*-25-+/86-2117*38+-+-8191336021,True
62-95+83-26/--32--41--54-89/98*+2+,++---+62-95/83-26-32-41*/83-89982,False
8432*-2-95*77*/70/-45/-46+40-92+,+-+///*8832**-2-957770-45-464092,False
-76-10/79-43/-3017*96-23-7371+*-/-+,+/-76-10//79-43/*-3017-96*-23+-7371,False
7452-72/+7666-1*+4225-70/3//-+,++74/52-72-+76*66-1/42//25-793,False
54-73*-35+44--2522*12*-21*--39+-23+,++--+*54-73-3544***-252212-21-39-23,True
-6280*-58/40/26+-26-76*+-79-94/-68/-,-++//*-6280834026*-26-76//-79-94-68,False
-3786*31-27*+1370/36*+1994*-25*+,+++*-3786*31-27*/137036**19-38-25,False
-75-74*-48/-86+96-54*+-7473*--47-68-,---++/*-75-74-48-86*96-54*-7462-4768,False
-92-3974-30+89-30-53/-/-35+-49*-45+,+*//-92--+--39743089/30-53-35-49-45,False
-33-86*20-52*-6/79/*-40-6/+93-42--,-++*-33-86//*20-52-679/-40-6-93-42,False
-421--9898---32-5*15*-4252/-79-/-,----421--9898/**-32-515-/-4252-79,True
8952+9611/-4314-28/-37-30-54*--*-,-+8965*/9611--43--/14-28-37*30-54,False
-8411*-75--85--42-58/-9*85*68/-6+,+---*-8411-75-85/**/-42-58-985686,True
7457/-99/11/-29+-79/-37/-93--27-39*/,+-//+///7457-9911-29-79-37-93*-27-39,False
-9674*-72/-15/-11+317*+-15+19-10*+,++++//*-9674-72-15-11*317-15*19-20,False
8-13/46-49-936+*-7094/+-16-80/+-,-/8-13++-46*-49+2936/7094/-16-80,False
-7617--86--41-2**-51-82*-43*+65-32*+,+++---7617-86*-41-2**-51-82-43*65-32,False
-27-3-99-66-77+--9597*14/74/-2*+,+--27+---3-996677*//--95971474-2,False
70-80+5631+-1+113640/99*+-71/-+,++70-80-++5631-1/+11*/364099-71,True
-29-94-53*+73-76/-48--72*-78/51*+75+,+++-29*-94-53*/*//73-76-48-72-785175,False
-89-50+-87-89413-46+/-8*+2-93-,--+-*-89-50-87*/89+-41346-8293,False
-88-7025*--2848/-1/--36-22*--29-92/-,-----88*-7025//-2848-1*-36-22/-29-92,True
29-8/-1+-7836/-37/-13*-60+91*1/-,-+/29-8-1/*/*//-7836-37-13-60911,False
-77-8837-368*58*--3632*-45/-27*++,+-77+---8837**36858*/*-3632-45-27,True
625*-1-58*-87/94/-79/-27*-76*-58+,+-*625**///*-1-58-8794-79-27-7658,True
8862*777229*17*-5329*42*+60+*-,-*8862*77++**722917**-53294260,True
-35-92/-61/9187*-3511/--9166/-36/+,+--//-35-92-61*9187/3511//-9166-36,True
24-5+35-89-95*7/+-37--8/+-73-66*,+-++24-5/-+35/*-89-957-37-8-7366,False
16-44*-54--57+-1360*+99--41--6785*+,+--++-*16-44-54-57*-136099-41*-6785,True
9072/45-71*-8*24*-6*-76-4183*+*-,-/9072*****45-5-824-6+-76*-4183,False
29-78+-81+-218/--64-55*+-72-11/30*+,++-++29-78-39/-218*-64-55*/-72-1130,False
-9-70/895+-33/2665*-81+-99+-80-*+,+/-9-70*/+895-33-++*2665-81-99-80,True
-98-93-31*-40-58+/--89+49+-2+-46-35++,++++--98/*-93-31+-40-58-8949-2+-46-35,True
