Original,Perturbed,Is_Equivalent
- 0.03 + 0.37 / -0.64 * 0.35 / -0.76 / 0.63 - 0.93 * -0.02 -0.26,0.03 - 0.37 + -0.64 / 0.35 * -0.76 / 0.63 + 0.93 - -0.02 * -0.26,False
- 0.37 / 0.04 * -0.52 * 0.88 * -0.94 / 0.74 * -0.61 + -0.61 0.48,0.37 - 0.04 / -0.52 * 0.88 * -0.94 * 0.74 / -0.61 * -0.61 - 0.48,False
* 0.56 / 0.3 - -0.11 - 0.25 - 0.99 / 0.29 * 0.54 * 0.08 0.74,0.56 + 0.3 / -0.11 - 0.25 - 0.99 - 0.29 / 0.54 * 0.08 * 0.74,False
- 0.21 + -0.45 + -0.02 * -0.91 - 0.17 + 0.7 - -0.83 - 0.59 -0.78,0.21 - -0.45 + -0.02 + -0.91 * 0.17 - 0.7 + -0.83 - 0.59 - -0.78,True
/ 0.11 / 0.66 - 0.29 / -0.83 * 0.47 - -0.32 + -0.85 + -0.95 -0.82,0.11 / 0.66 / 0.29 - -0.83 / 0.47 * -0.32 - -0.85 + -0.95 + -0.82,True
+ -0.55 / -0.17 - -0.78 / -0.92 * 0.74 * 0.36 - 0.68 - -0.29 -0.19,-0.55 + -0.17 / -0.78 - -0.92 / 0.74 * 0.36 * 0.68 - -0.29 - -0.19,True
* 0.04 + 0.19 - 0.26 - 0.2 - -0.94 - -0.49 + -0.72 * 0.44 0.21,0.04 * 0.19 + 0.26 - 0.2 - -0.94 - -0.49 - -0.72 + 0.44 * 0.21,True
+ 0.51 + 0.13 - 0.89 + 0.14 + + * 0.69 - 0.02 - 0.55 -0.22,0.51 + 0.13 + 0.89 - 0.14 + 0.28 + 0.69 * 0.02 - 0.55 - -0.22,False
/ 0.66 * 0.71 / 0.59 * 0.72 * -0.73 + 0.45 / 0.28 + 0.48 -0.08,0.66 / 0.71 * 0.59 / 0.72 * -0.73 * 0.45 + 0.28 / 0.48 + -0.08,True
/ 0.08 + -0.85 + 0.21 - -0.92 * 0.28 - -0.8 - 0.96 - 0.38 0.96,0.08 / -0.85 + 0.21 + -0.92 - 0.28 * -0.8 - 0.96 - 0.38 - 0.96,True
