Original,Perturbed,Is_Equivalent
31 -28 + 35 -9 * -6 / -19 * 30 / + 24 -7 / +,31 + -28 + 35 * -9 / -6 * -19 / 30 + 24 * -7,False
9 -15 39 / -11 * 45 * - 26 + -25 7 / -8 * +,9 - -15 / 39 * -11 * 45 + 26 + -25 / 7 * -8,True
8 9 -39 / + -42 + -15 -9 / - -14 -45 / 0 * -,8 + 9 / -39 + -42 - -15 / -9 - -14 / -45 * -45,False
6 26 / -32 * 16 - -6 33 * - 7 + -2 - 27 +,6 / 26 / -32 - 16 - -6 * 33 + 7 - -2 + 27,False
-33 -30 + 18 5 * 16 / - -31 23 / -26 / - -27 +,-33 + -30 - 18 * 5 / 16 - -31 / 23 / -26 + -27,True
19 -10 + 9 - 34 - 44 + -10 41 * - -29 44 * -,19 + -10 - 9 - 34 - 44 - -10 * 41 - -29 * 44,False
16 -44 / -28 + 29 -12 / -12 / + -35 -1 / - 27 +,16 / -44 + -28 + 29 / -12 / -12 - -35 / -1 + 27,True
-37 24 * 6 - -27 - -15 + 1 + 4 30 * -21 * +,-37 * 24 - 6 - -27 + -15 + 1 + 4 * 30 * -21,True
-37 -37 -8 * 24 / + -26 - 15 -41 / - -47 -5 * -,-37 + -37 * -8 / 24 - -26 - 15 / -41 - -47 * -5,True
-30 -25 30 * - -14 31 * - 17 41 / -33 * 8 / +,-30 - -25 * 30 - -14 * 31 + 17 / 41 * -33 / 8,True
-2 46 1 * - -1 - 40 -15 / + -28 + 5 17 / +,-2 - 46 * 1 - -1 + 40 / -15 + -28 + 5 / 17,True
-46 4 27 * 17 / 25 * 33 * + 22 - 16 + -45 -,-46 + 4 * 27 / 17 * 25 * -1 - 22 + 16 - -45,False
3 -25 * -12 -30 / 14 / -13 / -3 / 38 / - 14 +,3 * -25 - -12 / -30 / 14 / -13 / -5 / 38 + 14,False
3 6 -15 * + -36 33 * + 36 - -39 - 25 -10 * /,3 + 6 * -15 + -36 * 33 - 36 - -39 + 25 * -10,False
-28 37 15 / -25 / -8 * + -39 - 25 29 * -46 / /,-28 + 37 / 15 / -25 * -8 - -39 + 25 * 29 / -46,False
-35 41 12 / -9 / + -6 -41 / -6 / - 19 - -7 -,-35 + 41 / 12 / -9 - -6 / -41 / -6 - 19 - -7,True
18 23 / 3 -27 / -1 / -13 * - -4 -49 / -30 * -,18 / 23 - 3 / -27 / -1 * -13 - -4 / -49 * -30,True
33 -18 + 0 + -9 + -24 29 - 4 / + 49 + -28 +,33 + -18 + 0 + -9 + -24 / 29 / 4 + 49 + -28,False
-8 21 / 46 / -24 * -13 -20 / / 21 - -9 + -12 -,-8 / 21 / 46 * -24 + -13 / -20 - 21 + -9 - -12,False
-33 -25 * 31 -3 / -22 * - 25 - 3 - 23 -16 * +,-33 * -25 - 31 / -3 * -22 - 25 - 3 + 23 * -16,True
-35 38 * 13 * -31 * -32 + 36 37 / -22 / 47 / -,-35 * 38 * 13 * -31 + -32 - 36 / 37 / -22 / 47,True
16 -9 / -34 / -17 / 28 9 * + 2 - -43 25 / +,-49 / -9 / -34 / -17 + 28 * 9 - 2 + -43 / 25,False
13 -31 * -49 - -10 -48 / 31 * + 20 - 32 - -15 +,13 * -31 - -49 + -10 / -48 * 31 - -18 - 32 + -15,False
14 -14 - -19 * -19 / 5 + 47 -50 * 8 / 37 * +,14 * -14 * -19 / -19 + 5 + 47 * -50 / 8 * 37,False
-14 -31 / -19 36 / - -16 + -45 - 18 + -40 - -19 -,-14 / -31 - -19 / 36 + -16 - -45 + 18 - -40 - -19,True
-46 -26 / -1 * 20 * -1 + 5 + -46 + 42 + -18 -,-46 / -26 * -1 * 20 + -1 + 5 + -46 + 42 - -18,True
18 -20 / -15 * -13 / -24 + 17 32 * -11 * 2 * -,18 / -20 * -15 / -13 + -24 - 17 * 32 * -11 * 2,True
11 -50 / 1 * 47 - -19 -36 * + 25 - -50 -23 / -,11 / -50 * 1 - 47 + -19 * 14 - 25 - -50 / -23,False
-32 36 / 49 / 41 29 * - -9 + 14 35 / 8 * -,-32 / -40 / 49 - 41 * 29 + -9 - 14 / 35 * 8,False
32 -27 / -9 * 12 - -42 + -20 - 19 -36 / + -45 -,32 / -27 * -9 - 12 + -42 - -20 + 19 / -36 - -45,True
8 7 / -47 + -13 40 / + -44 + -21 + -41 36 * +,8 / 7 + -47 - -13 / 40 + -44 + -21 + -41 * 36,False
