Original,Perturbed,Is_Equivalent
8190*73-885/-7039/-35+50+44+,8190*73-885/-7039/-35+50+44+,False
411*2183*+17-96+82-637*23*-,411*2183*+17-96+82-637*23*-,True
9888*24+2141/99*-9191/+3659*+,9888*24+2141/99*-9191/+3659*+,True
7776/78-84+91-562/80*16*-67+,7776/78-84+91-562/80*16*-67+,True
2282/61*98*3611*+241/+185*-,2282/61*98*3611*+241/+185*-,False
9621*63*8725/+25+57+61+23-18+,9621*63*8725/+25+57+61+23-18+,False
534267*34/88*16*+2944*-74-54+,534267*34/88*16*+2944*-74-54+,True
367678/6-+53-1-8176/87/-87-,367678/6-+53-1-8176/87/-87-,True
2926-2177*-2475*+21-83-83+83-,2926-2177*-2475*+21-83-83+83-,True
8220+4256*41/16*+59*5-40+17+,8220+4256*41/16*+59*5-40+17+,False
8683/48*8562/-138*+95+76-48-,8683/48*8562/-138*+95+76-48-,False
114529/64*-332*48/16*86*81/-,114529/64*-332*48/16*86*81/-,True
6475+81-9912*-34-34-2189*95/+,6475+81-9912*-34-34-2189*95/+,True
9432*93/3357/6*-2772/+4363*-,9432*93/3357/6*-2772/+4363*-,False
983559-34*-118/78/32/+87+58+,983559-34*-118/78/32/+87+58+,True
441419/+754/94/17*97*+7569/-,441419/+754/94/17*97*+7569/-,False
5784*42*23*13*19/73/6987/+48-,5784*42*23*13*19/73/6987/+48-,False
2976+3086/10*+81-6153*+64+38+,2976+3086/10*+81-6153*+64+38+,False
5886/1573/68*-2348*45*33/-62-,5886/1573/68*-2348*45*33/-62-,True
731746*86*27/52*+45+12+24-46-,731746*86*27/52*+45+12+24-46-,True
552828*+7514*-92+16-6323/71*/,552828*+7514*-92+16-6323/71*/,False
5138*10+61-9685*72*-45*6476*-,5138*10+61-9685*72*-45*6476*-,False
408427/98*95*43*+34-2687*66/+,408427/98*95*43*+34-2687*66/+,True
4187/58*63*67-8827/+3259/35*+,4187/58*63*67-8827/+3259/35*+,False
4042-81+73-714/-20+4559/74*-,4042-81+73-714/-20+4559/74*-,True
608124*39*82*41*-5290/4*78*+,608124*39*82*41*-5290/4*78*+,False
338180*27/+83+3052*+5248/30/*,338180*27/+83+3052*+5248/30/*,False
679*49*9024*+88-2272*-9-16-,679*49*9024*+88-2272*-9-16-,True
3397+75-596*67/38/70*-5619*-,3397+75-596*67/38/70*-5619*-,False
937552/+424*97*86*-1091*66*-,937552/+424*97*86*-1091*66*-,True
36372*-18-7291-29/+7386*+70-,36372*-18-7291-29/+7386*+70-,False
8267*45*34/4*95/29-618/+83-,8267*45*34/4*95/29-618/+83-,True
985835*71*-36+95+72-96-3010/-,985835*71*-36+95+72-96-3010/-,False
606316/93/-23-81+8-49+10-77-,606316/93/-23-81+8-49+10-77-,False
8072*50/71-3427*23*4/50*65*+,8072*50/71-3427*23*4/50*65*+,False
8451*22*70*63*18/68*31-6010*-,8451*22*70*63*18/68*31-6010*-,False
1140-5642/36*65*7*+9552*95*+,1140-5642/36*65*7*+9552*95*+,True
7967+8249/-7225*/67+529*+19+,7967+8249/-7225*/67+529*+19+,False
755+2037-+80+481/88/+51+9-,755+2037-+80+481/88/+51+9-,False
6599-5693/2/-2-3257/35/85-/,6599-5693/2/-2-3257/35/85-/,False
4125/18*182/+48+113*+9385*+,4125/18*182/+48+113*+9385*+,True
9541*3399*89*60/+35+3050/27/-,9541*3399*89*60/+35+3050/27/-,False
5326+1484*40*-96-79+4-48+9-,5326+1484*40*-96-79+4-48+9-,True
6345+1856*+82-1-95-2178*+6+,6345+1856*+82-1-95-2178*+6+,False
739693/-23-98+74+40-30+96-70-,739693/-23-98+74+40-30+96-70-,True
847356/10/64/+91+68+8265/-18-,847356/10/64/+91+68+8265/-18-,False
324593/95*82*+6514*31/31-70*-,324593/95*82*+6514*31/31-70*-,True
4142*7249/+22-5082/-4677*42/-,4142*7249/+22-5082/-4677*42/-,False
5158*91-50+36+5242/16*66/-69-,5158*91-50+36+5242/16*66/-69-,False
1668+749/+7163/51*-93+79*/,1668+749/+7163/51*-93+79*/,False
113054*+428+9/71*99*+10+21+,113054*+428+9/71*99*+10+21+,True
157231*8/55*12/64*+40-232*-,157231*8/55*12/64*+40-232*-,False
1663-743/76/63/-1+8853/-13-,1663-743/76/63/-1+8853/-13-,False
12499*-99-20+5494*5*29*14/-,12499*-99-20+5494*5*29*14/-,True
168*8444/13/-5353*+45+5936*+,168*8444/13/-5353*+45+5936*+,True
221483*+34+51+43+3954*84/-31+,221483*+34+51+43+3954*84/-31+,False
9650-872/+364*+75/69-3380*-,9650-872/+364*+75/69-3380*-,False
772912/38/99/+85+4710*-11-71+,772912/38/99/+85+4710*-11-71+,True
314968/-44+5444*+979/-29-7-,314968/-44+5444*+979/-29-7-,False
7648*40-8951/76*29/93*50/+2-,7648*40-8951/76*29/93*50/+2-,True
4483/4419*-3693*88*-91-37-98-,4483/4419*-3693*88*-91-37-98-,True
120*94/7215/+9642/+89-36-30-,120*94/7215/+9642/+89-36-30-,True
2922/45*66/71*2485/-2342*+32-,2922/45*66/71*2485/-2342*+32-,True
4645*4473/59/-54+4293*-38-58-,4645*4473/59/-54+4293*-38-58-,False
207619/54/65/66/+1147*+1786*-,207619/54/65/66/+1147*+1786*-,True
1627+4657*14-35/-47-84-48+99-,1627+4657*14-35/-47-84-48+99-,False
2527*16/12-7+35+92+44+17-62-,2527*16/12-7+35+92+44+17-62-,False
2547*8185/49/+3-27+5521*32*+,2547*8185/49/+3-27+5521*32*+,False
3931*1552*40/11/17*94*64*+54+,3931*1552*40/11/17*94*64*+54+,True
4181/21-95+4+2840/92*+166/+,4181/21-95+4+2840/92*+166/+,True
6141*5632/80/-22+19-1914/45*+,6141*5632/80/-22+19-1914/45*+,False
6587+2733/22*69+98*-65+4193*-,6587+2733/22*69+98*-65+4193*-,False
4050/3/32*5670*15/25*12/+92+,4050/3/32*5670*15/25*12/+92+,False
855671*46*81/75*-17-7113/41*+,855671*46*81/75*-17-7113/41*+,True
631*41-8931/-46+83+47+6842*-,631*41-8931/-46+83+47+6842*-,False
5465-58+2+3967*-95-8-4036*-,5465-58+2+3967*-95-8-4036*-,True
747492/*90-7141/76/-38+7152*-,747492/*90-7141/76/-38+7152*-,True
485+5612*18**6641*-3659*-82-,485+5612*18**6641*-3659*-82-,True
7124/26/8324/30*11*22/28*+45+,7124/26/8324/30*11*22/28*+45+,False
337+6434*-6284*4/-70-78-65-,337+6434*-6284*4/-70-78-65-,True
7191/-45-8395*1/-6612/74*+,7191/-45-8395*1/-6612/74*+,True
52753-67/+9261/+8822*23*-34+,52753-67/+9261/+8822*23*-34+,True
169*81/68+2+41-1892*10*70*+,169*81/68+2+41-1892*10*70*+,True
2342/59/11*96/11*28/62+95-35+,2342/59/11*96/11*28/62+95-35+,False
772353*78/-71-6498/78/55*-32+,772353*78/-71-6498/78/55*-32+,True
922875/4/+8187*10*-8+4735*+,922875/4/+8187*10*-8+4735*+,True
364362/-6137*82/-44+28+98-44+,364362/-6137*82/-44+28+98-44+,False
1562/78*1342*-3922*73*66/90*-,1562/78*1342*-3922*73*66/90*-,True
612*34-35+96+22-84+8893*79*+,612*34-35+96+22-84+8893*79*+,True
57-11-5029/-4316*-29-3657/-,57-11-5029/-4316*-29-3657/-,False
188/91-51-3118/68/+29-55-59-,188/91-51-3118/68/+29-55-59-,True
241*65-935/-73-8431/+2054*+,241*65-935/-73-8431/+2054*+,False
489868/92*+1257-+76-628/+40+,489868/92*+1257-+76-628/+40+,False
1952/98-8092/81/+898/-49-6-,1952/98-8092/81/+898/-49-6-,True
20839*+1038/+4980/48*+6527/+,20839*+1038/+4980/48*+6527/+,False
6413-45+8533/91*31//7595*55*+,6413-45+8533/91*31//7595*55*+,True
273/1652+48/+8957*-57-590*-,273/1652+48/+8957*-57-590*-,False
953+13-40-5550/28*+9660*+24+,953+13-40-5550/28*+9660*+24+,True
2827/2889/99/66/+1247/6/-40+,2827/2889/99/66/+1247/6/-40+,False
1597+1399*-6240/+60-55+574/+,1597+1399*-6240/+60-55+574/+,False
896+28+819*+331*70/72/-63+,896+28+819*+331*70/72/-63+,False
4053/28-7522*13/32*+24-5060--,4053/28-7522*13/32*+24-5060--,True
327737/+43-62-8265/34/28*+7-,327737/+43-62-8265/34/28*+7-,True
227+82*13+85+48-32-3-29+36+,227+82*13+85+48-32-3-29+36+,False
7880-5-50+1395/4*/5874*+26+,7880-5-50+1395/4*/5874*+26+,False
235/40*58/42-96-4243/+4466/+,235/40*58/42-96-4243/+4466/+,True
882/42/75*82*8023*-2865*-98-,882/42/75*82*8023*-2865*-98-,True
3531/51*5061*-2685/42/+87-55/,3531/51*5061*-2685/42/+87-55/,False
23238/7/+3356*27*+987/-56-,23238/7/+3356*27*+987/-56-,True
6941/52/87/90*26*5732/-97-13-,6941/52/87/90*26*5732/-97-13-,False
9373+5264*12*23*-1498-+14-95+,9373+5264*12*23*-1498-+14-95+,False
4110/87/96/9482/+74-815*+9+,4110/87/96/9482/+74-815*+9+,True
273+1271--2117*78*80*18/-68-,273+1271--2117*78*80*18/-68-,False
3094-1315*+2961/45/-2336/-98-,3094-1315*+2961/45/-2336/-98-,True
6822*7180/-7889/16/+1174/17*+,6822*7180/-7889/16/+1174/17*+,True
142328*-369*+5089/+16+20-10-,142328*-369*+5089/+16+20-10-,False
804*94/9850*+7941/19/+24+86-,804*94/9850*+7941/19/+24+86-,False
6199*36+11+19-52-9-76+1419*+,6199*36+11+19-52-9-76+1419*+,True
5545*93*51/52-5+589/+1063/-,5545*93*51/52-5+589/+1063/-,False
361144*30*7*9/+55-85-2745--,361144*30*7*9/+55-85-2745--,False
8176*40-90+7-97-43-8958*-68-,8176*40-90+7-97-43-8958*-68-,False
354*5/62/31+3075*72*23*-78+,354*5/62/31+3075*72*23*-78+,True
7095/27*62-33+68+30+56+275/+,7095/27*62-33+68+30+56+275/+,True
239*77/26-8580*18/61*97*+32+,239*77/26-8580*18/61*97*+32+,True
342732*51*-95+79-7-786/17/-,342732*51*-95+79-7-786/17/-,False
954927*15*2*-89-7590/81/+70-,954927*15*2*-89-7590/81/+70-,False
9835*22/62-7425*-6936*-40-28-,9835*22/62-7425*-6936*-40-28-,True
4657+3+37-92-5-8214/+9078*+,4657+3+37-92-5-8214/+9078*+,True
7220*4235*-30-2480*69/-3168/-,7220*4235*-30-2480*69/-3168/-,False
3235/67/55*1*41+65+14+9910*+,3235/67/55*1*41+65+14+9910*+,True
