Original,Perturbed,Is_Equivalent
-51 -105 / 952 / -565 -58 * - -642 488 / - 712 - 146 - 917 -794 * 303 / + 835 800 * + 696 +,-51 -105 / 952 / -565 -58 * - -642 488 / - 712 - 146 - 917 -794 * 303 / + 835 800 * + 696 +,True
-389 388 * -224 -854 / -964 * 757 / + -426 -838 * -486 * -586 / - 705 - -785 + 238 -82 / -341 / +,-389 388 * -224 -854 / -964 * 757 / + -426 -838 * -486 * -586 / - 705 - -785 + 238 -82 / -341 / +,True
-583 -385 + -817 -489 / - -364 + 93 + -769 + -50 - -365 - -6 -653 * - 468 163 / 793 * -449 / -,-583 -385 + -817 -489 / - -364 + 93 + -769 + -50 - -365 - -6 -653 * - 468 163 / 793 * -449 / -,True
-456 -312 -539 / + -213 - -904 + -357 671 * - 849 -601 * - 44 310 / + 503 + 455 653 / - 433 +,-456 -312 -539 / + -213 - -904 + -357 671 * - 849 -601 * - 44 310 / + 503 + 455 653 / - 433 +,True
360 -97 + -821 -923 / - -623 + -25 + 75 + -867 664 * -116 * 114 / 503 / + 226 0 * - 311 -,360 -97 + -821 -923 / - -623 + -25 + 75 + -867 664 * -116 * 114 / 503 / + 226 0 * - 311 -,True
510 876 - 894 - -809 + 760 - 285 -99 * + 893 - -80 + 450 186 * - -471 366 * -703 / -5 * -,510 866 - 894 - -809 + 760 - 285 -99 * + 893 - -80 + 450 186 * - -471 366 * -703 / -5 * -,False
695 -268 298 / 145 * -523 * - -298 168 / - 557 + -501 + 123 -915 * -25 * 328 / + 108 - 204 +,695 -268 298 / 145 * -523 * - -298 168 / - 557 + -501 + 123 -915 * -25 * 328 / + 108 - 204 +,True
-701 -855 / 332 226 / -365 / 101 * -879 * 755 * -520 / -314 / 375 * - -483 - -664 -748 * - 142 +,-701 -855 / 332 226 / -365 / 101 * -879 * 755 * -520 / -314 / 375 * - -483 - -664 -748 * - 142 +,True
91 711 * 155 - 257 - -95 - -130 - 201 211 - 352 * 964 / - 736 - 400 + -188 + -621 + 80 +,91 711 * 155 - 257 - -95 - -130 - 201 211 * 352 * 964 / - 736 - 400 + -188 + -621 + 80 +,False
248 -111 - -975 716 / 528 * - 102 -878 * -258 / + -911 -97 * - -437 + 855 967 / + 52 + -724 -,248 -111 - -975 716 / 528 * - 102 -878 * -258 / + -911 -97 * - -437 + 855 967 / + 52 + -724 -,True
737 244 * 523 / 573 + -447 - 570 + -521 - 225 - 493 - 26 - 243 - 233 - 318 - -177 + 275 -,737 244 * 523 / 573 + -447 - 570 + -521 - 225 - 493 - 26 - 243 - 233 - 318 - -177 + 275 -,True
-792 253 * 667 - 187 + -848 + -330 -726 / + -758 -249 * + -515 - -807 26 * -119 / 995 / 25 / -,-792 253 * 667 - 187 + -848 + -330 -726 / + -758 -249 * + -515 - -807 26 * -119 / 995 / 25 / -,True
875 -916 / -728 * 371 + -673 + 932 - -896 - 976 -257 * 692 * -829 / 759 / 149 * -163 / 34 / +,875 -916 / -728 * 371 + -673 + 932 - -896 - 976 -257 * -381 * -829 / 759 / 149 * -163 / 34 / +,False
-985 701 -160 / -292 / -888 * - -255 -41 / 639 * 28 * + 747 -409 / -694 * + -446 - -299 + 996 -,-985 701 -160 / -292 / -888 * - -255 -41 / 639 / 28 * + 747 -409 / -694 * + -446 - -299 + 996 -,False
434 122 976 / + 879 982 / - 62 -716 / - -489 219 * + -398 -663 / + -59 -559 / + 380 -251 * -,434 122 976 / + 879 982 / - 62 -716 / - -489 219 * + -398 -663 / + -59 -385 / + 380 -251 * -,False
-500 -175 * 656 - -251 - -261 9 / 114 * 911 / + -894 + -586 + -532 + 466 146 * + -596 + -551 -,-500 -918 * 656 - -251 - -261 9 / 114 * 911 / + -894 + -586 + -532 + 466 146 * + -596 + -551 -,False
