Original,Perturbed,Is_Equivalent
-523-789522*+-824--900+-793111/-381*291*-712+,-523-789522*+-824--900+-793111/-381*291*-712+,False
608-731/337-299/331*455*616/+948-926/-406*-,608-731/337-299/331*455*616/+948-926/-406*-,False
-871145/350-789-328761*-937/350/-17*+434+,-871145/350-789-328761*-937/350/-17*+434+,False
-779-846*989-745/-524*-955/-742/-79/+-959+-825-,-779-846*989-745/-524*-955/-742/-79/+-959+-825-,False
707566/36*-303+122+-310-532502*-933*-453/-,707566/36*-303+122+-310-532502*-933*-453/-,False
74998-764+-607--943+739--63683/--223+560+,74998-764+-607--943+739--63683/--223+560+,True
160-818*643+501+-783-693/750/-595/536/+459+,160-818*643+501+-783-693/750/-595/536/+459+,False
200818*-892/290*995/-671/583213/+-63--202+,200818*-892/290*995/-671/583213/+-63--202+,False
-891-385/965/718/-433*-116/829-811*641*553/-,-891-385/965/718/-433*-116/829-811*641*553/-,True
491-442543*+840+-881-804/-16*--604-502*-842+,491-442543*+840+-881-804/-16*--604-502*-842+,True
413101/935-380/-456--628*-800*464/+33+340+,413101/935-380/-456--628*-800*464/+33+340+,False
-300821+-219-957*-592/--205-916/829*-11641*-,-300821+-219-957*-592/--205-916/829*-11641*-,True
-853-967/-49+53+726176/-509*+-795+-595-204+,-853-967/-49+53+726176/-509*+-795+-595-204+,False
-24-103+-495-901+-320--446+-943--198576/-318-,-24-103+-495-901+-320--446+-943--198576/-318-,False
910-525-420778---869-343*-386393/--92299/+,910-525-420778---869-343*-386393/--92299/+,False
-680-306*-361/952515/756/+20+-96+479--786-,-680-306*-361/952515/756/+20+-96+479--786-,False
-48392/277*-89338*--404-660--707-812/-783*-,-48392/277*-89338*--404-660--707-812/-783*-,False
374879+-470-906*-157+143--718+858+-9-170+,374879+-470-906*-157+143--718+858+-9-170+,True
653-218765/--354+-451+-48753//761+46+-216-,653-218765/--354+-451+-48753//761+46+-216-,False
246928-266/+-217-401-329-437/-691/+-712541/-,246928-266/+-217-401-329-437/-691/+-712541/-,True
-606-901*-643*-208+100-149*+-429921*-909309*-,-606-901*-643*-208+100-149*+-429921*-909309*-,False
572408/859217/+-585-926*-858--114-730/+966-,572408/859217/+-585-926*-858--114-730/+966-,True
515-49120/862/+-105+-269--744+579639*--359+,515-49120/862/+-105+-269--744+579639*--359+,False
-18333/77-657+764-205347**-709-945394*+,-18333/77-657+764-205347**-709-945394*+,False
341873*-309/385+-826394/-825*45/988/-498+,341873*-309/385+-826394/-825*45/988/-498+,True
753-586*834-739-469/202*-854*-678/-332*134/+,753-586*834-739-469/202*-854*-678/-332*134/+,False
-185434/-896/-461/7389/-94296/+-200-996*-,-185434/-896/-461/7389/-94296/+-200-996*-,True
-1000-67120/+22160/689/+-23-833/936*-658*+,-1000-67120/+22160/689/+-23-833/936*-658*+,False
-762126--889+-891+699562*-991+-818-97*+736-,-762126--889+-891+699562*-991+-818-97*+736-,True
-877910+998-621*-724*-65/-391/-337*--467639*-,-877910+998-621*-724*-65/-391/-337*--467639*-,False
