Original,Perturbed,Is_Equivalent
-7271/93/53*90+,-7271/93/53*90+,True
286729*-4661/+,286729*-4661/+,False
6645*-63--7727/+,6645*-63--7727/+,False
-48-31*95-100/-75/-,-48-31*95-100/-75/-,True
-827-100*-51+-31/+,-827-100*-51+-31/+,False
-8643/96-28/--23-,-8643/96-28/--23-,False
62-4372/+-1-39-,62-4372/+-1-39-,False
1179*-83-85**23-,1179*-83-85**23-,True
9252/77/70+61*,9252/77/70+61*,False
-8872/-33/3987/-,-8872/-33/3987/-,False
125-6587+-17//,125-6587+-17//,True
-60-6514/-32/93--,-60-6514/-32/93--,False
-75-89--13+74-56/+,-75-89--13+74-56/+,True
-10083/52--5415++,-10083/52--5415++,False
-26-8534/-24/+-83+,-26-8534/-24/+-83+,False
16-35*55*-59*-47-,16-35*55*-59*-47-,False
-18-85/4243*-95*+,-18-85/4243*-95*+,False
351424*-20/9-+,351424*-20/9-+,False
018-8/-57*-40-,018-8/-57*-40-,False
-2158*-27/35--14/,-2158*-27/35--14/,True
4434-98*+25+8-,4434-98*+25+8-,False
7435*-7488/+34+,7435*-7488/+34+,False
-2494/95*-94*-83+,-2494/95*-94*-83+,True
-4270-1397/-80/-,-4270-1397/-80/-,True
-3277*-85--19-20/-,-3277*-85--19-20/-,False
-57-89/66-36/-73*-,-57-89/66-36/-73*-,True
-584*-97/-61*-57-,-584*-97/-61*-57-,False
-37-38/76-85+-73/-,-37-38/76-85+-73/-,False
20-64-5/--32-11+,20-64-5/--32-11+,True
2251/4451/--91*,2251/4451/--91*,False
3695+-92-95/-18*-,3695+-92-95/-18*-,False
83-17/97+-96+26-,83-17/97+-96+26-,False
4377+-76-70/+59+,4377+-76-70/+59+,False
77-92-93**47-15/+,77-92-93**47-15/+,False
-9123+-99-48-63*+,-9123+-99-48-63*+,False
-5348*16/-60+88+,-5348*16/-60+88+,True
-78-99+-49-6*-36/-,-78-99+-49-6*-36/-,True
-96-61/89--92*30/,-96-61/89--92*30/,False
5533*-12-77+11+,5533*-12-77+11+,True
-5620/70-39+-67+,-5620/70-39+-67+,True
38-63--6622*-22/+,38-63--6622*-22/+,False
43-18--63-14*--31-,43-18--63-14*--31-,True
479/7771/+13-,479/7771/+13-,True
72-96/71-77*-50*-,72-96/71-77*-50*-,False
125+72-67*+-11-,125+72-67*+-11-,True
6614*60/18*-62-,6614*60/18*-62-,True
162--69-13*/25-,162--69-13*/25-,True
-48-99*36+48-25-,-48-99*36+48-25-,False
-2327*21*37*-40-,-2327*21*37*-40-,False
-11-34+990*--62+,-11-34+990*--62+,False
2364-8*97/+-15+,2364-8*97/+-15+,True
9340+57+6-53/+,9340+57+6-53/+,True
81-15*-64/-84*26+,81-15*-64/-84*26+,True
87-6+38+94--53+,87-6+38+94--53+,False
-6560/-1867-+0-,-6560/-1867-+0-,False
77-9929*-68/+63-,77-9929*-68/+63-,True
382+-7118/43/+,382+-7118/43/+,True
44-31+-7780/-5/+,44-31+-7780/-5/+,False
46-8-69+-440*-,46-8-69+-440*-,True
-4158+84+-9+21+,-4158+84+-9+21+,False
64-35-69-35+-11+,64-35-69-35+-11+,True
96-3*-81-80+1+,96-3*-81-80+1+,False
8770/-65--32+13+,8770/-65--32+13+,False
-723369/-27-13+,-723369/-27-13+,True
71-100+-66-74+-95*-,71-100+-66-74+-95*-,False
9854-547*+64+,9854-547*+64+,True
-3496+-95-84/-52/+,-3496+-95-84/-52/+,True
-57-88--81-30+-62+,-57-88--81-30+-62+,False
-54-10-82-+82-91*+,-54-10-82-+82-91*+,True
4197/7*-41*96+,4197/7*-41*96+,True
334282*-1*+-54+,334282*-1*+-54+,False
1119*21/-4885/-,1119*21/-4885/-,True
-914+8631/-42*+,-914+8631/-42*+,True
-3569/-95-40-49/-,-3569/-95-40-49/-,False
-45-91*-72-55/73*-,-45-91*-72-55/73*-,False
202393*+-30--47-,202393*+-30--47-,True
-26-8235/+53-29/+,-26-8235/+53-29/+,False
16451/-76-+-24+,16451/-76-+-24+,True
-3-83/48-15/-96*+,-3-83/48-15/-96*+,True
-3418--15*15/43-,-3418--15*15/43-,False
-2773/84-0-98*-,-2773/84-0-98*-,True
57-68*-82+-7474/-,57-68*-82+-7474/-,True
466/60-5*-78-,466/60-5*-78-,True
-90-24*-35*3865**,-90-24*-35*3865**,True
-81-14/25+-37-79/+,-81-14/25+-37-79/+,False
40-3686*--4+28-,40-3686*--4+28-,False
-98-54-46-49-10*-,-98-54-46-49-10*-,True
-11-82+0*65-49-,-11-82+0*65-49-,False
-41-60+-66+76*-36+,-41-60+-66+76*-36+,True
-4862+-7494*97/-,-4862+-7494*97/-,True
-1346/-49-38*-41*-,-1346/-49-38*-41*-,True
5319/-51/-54-48/-,5319/-51/-54-48/-,False
-73-11+94-25/-77*+,-73-11+94-25/-77*+,False
12-76/-8-79*+6+,12-76/-8-79*+6+,True
-4-15-53/--4760*-,-4-15-53/--4760*-,True
-8-99*61-67--84-,-8-99*61-67--84-,True
-1998*-88+-96--19-,-1998*-88+-96--19-,False
-65-54*98+38/-79/,-65-54*98+38/-79/,False
-38-25-60--54-96/-,-38-25-60--54-96/-,True
-11-6/45-45*-70*+,-11-6/45-45*-70*+,False
