Original,Perturbed,Is_Equivalent
99-80*-23-11--68-1519/47/-16*35/+,99-80*-23-11--68-1519/47/-16*35/+,True
4-58+-32-30/-51*-425*51*-31---76+,4-58+-32-30/-51*-425*51*-31---76+,False
-84-58-54*--271/+-16+1-3+--56+56-,-84-58-54*--271/+-16+1-3+--56+56-,True
-18-66/-12*-91*94--80+5+-8795*+-13+,-18-66/-12*-91*94--80+5+-8795*+-13+,True
3141*-20/-16-9*-2991/--32--92-14*+,3141*-20/-16-9*-2991/--32--92-14*+,True
-1596*47/-76/8171/69*-97*+-59--52-,-1596*47/-76/8171/69*-97*+-59--52-,True
7478/68/19/-76/28*-81--6276*--93-,7478/68/19/-76/28*-81--6276*--93-,False
53-59-91/85*+-99--96-50/+-48-51-15*+,53-59-91/85*+-99--96-50/+-48-51-15*+,False
9297--94-2+--4748*-41*--3850*-5//,9297--94-2+--4748*-41*--3850*-5//,True
4031-77+23+-92+12--4-92-80+-72-,4031-77+23+-92+12--4-92-80+-72-,False
-98-42+4491/31*5/-38+-19-97--42-,-98-42+4491/31*5/-38+-19-97--42-,False
-67-3--2512/83-82/-41/+9933/--18-,-67-3--2512/83-82/-41/+9933/--18-,False
91-11-1956*18/+-22--4631/+-6-20*-,91-11-1956*18/+-22--4631/+-6-20*-,True
1937+-21-58*+1061/+64-465*-58*+,1937+-21-58*+1061/+64-465*-58*+,True
2529/47-45/25/-5-6/93/+50-56/,2529/47-45/25/-5-6/93/+50-56/,False
-57-81*12/31*-93/-66*-65*97-84*-46-,-57-81*12/31*-93/-66*-65*97-84*-46-,True
-9019*-73+84/-21-30/-59*-45-20/-99*-,-9019*-73+84/-21-30/-59*-45-20/-99*-,True
-165-98-96*79*-22/+34-28*+-385*-,-165-98-96*79*-22/+34-28*+-385*-,False
-8023-39/-85/99/-80-91/--85-96/-20*/,-8023-39/-85/99/-80-91/--85-96/-20*/,False
12-45*-35--93-51-93/--87+23*-49+-14-,12-45*-35--93-51-93/--87+23*-49+-14-,False
6615*84-5/-67/+-92*139/--66-47/+,6615*84-5/-67/+-92*139/--66-47/+,False
7710*-69-47/16/-40/+44-38/-63/-35-,7710*-69-47/16/-40/+44-38/-63/-35-,False
-14-379/+-6281/--29+39-83--94--91-,-14-379/+-6281/--29+39-83--94--91-,True
-959671*72/-88-36/-43*-53/-9279*-,-959671*72/-88-36/-43*-53/-9279*-,False
-3343+24-41*-66*-14-73--20*-97+-69-,-3343+24-41*-66*-14-73--20*-97+-69-,False
-69-80/-15+-39*+9440*-23+-1384*-,-69-80/-15+-39*+9440*-23+-1384*-,False
-38-87+-38--7372*43*84/11/+61-79*-,-38-87+-38--7372*43*84/11/+61-79*-,True
749654/--50--51--49+16-32-12-63*+,749654/--50--51--49+16-32-12-63*+,True
-4-5114/--53-1/--5255*-3*--75+-59-,-4-5114/--53-1/--5255*-3*--75+-59-,True
87-53/-43/47-78+--63-56*-64/85/59/-,87-53/-43/47-78+--63-56*-64/85/59/-,False
6020/-67*-92+-3/-86*-94*-74/-15+-73-,6020/-67*-92+-3/-86*-94*-74/-15+-73-,False
-11-6347*--50-25/-3177*-91-8-44+,-11-6347*--50-25/-3177*-91-8-44+,False
-5394-50-44-10*-88/-58-93/-11*-82*-,-5394-50-44-10*-88/-58-93/-11*-82*-,False
57-349*-62--13-50*-32-43-16---62-,57-349*-62--13-50*-32-43-16---62-,True
-354/-12-91/+96+-5*84-96/-83/-58*+,-354/-12-91/+96+-5*84-96/-83/-58*+,False
-76-97--47-33/-20*+-617*-19/+-97-91/-,-76-97--47-33/-20*+-617*-19/+-97-91/-,True
69-59*-5229/-66/-27/+88-4*-72/-14/-,69-59*-5229/-66/-27/+88-4*-72/-14/-,False
25-47*-94/1--8321/+1111*+-92+-39-,25-47*-94/1--8321/+1111*+-92+-39-,False
-5990-40/+-25-49*-50-14*-68*+9184*-,-5990-40/+-25-49*-50-14*-68*+9184*-,False
4945+-5+-85-7+55-33*-9+-32--54+,4945+-5+-85-7+55-33*-9+-32--54+,False
-997*98*87/-84/-51*-28-81--85-26/-,-997*98*87/-84/-51*-28-81--85-26/-,True
4081*2-1327/69/--68-21*-41*25/+,4081*2-1327/69/--68-21*-41*25/+,False
-7841--9934-33/39*-99-54*29/-0-,-7841--9934-33/39*-99-54*29/-0-,False
6930+17-40/+5857+--50-67*+-62-23*,6930+17-40/+5857+--50-67*+-62-23*,True
80-5-64*--2967/+12-33*-20/+57-33*-,80-5-64*--2967/+12-33*-20/+57-33*-,True
601--36-55/+99--6+57--66-76*-1/-,601--36-55/+99--6+57--66-76*-1/-,False
2235*-77/19*-71/-91*18*-57/-95*-22+,2235*-77/19*-71/-91*18*-57/-95*-22+,True
-3688*-42/-9957/-85*-93+-62+-5414*-,-3688*-42/-9957/-85*-93+-62+-5414*-,True
80-95+-23*-8440/66*-23-7*23/77*-,80-95+-23*-8440/66*-23-7*23/77*-,False
-573*-8268*--87-73/79*80/+90-27+,-573*-8268*--87-73/79*80/+90-27+,True
-99-47/-37-16--79-6934/34/-39*97/+,-99-47/-37-16--79-6934/34/-39*97/+,False
4131/-96*34+-85*-4885+--43+0-91*+,4131/-96*34+-85*-4885+--43+0-91*+,False
1817+2724/+-2815/--46-79/-5897/+,1817+2724/+-2815/--46-79/-5897/+,True
-79-6145/61/-35--83+80+-20--70-80/*,-79-6145/61/-35--83+80+-20--70-80/*,True
-58-72+8797/-58*16*-78/--21+-21+92-,-58-72+8797/-58*16*-78/--21+-21+92-,True
19-47*-72-52-59/87/-70+786*83/-,19-47*-72-52-59/87/-70+786*83/-,True
7340/-72/-38*7675*-50/+9916*+90-,7340/-72/-38*7675*-50/+9916*+90-,True
96-96-5/--2-39+-94+-25+-2588*-4/-,96-96-5/--2-39+-94+-25+-2588*-4/-,False
-8-36/65+-5926/--58-29-9*37*+20-,-8-36/65+-5926/--58-29-9*37*+20-,False
64-8*-74+-33-49/-82*47*-62*--23--76-,64-8*-74+-33-49/-82*47*-62*--23--76-,True
2277+5569/-39*76/+6148-+69-20/+,2277+5569/-39*76/+6148-+69-20/+,True
30-8-98/+1290*-41*+18+-4-5/-64/-,30-8-98/+1290*-41*+18+-4-5/-64/-,False
-83-11*57*-5--36--54-44*-23*1*+-61-,-83-11*57*-5--36--54-44*-23*1*+-61-,False
-2088/97+51-24+18-33/-51/9/+47+,-2088/97+51-24+18-33/-51/9/+47+,False
-6677--9-2398/--46/-97--56--903/+,-6677--9-2398/--46/-97--56--903/+,True
-71-31/-12*6878*--59--44-749*10*-,-71-31/-12*6878*--59--44-749*10*-,True
-35-62-59+55+2+-8+53-2/+2+26+,-35-62-59+55+2+-8+53-2/+2+26+,True
50-552*--35-64/--29-84/+-1--34-96+,50-552*--35-64/--29-84/+-1--34-96+,True
-45-98-29*+22+-60+-82+-42+6+45+5+,-45-98-29*+22+-60+-82+-42+6+45+5+,True
60-68/15*-51/-9--633*+-43-65*--33+,60-68/15*-51/-9--633*+-43-65*--33+,False
-5350/3659/56*5*-83*49/-49+-72-,-5350/3659/56*5*-83*49/-49+-72-,False
-77-56*11/67*97-6911/+-30-41*+70-,-77-56*11/67*97-6911/+-30-41*+70-,True
1617*-5+-88-93*+71+5573-+7194/+,1617*-5+-88-93*+71+5573-+7194/+,False
-616-80*-44/+-5785/--67+-9526*+1+,-616-80*-44/+-5785/--67+-9526*+1+,False
51-77*-84+-1717*-37-8+92--72--14-,51-77*-84+-1717*-37-8+92--72--14-,True
4-98*-9893/-54+-89-97/+-74-59/45*-,4-98*-9893/-54+-89-97/+-74-59/45*-,True
39-85-6-55/-75*--79-8/+-3723/52/*,39-85-6-55/-75*--79-8/+-3723/52/*,False
38-9991*54/--661/-39*67+-25*+-21-,38-9991*54/--661/-39*67+-25*+-21-,False
2043+17-58+-89+-9163/88*84/-30++,2043+17-58+-89+-9163/88*84/-30++,True
9065/-99/-4*-32*51--70--6329/+43+,9065/-99/-4*-32*51--70--6329/+43+,False
7916*-64/50--3492*-10/*91-58*-63*-,7916*-64/50--3492*-10/*91-58*-63*-,False
9181/-42-5723/+-5587*-60/74*26*-,9181/-42-5723/+-5587*-60/74*26*-,False
20-9+-7342*72*+-23+-11-7-3696*/,20-9+-7342*72*+-23+-11-7-3696*/,False
6594+17*6+77--49-56-8154*+68-,6594+17*6+77--49-56-8154*+68-,False
42-571/-77--58-85/+-1-38*-42/+-16-,42-571/-77--58-85/+-1-38*-42/+-16-,True
-2017/-82*-3/-79-6325*-79*+-61-42**,-2017/-82*-3/-79-6325*-79*+-61-42**,False
30-63*-6922/--98+3--4735*/80--83+,30-63*-6922/--98+3--4735*/80--83+,True
9983*68*-721*+37-11/7++-97+43-,9983*68*-721*+37-11/7++-97+43-,True
-49-57/-29/-20*-79*36--85--99-49-29+,-49-57/-29/-20*-79*36--85--99-49-29+,False
1740--79-40/--40-85/-94-98/--51-81*-,1740--79-40/--40-85/-94-98/--51-81*-,False
-950-58/+-76-8536*+-97+-74-67/+49/,-950-58/+-76-8536*+-97+-74-67/+49/,False
32-79*-85-14/-93/0*--7--90-9/-99*+,32-79*-85-14/-93/0*--7--90-9/-99*+,True
93-976/-92/22/-9318*+1952*-24*+,93-976/-92/22/-9318*+1952*-24*+,False
-48-70*83+37*-79+88-50*-62+52-32*+,-48-70*83+37*-79+88-50*-62+52-32*+,True
6947/-65+-583/-5*19*52/+-8417*+,6947/-65+-583/-5*19*52/+-8417*+,True
-56-92--69-22*6/87/-58/+5460/-45*-,-56-92--69-22*6/87/-58/+5460/-45*-,False
-9724/84/82-28*+-32-77*+-3390/+-88+,-9724/84/82-28*+-32-77*+-3390/+-88+,False
5348-22/44/-73-64/-99/-16*-58+-13+,5348-22/44/-73-64/-99/-16*-58+-13+,False
-8691*48-83/-70-89/+-71+5-98-71*-,-8691*48-83/-70-89/+-71+5-98-71*-,True
44-53--82--50-85/87*86*12*-45/--47-,44-53--82--50-85/87*86*12*-45/--47-,False
