Original,Perturbed,Is_Equivalent
+5.08+7.77^3.135.09^3.21,+5.08+7.77^3.135.09^3.21,True
/^/5.43-0.292^4.1,/^/5.43-0.292^4.1,False
***5.15/2.049.54^2.97,***5.15/2.049.54^2.97,False
+3.261^-8.58^/2.87,+3.261^-8.58^/2.87,True
1^--2*+0.20.64,1^--2*+0.20.64,False
2^+8.75/9.89--5.28,2^+8.75/9.89--5.28,False
*2.26++*7.85/9.967.98,*2.26++*7.85/9.967.98,True
/8.04+^-7.64/4.552.11,/8.04+^-7.64/4.552.11,False
*/-6.661^+0.819.45,*/-6.661^+0.819.45,False
1^+/2+*+4.01,1^+/2+*+4.01,False
2^^0.79+*-8.026.77,2^^0.79+*-8.026.77,True
1^+0.93/0.132^*,1^+0.93/0.132^*,True
2/+9.44-8.45--6.23,2/+9.44-8.45--6.23,False
-0.9-6.332.05^+2.329.24,-0.9-6.332.05^+2.329.24,True
/0.112^+4.777.44-5.26,/0.112^+4.777.44-5.26,True
1^--1^+-6.25,1^--1^+-6.25,False
/2.94/0.094.35-+*9.6,/2.94/0.094.35-+*9.6,True
2^*6.955.06/9.42+9.67,2^*6.955.06/9.42+9.67,False
*8.55/*/0.12-7.431.24,*8.55/*/0.12-7.431.24,False
1+*0.532.6/-7.131.15,1+*0.532.6/-7.131.15,False
-6.14/*-9.52/+0.3,-6.14/*-9.52/+0.3,False
2/+8.798.71/-8.064.81,2/+8.798.71/-8.064.81,True
*1.34+5.57*+3.85+7.32,*1.34+5.57*+3.85+7.32,True
+8.6//*6.57+5.553.7,+8.6//*6.57+5.553.7,False
*8.16-5.85-8.659.81-6.59,*8.16-5.85-8.659.81-6.59,True
+0.45-8.76*1.076.18+4.35,+0.45-8.76*1.076.18+4.35,False
*4.06*-+2.86+3.638.86,*4.06*-+2.86+3.638.86,True
1/-5.17//+8.130.29,1/-5.17//+8.130.29,False
-^2^-8.17.74-0.84,-^2^-8.17.74-0.84,True
1^-/*/-^9.79,1^-/*/-^9.79,False
+6.262^+/+-0.24,+6.262^+/+-0.24,True
+8.34++2.27/4.12-8.68,+8.34++2.27/4.12-8.68,False
-/-4.642^0.45-^,-/-4.642^0.45-^,False
-9.6*6.35+8.14/9.95+,-9.6*6.35+8.14/9.95+,True
*7.71/--8.347.76/9.46,*7.71/--8.347.76/9.46,True
2^-5.16*0.272.55/+,2^-5.16*0.272.55/+,False
/8.16-6.35*8.72+*8.46,/8.16-6.35*8.72+*8.46,True
+^1^+8.08+3.73^,+^1^+8.08+3.73^,False
**1^-9.531^5.73,**1^-9.531^5.73,False
+2.95*0.661+++7.32,+2.95*0.661+++7.32,False
+5.63/-+1.92/6.467.88,+5.63/-+1.92/6.467.88,False
+/-1.86+9.48--1.08,+/-1.86+9.48--1.08,True
2^-0.93.08*^-3.28,2^-0.93.08*^-3.28,False
+2.21^*6.16+/9.72,+2.21^*6.16+/9.72,True
1^+1.35-3.699.4/7.33,1^+1.35-3.699.4/7.33,False
/5.98-5.7*4.757.03/0.73,/5.98-5.7*4.757.03/0.73,True
*1.13-6.57*9.78+-7.98,*1.13-6.57*9.78+-7.98,True
1^*6.417.23-3.61-6.57,1^*6.417.23-3.61-6.57,True
-6.852/+3.452^1.08,-6.852/+3.452^1.08,True
/9.48-5.61*9.892.88+^,/9.48-5.61*9.892.88+^,False
+-/8.94/8.92+2.95^,+-/8.94/8.92+2.95^,False
/9.56-5.26+0.72^-,/9.56-5.26+0.72^-,True
*1.9+9.7/4.85/*1.33,*1.9+9.7/4.85/*1.33,True
/7.7/*+9.712^1.12,/7.7/*+9.712^1.12,True
^4.88-+*7.441^3.51,^4.88-+*7.441^3.51,False
*0.02/5.17-7.15+9.08*,*0.02/5.17-7.15+9.08*,False
-1.641^-3.24+/9.44,-1.641^-3.24+/9.44,True
/7.67^*+2.04+7.362.34,/7.67^*+2.04+7.362.34,False
1^+5.93/1.95*7.130.22,1^+5.93/1.95*7.130.22,True
*7.04*0.36+0.453.68^5.74,*7.04*0.36+0.453.68^5.74,True
2^/8.753.08*8.9+8.91,2^/8.753.08*8.9+8.91,False
/^2^+5.54-*5.34,/^2^+5.54-*5.34,False
*3.42--1^3.54-8.12,*3.42--1^3.54-8.12,True
*4.592*+0.32*1.520.38,*4.592*+0.32*1.520.38,False
+7.781^*5.532^7.82,+7.781^*5.532^7.82,True
-6.09*0.81/*1.77+5.74,-6.09*0.81/*1.77+5.74,True
2^+8.87+3.65/8.842.28,2^+8.87+3.65/8.842.28,True
1^-5.43-4.638.02^5.51,1^-5.43-4.638.02^5.51,False
1+-3.4-0.56.68-/,1+-3.4-0.56.68-/,False
-3.43-0.451^2.14/9.82,-3.43-0.451^2.14/9.82,True
*0.35-3.67-6.46*1.55*,*0.35-3.67-6.46*1.55*,False
1^-6.840.42^+7.119.6,1^-6.840.42^+7.119.6,False
-^+*+1.682.3*8.05,-^+*+1.682.3*8.05,False
+3.669.42^+4.261.66/7.15,+3.669.42^+4.261.66/7.15,False
*+/4.4*+*0.758.46,*+/4.4*+*0.758.46,False
0.79-+2.7*0.14*-4.69,0.79-+2.7*0.14*-4.69,False
+-1^+3.01+7.990.58,+-1^+3.01+7.990.58,True
^8.22*8.06-0.28--4.0,^8.22*8.06-0.28--4.0,True
*7.73*2.7*+^1.915.16,*7.73*2.7*+^1.915.16,False
+0.28+9.31+8.260.07*/,+0.28+9.31+8.260.07*/,False
/5.238.25/-//0.765.11,/5.238.25/-//0.765.11,False
+3.541^-4.164.08+0.33,+3.541^-4.164.08+0.33,False
-9.04-4.519.93^-*5.42,-9.04-4.519.93^-*5.42,False
*3.9/4.757.13^+3.341.15,*3.9/4.757.13^+3.341.15,False
^5.69/6.23*9.857.05+3.43,^5.69/6.23*9.857.05+3.43,False
+0.14/5.14^7.03/1.45*,+0.14/5.14^7.03/1.45*,False
+3.74+5.88/1.83-/7.79,+3.74+5.88/1.83-/7.79,False
+7.72-4.87*3.76+/9.2,+7.72-4.87*3.76+/9.2,True
/1.83-0.73+0.8/3.654.29,/1.83-0.73+0.8/3.654.29,True
2^/6.571.37++0.916.11,2^/6.571.37++0.916.11,False
*7.42/5.56+9.65//*,*7.42/5.56+9.65//*,False
*7.032^+/+1.437.73,*7.032^+/+1.437.73,False
1^-0.81-0.471^1.06,1^-0.81-0.471^1.06,True
+3.16^^-3.87+8.968.6,+3.16^^-3.87+8.968.6,False
-8.38*9.42/4.44/2.389.84,-8.38*9.42/4.44/2.389.84,True
/2.75*5.03.07-^*-,/2.75*5.03.07-^*-,False
/7.98+5.72/6.75*9.075.61,/7.98+5.72/6.75*9.075.61,True
*9.67+-2^+/0.53,*9.67+-2^+/0.53,False
/0.5/5.32.44--3.548.18,/0.5/5.32.44--3.548.18,True
---1.4*5.78*8.837.37,---1.4*5.78*8.837.37,True
