Original,Perturbed,Is_Equivalent
212-436583^--9052^-414418/-2272*143+-,212-436583^--9052^-414418/-2272*143+-,True
7443001^/590-949423*669*-717/--40276*-,7443001^/590-949423*669*-717/--40276*-,True
-3542^952-708/7291^/+461-683*--330868*+,-3542^952-708/7291^/+461-683*--330868*+,True
510242+615-846*-93--583--889292-3342^*/*,510242+615-846*-93--583--889292-3342^*/*,True
42669^-381+7292^+-244-568*760-+337+24-,42669^-381+7292^+-244-568*760-+337+24-,False
8062+7842^-151236/-471/-533*/-756+553-,8062+7842^-151236/-471/-533*/-756+553-,False
661-812-6002^/430737/-375*75/-90/--352+-,661-812-6002^/430737/-375*75/-90/--352+-,True
902707*774-687/-183844*3651^+92-283*+-,902707*774-687/-183844*3651^+92-283*+-,False
839289*118*154-3151^--133+726--901+16-,839289*118*154-3151^--133+726--901+16-,True
4062^-6208881^*+532+829-2442^*+243^,4062^-6208881^*+532+829-2442^*+243^,False
212-3618752^*+276-471^/+-404-5271^++,212-3618752^*+276-471^/+-404-5271^++,True
-306-289/-2631/-159-2^+203+-2331^+-731-,-306-289/-2631/-159-2^+203+-2331^+-731-,True
-6301^-51+-96975*508/-360/-246+-196/921/-,-6301^-51+-96975*508/-360/-246+-196/921/-,True
569794*623/-162--496--128-61930/-6062^/+,569794*623/-162--496--128-61930/-6062^/+,False
6652^177236/310*1121^+314-733*/+-117+,6652^177236/310*1121^+314-733*/+-117+,True
554-680-515875-7971^--3661^+-769-738*-*-,554-680-515875-7971^--3661^+-769-738*-*-,True
-91-78*690-622131^--36827*--469-*+-184+,-91-78*690-622131^--36827*--469-*+-184+,True
-44274905*-01^+-8651^-327327^-475-,-44274905*-01^+-8651^-327327^-475-,False
-103-369*-3741^--112+40123-1000/+49++-975+,-103-369*-3741^--112+40123-1000/+49++-975+,True
-521902546+-788+34++129947/+5312^+811+,-521902546+-788+34++129947/+5312^+811+,False
-4192^1281^+782--960-519-90222*-821-/+,-4192^1281^+782--960-519-90222*-821-/+,True
-1403791^--7252^+-200-362^/+355-66-,-1403791^--7252^+-200-362^/+355-66-,False
-710-303666/+-620212/1^+-113-339/-411^/*,-710-303666/+-620212/1^+-113-339/-411^/*,False
598-339267-15/-648^-611/760*185*-131/-/+,598-339267-15/-648^-611/760*185*-131/-/+,True
-98-1627252^/4171^--597667/--706--244+/,-98-1627252^/4171^--597667/--706--244+/,True
1682^319-6732^926-633-1^*--397+-864+,1682^319-6732^926-633-1^*--397+-864+,False
4851^806-905/+0-175*--542+-621555/--23-,4851^806-905/+0-175*--542+-621555/--23-,False
-999744*-613868*--4359851^*--29557*-748-+,-999744*-613868*--4359851^*--29557*-748-+,True
-227-793+712*9192^+9768352^/+729--820+,-227-793+712*9192^+9768352^/+729--820+,True
6652^-906-155102-+--630-6572^-126580/-,6652^-906-155102-+--630-6572^-126580/-,True
512-789-7971^+-31^+-58945*+/103/-46-,512-789-7971^+-31^+-58945*+/103/-46-,True
-936841+-489+-1902^+-370+-594-7091^**822+,-936841+-489+-1902^+-370+-594-7091^**822+,False
