Original,Perturbed,Is_Equivalent
1--99.72+47.181^23.54,1--99.72+47.181^23.54,False
*12.94--+-89.12/-34.38-,*12.94--+-89.12/-34.38-,True
2^*-19.44-/*-42.3496.35,2^*-19.44-/*-42.3496.35,False
+-94.312^+-9.57-87.41/14.6,+-94.312^+-9.57-87.41/14.6,False
/-38.44-49.421^+*-60.11-98.9,/-38.44-49.421^+*-60.11-98.9,False
1^+-52.22*-63.182^81.21,1^+-52.22*-63.182^81.21,True
/98.57-39.74/-89.89-53.49+-82.52,/98.57-39.74/-89.89-53.49+-82.52,False
+51.61/^--37.0-25.2343.4,+51.61/^--37.0-25.2343.4,False
/79.382^^-16.522-+,/79.382^^-16.522-+,False
--25.5876.41/--5.79-83.79*18.93,--25.5876.41/--5.79-83.79*18.93,False
/-37.851^-12.53*49.7692.37,/-37.851^-12.53*49.7692.37,True
-88.29+13.19--34.8/-70.6274.9,-88.29+13.19--34.8/-70.6274.9,False
--72.12--57.042^-82.62/37.99,--72.12--57.042^-82.62/37.99,True
--89.241^**2--8.05,--89.241^**2--8.05,False
*55.36--81.4/14.2166.99--5.77,*55.36--81.4/14.2166.99--5.77,True
+53.18*-58.19/89.7514.52--,+53.18*-58.19/89.7514.52--,False
*+-++44.81^-83.93,*+-++44.81^-83.93,False
+16.282^+36.9-87.6/*,+16.282^+36.9-87.6/*,True
/**-+1.6312.49*39.96,/**-+1.6312.49*39.96,False
+-23.29+-66.92-98.37^+69.0+,+-23.29+-66.92-98.37^+69.0+,False
*-51.44+/-41.89--67.3194.22,*-51.44+/-41.89--67.3194.22,False
--44.91-48.65-26.46+82.96*-79.85,--44.91-48.65-26.46+82.96*-79.85,True
+25.55*-20.55+74.03/-28.6-4.57,+25.55*-20.55+74.03/-28.6-4.57,True
^94.23*-34.37--14.85*-78.8119.72,^94.23*-34.37--14.85*-78.8119.72,False
+65.74+^*67.08+-26.1517.28,+65.74+^*67.08+-26.1517.28,False
-13.66///-17.95*/-88.38,-13.66///-17.95*/-88.38,False
*-38.66+39.02/-44.3/-46.01/,*-38.66+39.02/-44.3/-46.01/,True
/-13.45+-81.72*^1+-39.81,/-13.45+-81.72*^1+-39.81,True
